site_id,site_status,nrmse_pct,rmse_MW,mae_MW,bias_MW,n_samples,capacity_mw
S062,正常评价,5.521215685156069,0.24589727872665884,0.16795804396516334,0.06663150373141032,1708,4.45368
S023,正常评价,6.096861207748812,0.9980561797084805,0.6378842559081178,0.03563853245165479,1708,16.37
S049,正常评价,6.388279511369135,0.9007474111030481,0.5514401326928288,-0.026656201653222578,1708,14.1
S031,测试期分布漂移,6.731766536094801,0.06208035099586625,0.042757143635997016,0.02117722639126681,1708,0.9222
S077,测试期无有效发电,6.763424779866946,0.06093845726660118,0.039300767656606325,0.039300767656606325,1708,0.901
S054,正常评价,7.240374682491504,0.8161350342104424,0.5281699010495852,0.1310803402332118,1708,11.272
S010,测试期分布漂移,7.288713006736333,0.14577426013472666,0.10034079202341999,0.049865081098580524,1708,2.0
S070,测试期分布漂移,7.307035698968252,0.1534477496783333,0.10145915038591347,0.0424463381180723,1708,2.1
S064,测试期分布漂移,7.508209098407015,0.24686991515562262,0.17338344986404852,0.10404577015396203,1708,3.288
S047,正常评价,7.557654115592392,0.36276739754843484,0.23472334572647774,-0.07816986301342087,1708,4.8
S048,正常评价,7.596117209864675,0.303844688394587,0.17949478981404274,0.03772239225866485,1708,4.0
S068,测试期分布漂移,7.615230329962551,0.09313426693544201,0.06327961961987569,0.017546562517679633,1708,1.223
S024,测试期分布漂移,7.667613317313526,0.4592900377070802,0.30395680953257725,0.1281171101132246,1708,5.99
S025,测试期分布漂移,7.8628728782882575,0.44425231762328654,0.30171067763710796,-0.036557538668096023,1708,5.65
S011,正常评价,7.948048567704458,0.18463316822777456,0.11936333318818262,0.03970059697752169,1708,2.323
S018,测试期分布漂移,8.0587730866268,0.4109974274179668,0.2603118640862774,0.07520414234395595,1708,5.1
S016,测试期分布漂移,8.09343610876513,0.6879420692450362,0.4592498160206943,0.22830944820501997,1708,8.5
S056,正常评价,8.175412360877004,0.25752548936762565,0.16499424325954337,0.08908670281156272,1708,3.15
S035,测试期分布漂移,8.469304482201654,0.4485343653773996,0.300848326956376,0.08074536543548826,1708,5.296
S006,系统性偏差,8.772303438854243,0.43861517194271216,0.24940877267048137,0.2110149756801806,1708,5.0
S074,测试期分布漂移,8.89098526519756,0.35563941060790244,0.2418303328620443,0.0722445961484383,1708,4.0
S075,测试期分布漂移,8.977526673745777,0.23610895151951392,0.1426874333669843,0.019259963331058567,1708,2.63
S033,测试期分布漂移,9.27678219693407,0.5276633713616098,0.35943764287905067,0.06950555510062605,1708,5.688
S042,测试期分布漂移,9.308659245198823,0.3466544702912042,0.24608881952538061,0.11355360186178137,1708,3.724
S004,测试期分布漂移,9.33811319606805,0.3707230938839017,0.2281959087157912,0.0986473788051324,1708,3.97
S030,正常评价,9.38099968505799,0.27204899086668166,0.18287174764363132,0.08000277126518451,1708,2.9
S014,测试期分布漂移,9.402813578524391,0.47954349250474393,0.29999282218106554,0.16122229026413878,1708,5.1
S061,测试期分布漂移,9.459116091942994,0.35793295291912286,0.22517339556903884,0.027885095672636796,1708,3.784
S116,正常评价,9.472431696772068,2.083934973289855,1.3008417521396594,-0.031156292353287922,1708,22.0
S058,正常评价,9.5681553655008,0.573132506393498,0.4004507950587514,-0.0814556916497339,1708,5.99
S073,系统性偏差,9.58216706772171,1.4373250601582566,0.961667583890613,-0.5512003261750942,1708,15.0
S007,正常评价,9.611256177813111,2.1144763591188847,1.2725181095861204,0.10445592075670802,1708,22.0
S040,测试期分布漂移,9.645557522796448,0.5748752283586683,0.3711720945456992,0.12945749120396438,1708,5.96
S039,测试期分布漂移,9.69824326588437,0.3345893926730108,0.22234971458729685,0.15452851417078337,1708,3.45
S065,正常评价,10.028776188360865,0.19294362508787466,0.1228804360069658,0.039874502240997214,1708,1.9239
S060,测试期分布漂移,10.279585126982642,0.6003277714157863,0.39420760548062483,0.11851606082201072,1708,5.84
S028,测试期分布漂移,10.458064530541614,0.3283832262590067,0.2283793823085571,0.03907432851084584,1708,3.14
S008,测试期分布漂移,10.469402282370998,0.3320894403968081,0.22057451974015974,0.0909218807265849,1708,3.172
S038,测试期分布漂移,10.473667926362921,0.17511972772878803,0.1103849787816865,0.02224159614438915,1708,1.672
