hour,site_count,row_samples,site_avg_nrmse_pct,site_median_nrmse_pct,site_p90_nrmse_pct,active_site_avg_nrmse_pct,avg_zero_actual_ratio_pct,city_nrmse_pct
6,68,8296,4.333369235294118,2.7687625000000002,7.584565300000006,8.5318085,84.78784960294118,0.979751
7,68,8296,5.744609235294117,3.9153015,9.484699900000026,7.970934467741936,38.27145610294117,3.979442
8,68,8296,7.856463823529412,6.9049565,11.377587500000002,7.911763682539683,12.512053970588235,4.077209
9,68,8296,11.316669073529411,10.255583999999999,17.657883200000004,10.698916507936508,11.041465735294118,4.641224
10,68,8296,14.479901044117648,13.129133,22.779135500000006,13.382685714285714,10.535197617647057,5.848354
11,68,8296,16.29069375,14.4984295,25.6412158,15.025528571428572,10.36644163235294,6.392454
12,68,8296,16.96035269117647,14.983004000000001,27.741705800000002,15.676678126984127,10.209739588235294,6.423219
13,68,8296,16.572745102941177,15.391821499999999,26.158497,15.410163825396825,10.270009588235293,6.510409
14,68,8296,14.158090367647059,13.1398435,20.7741176,13.338662079365081,10.390549632352942,5.847375
15,68,8296,10.045757352941177,8.912459,14.078838600000001,9.538936603174603,10.595467647058824,3.554083
16,68,8296,6.718636382352941,5.5356,10.550852000000003,6.605188142857142,12.427675970588234,2.108714
17,68,8296,4.357013102941176,2.2395245,7.195475200000005,6.382608838709677,54.676952779411764,2.097388
18,68,8296,4.348394264705882,2.4848095,9.93595660000001,7.636541130434782,84.4141755,1.277031
19,68,8296,4.082197117647059,2.4280725,7.595627300000007,16.965539142857143,91.64657663235295,1.21246
