split,mape,mae,rmse,nrmse,rows,on_auc,trained_scene_models,calibration_alpha,n_calibrated_sites,n_calibration_enabled
train,71.28880020233794,0.24444256971914072,0.6781095391496399,0.03082316087043818,723007,0.9962446680479444,2,0.8500000000000003,69,54
valid,69.10938809121672,0.3926621282594271,0.8893553246348349,0.044781234875872857,101184,0.9892909587041181,2,0.8500000000000003,69,54
test,89.50382619364851,0.26617532630067525,0.7610918731957356,0.039414390118888434,199104,0.989169750639004,2,0.8500000000000003,69,54
