split,rmse_idw,rmse_era5,rmse_blend,nrmse_blend,rows
train,7.218223405747544,2.6912176806565595,2.389768666837086,0.002439762573061405,355890
valid,6.35942412508987,4.1565784933433045,3.2191772365689983,0.00330240475676707,99288
test,7.104547890159004,3.6980247585121826,3.0155870893887595,0.003170788078273629,103526
