period,sm_nrmse_Round58,city_nrmse_Round58,bias_Round58,mae_Round58,sm_nrmse_Round59,city_nrmse_Round59,bias_Round59,mae_Round59,sm_nrmse_Round60,city_nrmse_Round60,bias_Round60,mae_Round60
6-19,11.4087,3.9533,1.3872,0.4477,11.4407,3.9249,1.2264,0.4508,11.3876,3.9775,1.9263,0.4474
10-14,15.786,6.2356,8.3951,0.7166,15.7585,6.2044,8.1152,0.7152,15.7622,6.3159,8.9825,0.7164
