site_id,before_MAPE_raw,before_MAPE_clipped,before_WAPE,before_MAE,before_bias_pct,after_MAPE_raw,after_MAPE_clipped,after_WAPE,after_MAE,after_bias_pct,MAPE_raw_improvement,MAPE_clipped_improvement,WAPE_improvement,n_samples_before,n_samples_after
S002,57.88077325147296,52.53803550469135,49.104892973498906,0.375369600944981,-31.679704881278436,57.88077325147296,52.53803550469135,49.104892973498906,0.375369600944981,-31.679704881278436,0.0,0.0,0.0,1415,1415
S004,77.70327166641441,49.91981759481647,33.284113642494944,0.2761316411116006,6.741246561149462,77.70327166641441,49.91981759481647,33.284113642494944,0.2761316411116006,6.741246561149462,0.0,0.0,0.0,1184,1184
S006,126.4771753451434,113.88747035944442,125.59302990637973,0.605257602801537,116.28699504076012,126.4771753451434,113.88747035944442,125.59302990637973,0.605257602801537,116.28699504076012,0.0,0.0,0.0,922,922
S007,67.39150032038498,48.34246892953222,26.92112520328039,1.6774055199936115,2.4380274128719104,67.39150032038498,48.34246892953222,26.92112520328039,1.6774055199936115,2.4380274128719104,0.0,0.0,0.0,1276,1276
S008,52.98477169675204,35.82369289742736,28.744640903549822,0.24372796770372313,-11.150786595847766,52.98477169675204,35.82369289742736,28.744640903549822,0.24372796770372313,-11.150786595847766,0.0,0.0,0.0,1319,1319
S009,90.89120281832379,56.832351802112036,56.45063994161112,0.6203030380413256,-41.542632253612375,90.89120281832379,56.832351802112036,56.45063994161112,0.6203030380413256,-41.542632253612375,0.0,0.0,0.0,1312,1312
S010,55.948900325556394,34.68507257675773,28.059112955653852,0.09961083829422337,8.251623276149255,55.948900325556394,34.68507257675773,28.059112955653852,0.09961083829422337,8.251623276149255,0.0,0.0,0.0,1421,1421
S011,56.04919341715875,44.25780964980082,31.68109791420999,0.13662042356363477,0.720306629701367,56.04919341715875,44.25780964980082,31.68109791420999,0.13662042356363477,0.720306629701367,0.0,0.0,0.0,1286,1286
S012,938.7120959522371,235.73439931768738,202.67510668905874,2.273575230343439,173.58689902512668,938.7120959522371,235.73439931768738,202.67510668905874,2.273575230343439,173.58689902512668,0.0,0.0,0.0,1402,1402
S014,67.09146807991905,49.12616065085659,39.17236098251393,0.3502058775070347,15.102436089211887,67.09146807991905,49.12616065085659,39.17236098251393,0.3502058775070347,15.102436089211887,0.0,0.0,0.0,1261,1261
S016,59.02427852148079,53.7036536556419,36.632719961284906,0.6910441825691087,16.81967627085147,59.02427852148079,53.7036536556419,36.632719961284906,0.6910441825691087,16.81967627085147,0.0,0.0,0.0,1062,1062
S017,104.24233128645565,82.0309435677265,80.55818120060225,0.08331016875714456,29.990430046914234,104.24233128645565,82.0309435677265,80.55818120060225,0.08331016875714456,29.990430046914234,0.0,0.0,0.0,1288,1288
S018,66.26873164772464,42.87999270671917,30.18550264596297,0.3237915804840234,10.654571698210912,66.26873164772464,42.87999270671917,30.18550264596297,0.3237915804840234,10.654571698210912,0.0,0.0,0.0,1261,1261
S019,63.65826802040948,49.528876148053946,50.66291190429825,0.7009103725194653,-41.355659648448125,63.65826802040948,49.528876148053946,50.66291190429825,0.7009103725194653,-41.355659648448125,0.0,0.0,0.0,1357,1357
S020,102.03815468969243,55.96472493257504,66.8243923225893,0.5253462167110461,-59.1441233777931,102.03815468969243,55.96472493257504,66.8243923225893,0.5253462167110461,-59.1441233777931,0.0,0.0,0.0,1255,1255
S021,90.61140118013432,63.93050298464623,66.96664894604119,0.37631366528898197,-56.714443851034346,90.61140118013432,63.93050298464623,66.96664894604119,0.37631366528898197,-56.714443851034346,0.0,0.0,0.0,1205,1205
S022,62.9016171690474,40.19166033853559,45.78703478119509,0.3643085699612682,-40.43320779376518,62.9016171690474,40.19166033853559,45.78703478119509,0.3643085699612682,-40.43320779376518,0.0,0.0,0.0,1313,1313
S023,58.595480462801476,38.46661979994284,28.439813134371107,0.7977194872775301,-1.4060353441067877,58.595480462801476,38.46661979994284,28.439813134371107,0.7977194872775301,-1.4060353441067877,0.0,0.0,0.0,1235,1235
