hour,city_actual_before,city_pred_before,city_rel_err_before,before_MAPE_raw,before_MAPE_clipped,before_WAPE,before_MAE,before_bias_pct,before_Corr,city_actual_after,city_pred_after,city_rel_err_after,after_MAPE_raw,after_MAPE_clipped,after_WAPE,after_MAE,after_bias_pct,after_Corr,city_rel_err_improvement,city_rel_improved,WAPE_improvement,WAPE_improved,MAPE_clipped_improvement,MAPE_clipped_improved,MAPE_raw_improvement,MAPE_raw_improved,n_samples_before,n_samples_after
6,1250.71,54.074732667061056,95.67647714761527,134.37646326741225,55.92524090227107,98.82224182107949,0.9927547475344765,-95.67647714761527,0.10377916261997396,1250.71,54.074732667061056,95.67647714761527,134.37646326741225,55.92524090227107,98.82224182107949,0.9927547475344765,-95.67647714761527,0.10377916261997396,0.0,False,0.0,False,0.0,False,0.0,False,1245,1245
7,2274.04,667.1808033052109,70.66099086624638,95.72235137335593,45.36064967404429,77.23666343244876,0.34980932505860546,-70.66099086624638,0.6429348267970036,2274.04,667.1808033052109,70.66099086624638,95.72235137335593,45.36064967404429,77.23666343244876,0.34980932505860546,-70.66099086624638,0.6429348267970036,0.0,False,0.0,False,0.0,False,0.0,False,5021,5021
8,5512.660000000001,3402.6740453918437,38.2752782614592,70.32570042013676,53.47417927213824,55.74478120162092,0.43160396845355,-38.2752782614592,0.6860693365271145,5512.660000000001,3402.6740453918437,38.2752782614592,70.32570042013676,53.47417927213824,55.74478120162092,0.43160396845355,-38.2752782614592,0.6860693365271145,0.0,False,0.0,False,0.0,False,0.0,False,7120,7120
9,9458.710000000001,7635.722597964199,19.273108088056425,77.02306691498781,54.624074646371604,47.431600264523716,0.6196709278149906,-19.273108088056425,0.6361922258498568,9458.710000000001,7635.722597964199,19.273108088056425,77.02306691498781,54.624074646371604,47.431600264523716,0.6196709278149906,-19.273108088056425,0.6361922258498568,0.0,False,0.0,False,0.0,False,0.0,False,7240,7240
10,12443.119999999999,10753.161989828726,13.581465180527655,89.99718674788603,61.82154715833691,45.471002219632226,0.7769859065354987,-13.581465180527655,0.6246373028640689,12443.119999999999,10753.161989828726,13.581465180527655,89.99718674788603,61.82154715833691,45.471002219632226,0.7769859065354987,-13.581465180527655,0.6246373028640689,0.0,False,0.0,False,0.0,False,0.0,False,7282,7282
11,14498.400000000001,12472.32826841011,13.974450502054648,94.03154350452795,64.25081722545369,44.44185309867212,0.8831356400298629,-13.974450502054648,0.6201110512125628,14498.400000000001,12472.32826841011,13.974450502054648,94.03154350452795,64.25081722545369,44.44185309867212,0.8831356400298629,-13.974450502054648,0.6201110512125628,0.0,False,0.0,False,0.0,False,0.0,False,7296,7296
12,15051.43,13081.039807699644,13.091049769359827,97.57442259535868,66.7458889430832,44.214716916675286,0.9105140465742974,-13.091049769359827,0.6072911457054466,15051.43,13081.039807699644,13.091049769359827,97.57442259535868,66.7458889430832,44.214716916675286,0.9105140465742974,-13.091049769359827,0.6072911457054466,0.0,False,0.0,False,0.0,False,0.0,False,7309,7309
13,13930.279999999999,12262.212687673471,11.974399023756362,98.88230097373037,68.28495209053966,46.54275811349633,0.8876692942131376,-11.974399023756362,0.5790514605513273,13930.279999999999,12262.212687673471,11.974399023756362,98.88230097373037,68.28495209053966,46.54275811349633,0.8876692942131376,-11.974399023756362,0.5790514605513273,0.0,False,0.0,False,0.0,False,0.0,False,7304,7304
14,11704.310000000001,9955.881998320188,14.938326152330319,91.03154499262868,63.99146714667131,47.00017950817962,0.7541879229769426,-14.938326152330319,0.5902849402916867,11704.310000000001,9955.881998320188,14.938326152330319,91.03154499262868,63.99146714667131,47.00017950817962,0.7541879229769426,-14.938326152330319,0.5902849402916867,0.0,False,0.0,False,0.0,False,0.0,False,7294,7294
15,8233.06,6707.352659295575,18.531473604035735,74.80411737851061,54.028218351967936,47.76934534199706,0.5404533274170431,-18.531473604035735,0.6073858520356682,8233.06,6707.352659295575,18.531473604035735,74.80411737851061,54.028218351967936,47.76934534199706,0.5404533274170431,-18.531473604035735,0.6073858520356682,0.0,False,0.0,False,0.0,False,0.0,False,7277,7277
16,4408.22,3275.152946202489,25.703505128997893,70.42190767110007,45.52779038173543,52.343915609145476,0.32371421950974644,-25.703505128997893,0.68334554324884,4408.22,3275.152946202489,25.703505128997893,70.42190767110007,45.52779038173543,52.343915609145476,0.32371421950974644,-25.703505128997893,0.68334554324884,0.0,False,0.0,False,0.0,False,0.0,False,7128,7128
17,1911.16,703.8620754031101,63.17094982088835,102.48396229678617,39.59207738708571,74.81131044408575,0.3873648985866132,-63.17094982088835,0.5114941312617467,1911.16,703.8620754031101,63.17094982088835,102.48396229678617,39.59207738708571,74.81131044408575,0.3873648985866132,-63.17094982088835,0.5114941312617467,0.0,False,0.0,False,0.0,False,0.0,False,3691,3691
18,1148.99,78.62770275184766,93.15679834012066,116.76730240254716,53.076016054142414,96.46347457092249,0.8672579628109878,-93.15679834012066,0.20925428920535308,1148.99,78.62770275184766,93.15679834012066,116.76730240254716,53.076016054142414,96.46347457092249,0.8672579628109878,-93.15679834012066,0.20925428920535308,0.0,False,0.0,False,0.0,False,0.0,False,1278,1278
19,1072.79,0.0,100.0,100.0,77.35401569805815,100.0,1.5480375180375179,-100.0,,1072.79,0.0,100.0,100.0,77.35401569805815,100.0,1.5480375180375179,-100.0,,0.0,False,0.0,False,0.0,False,0.0,False,693,693
