station_id,station_name,capacity_mw,rows,positive_rows,zero_ratio_6_19,actual_sum_mwh_like,pred_sum_mwh_like,pred_actual_ratio,bias_percent,mae_mw,rmse_mw,nrmse_percent,pred_zero_ratio_6_19,actual_max_mw,pred_max_mw,max_power_ratio,has_geo_ratio,geo_confidence,scene_night_ratio_6_19,scene_low_ratio,scene_mid_ratio,scene_clear_peak_ratio,g_blend_non_null_ratio,g_blend_zero_ratio,risk_flags
S030,中森侍庄光伏发电站,2.9,1708,1253,0.2664,924.57,1062.8416,1.1496,14.9552,0.1833,0.2725,9.3978,0.0369,2.38,2.1378,0.8982,1.0,,0.2307,0.2418,0.418,0.1095,0.9994,0.0006,daytime_scene_night
S031,富云杨集光伏电站,0.9222,1708,1134,0.3361,185.22,228.0167,1.2311,23.1058,0.0448,0.0642,6.9664,0.0375,0.63,0.5346,0.8486,1.0,,0.2301,0.2365,0.4245,0.1089,0.9994,0.0006,high_bias|daytime_scene_night
S032,华能中林光伏电站,9.335,1708,1263,0.2605,2648.81,703.0635,0.2654,-73.4574,1.273,1.9041,20.3974,0.0363,6.92,3.9254,0.5673,1.0,,0.2219,0.7781,0.0,0.0,0.0,1.0,high_nrmse|high_bias|under_prediction|irradiance_zero_or_missing|daytime_scene_night
S033,天瀚万发光伏电站,5.688,1708,1278,0.2518,1716.67,1749.9865,1.0194,1.9408,0.3463,0.5243,9.2184,0.0,5.11,3.5823,0.701,1.0,,0.2313,0.2354,0.4198,0.1136,0.9994,0.0006,daytime_scene_night
S034,建魄俊达光伏电站,3.496,1708,1071,0.373,913.83,1106.2969,1.2106,21.0616,0.2274,0.3915,11.198,0.3226,3.04,2.3617,0.7769,1.0,,0.2301,0.2307,0.4303,0.1089,0.9994,0.0006,high_bias|daytime_scene_night
S035,国能品品鲜光伏电站,5.296,1708,1285,0.2477,1356.76,1424.577,1.05,4.9985,0.3015,0.4427,8.3589,0.0369,4.05,3.0617,0.756,1.0,,0.2307,0.2418,0.418,0.1095,0.9994,0.0006,daytime_scene_night
S037,华能中林三期光伏电站,5.946,1708,759,0.5556,1146.15,1213.4393,1.0587,5.8709,0.5359,0.8031,13.5068,0.3238,4.1,2.4876,0.6067,1.0,,0.2307,0.2283,0.4333,0.1077,0.9994,0.0006,high_actual_zero_ratio|daytime_scene_night
S038,衡诚天晴光伏电站,1.672,1708,1223,0.284,526.47,588.4001,1.1176,11.7633,0.1168,0.1818,10.8707,0.3208,1.55,1.3322,0.8595,1.0,,0.2313,0.2336,0.4227,0.1124,0.9994,0.0006,daytime_scene_night
S039,沐恒腾东光伏电站,3.45,1708,1266,0.2588,651.14,850.0941,1.3055,30.5547,0.2016,0.3069,8.8943,0.0,2.14,1.5401,0.7197,1.0,,0.2319,0.2348,0.4221,0.1112,0.9994,0.0006,high_bias|over_prediction|daytime_scene_night
S040,华电苏班光伏电站,5.96,1708,1264,0.26,1836.0,2081.0713,1.1335,13.3481,0.3787,0.5836,9.7922,0.3197,5.45,4.5768,0.8398,1.0,,0.2324,0.2365,0.4145,0.1165,0.9994,0.0006,daytime_scene_night
S041,交控赣榆南光伏电站,2.2,1708,1257,0.2641,891.38,933.4482,1.0472,4.7194,0.1681,0.2526,11.4829,0.0,2.14,1.9916,0.9306,1.0,,0.2324,0.2365,0.4174,0.1136,0.9994,0.0006,daytime_scene_night
