month,rows,site_mean_nrmse_percent,city_nrmse_percent,bias_percent_city,pred_actual_ratio_city,top_error_sites
9,28560,2063.6622,2063.6622,-3.3644,0.9664,S053|S071|S007
10,29512,1951.7703,1951.7703,1.6642,1.0166,S071|S053|S012
11,28560,1987.8564,1987.8564,2.8206,1.0282,S053|S071|S012
12,29512,1662.8266,1662.8266,5.3553,1.0536,S053|S012|S032
