scene,rows,site_mean_nrmse_percent,city_nrmse_percent,bias_percent,pred_actual_ratio,top_error_sites
clear_peak,11756,1918.7101,1918.7101,13.8329,1.1383,S012|S044|S073
low,32831,454.5415,454.5415,-42.2949,0.5771,S053|S071|S032
mid,44695,1480.1675,1480.1675,11.9303,1.1193,S012|S007|S116
night,26862,1484.9597,1484.9597,-36.2302,0.6377,S053|S071|S059
