scene,rows,site_mean_nrmse_percent,city_nrmse_percent,bias_percent,pred_actual_ratio,top_error_sites
clear_peak,11756,17.6553,6.0168,13.8329,1.1383,S012|S044|S073
low,32831,7.6783,2.3423,-42.2949,0.5771,S053|S071|S032
mid,44695,11.9349,4.8609,11.9303,1.1193,S012|S007|S116
night,26862,3.9374,1.3479,-36.2302,0.6377,S053|S071|S059
