hour,rows,site_mean_nrmse_percent,city_nrmse_percent,mae_mw_mean,rmse_mw_mean,bias_percent_city,pred_actual_ratio_city,actual_sum,pred_sum,zero_ratio_actual,zero_ratio_pred,top_error_sites
6,8296,4.1951,1.0339,0.2303,0.7803,-33.4595,0.6654,1251.69,832.8804,0.8479,0.3088,S053|S071|S019
7,8296,5.6191,4.0362,0.2763,0.8308,-61.3347,0.3867,2295.29,887.4805,0.3827,0.3052,S053|S071|S007
8,8296,7.8392,4.0803,0.3526,0.6792,-21.3063,0.7869,5598.14,4405.3857,0.1251,0.0426,S071|S053|S007
9,8296,11.3433,4.6635,0.4999,0.865,1.6603,1.0166,9618.74,9778.4384,0.1104,0.0096,S012|S007|S116
10,8296,14.5192,5.9006,0.6571,1.1099,8.2393,1.0824,12668.99,13712.8246,0.1054,0.0035,S012|S032|S007
11,8296,16.3029,6.4196,0.7469,1.2635,8.2874,1.0829,14773.59,15997.9371,0.1037,0.0031,S012|S032|S116
12,8296,16.9753,6.4264,0.783,1.2993,8.8577,1.0886,15331.48,16689.5004,0.1021,0.0023,S012|S032|S116
13,8296,16.578,6.5455,0.7567,1.2559,10.3659,1.1037,14189.79,15660.6957,0.1027,0.0024,S012|S007|S032
14,8296,14.2375,5.8861,0.6392,1.0501,5.7541,1.0575,11923.45,12609.5328,0.1039,0.0036,S012|S116|S032
15,8296,10.091,3.5769,0.4365,0.7564,1.1767,1.0118,8381.38,8480.0032,0.106,0.0078,S012|S116|S071
16,8296,6.6768,2.1116,0.2801,0.5722,-2.3219,0.9768,4473.15,4369.2887,0.1243,0.0139,S071|S053|S116
17,8296,4.283,2.1053,0.1864,0.7015,-43.4928,0.5651,1924.04,1087.2213,0.5468,0.4924,S053|S071|S019
18,8296,4.1945,1.3154,0.214,0.7325,-28.7523,0.7125,1149.89,819.2698,0.8441,0.3054,S053|S071|S019
19,8296,3.9396,1.2448,0.2094,0.7289,-27.8772,0.7212,1072.79,773.7259,0.9165,0.3088,S053|S071|S019
