hour,site_count,row_samples,site_avg_nrmse_pct,site_median_nrmse_pct,site_p90_nrmse_pct,active_site_avg_nrmse_pct,avg_zero_actual_ratio_pct,city_nrmse_pct
6,68,8296,3.004828161764706,0.916166,4.378641300000009,8.63598628125,84.78784960294118,2.480891
7,68,8296,4.736572911764705,3.074866,6.354215300000001,6.665061112903226,38.27145610294117,3.063459
8,68,8296,7.659494220588235,6.38748,12.695535700000002,7.414112888888889,12.512053970588235,3.836327
9,68,8296,11.248422044117646,10.04692,18.4444962,10.064734206349206,11.041465735294118,4.709788
10,68,8296,14.304943602941178,12.429078,23.995589400000007,12.506584380952381,10.535197617647057,5.939612
11,68,8296,15.967302397058821,14.0340825,25.856554100000018,13.875953142857144,10.36644163235294,6.118028
12,68,8296,16.68374325,14.114891499999999,26.984887300000025,14.525368666666665,10.209739588235294,6.164862
13,68,8296,16.234945058823527,13.766251,25.450059500000027,14.27884357142857,10.270009588235293,6.266844
14,68,8296,14.026212926470588,12.692033,23.4832161,12.51555342857143,10.390549632352942,5.819812
15,68,8296,10.084747647058823,8.7735935,15.697574500000002,9.10725653968254,10.595467647058824,3.552015
16,68,8296,6.849982588235294,5.5166260000000005,11.369718900000002,6.508030682539683,12.427675970588234,2.070267
17,68,8296,4.336629558823529,2.4143985,6.692914100000001,6.132988451612904,54.676952779411764,2.137874
18,68,8296,2.994777573529412,0.849122,6.326498600000005,7.441295065217392,84.4141755,2.465182
19,68,8296,2.2035294999999997,0.0,5.118931800000005,18.194762571428573,91.64657663235295,2.503909
