time,hour,actual_city_mw,pred_city_mw,rmse_city_MW,mae_city_MW,nrmse_city_pct,bias_city_MW
2025-09-01 06:00:00,6,11.69,8.062419682963357,3.6275803170366423,3.6275803170366423,0.9332657152901127,-3.6275803170366423
2025-09-01 07:00:00,7,48.239999999999995,47.032846169757995,1.2071538302419995,1.2071538302419995,0.310563842668082,-1.2071538302419995
2025-09-01 08:00:00,8,107.45000000000002,105.37441839880172,2.0755816011982944,2.0755816011982944,0.5339838069437174,-2.0755816011982944
2025-09-01 09:00:00,9,144.92000000000002,144.97227745587918,0.05227745587916388,0.05227745587916388,0.013449394083842242,0.05227745587916388
2025-09-01 10:00:00,10,164.89000000000001,164.50311063653314,0.38688936346687797,0.38688936346687797,0.09953482679303143,-0.38688936346687797
2025-09-01 11:00:00,11,184.14,183.21899735472263,0.9210026452773548,0.9210026452773548,0.23694587504847078,-0.9210026452773548
2025-09-01 12:00:00,12,202.3,182.3342101940689,19.96578980593111,19.96578980593111,5.136588435286772,-19.96578980593111
2025-09-01 13:00:00,13,196.20999999999995,177.25919860600362,18.95080139399633,18.95080139399633,4.875462890574009,-18.95080139399633
2025-09-01 14:00:00,14,187.25,162.31701835287194,24.93298164712806,24.93298164712806,6.414495315773094,-24.93298164712806
2025-09-01 15:00:00,15,155.40000000000003,132.757189889255,22.642810110745046,22.642810110745046,5.825304066994478,-22.642810110745046
2025-09-01 16:00:00,16,108.36000000000001,96.89578715260583,11.46421284739418,11.46421284739418,2.949392120420791,-11.46421284739418
2025-09-01 17:00:00,17,55.349999999999994,52.39513597421341,2.954864025786584,2.954864025786584,0.7601963423551354,-2.954864025786584
2025-09-01 18:00:00,18,16.05,14.864933405919288,1.1850665940807126,1.1850665940807126,0.3048814708242288,-1.1850665940807126
2025-09-01 19:00:00,19,8.79,0.0,8.79,8.79,2.2613987618340103,-8.79
2025-09-02 06:00:00,6,11.2,7.992259581429153,3.2077404185708467,3.2077404185708467,0.8252537213698548,-3.2077404185708467
2025-09-02 07:00:00,7,42.76,20.172687748133896,22.587312251866102,22.587312251866102,5.811026161493536,-22.587312251866102
2025-09-02 08:00:00,8,95.24,87.86305728345955,7.376942716540441,7.376942716540441,1.8978622440619992,-7.376942716540441
2025-09-02 09:00:00,9,124.3,122.22459779413226,2.075402205867732,2.075402205867732,0.5339376539996432,-2.075402205867732
2025-09-02 10:00:00,10,149.89000000000001,139.044214798655,10.845785201345024,10.845785201345024,2.790289559208108,-10.845785201345024
2025-09-02 11:00:00,11,171.01,168.9931231962521,2.0168768037478912,2.0168768037478912,0.5188808540121977,-2.0168768037478912
2025-09-02 12:00:00,12,186.76,168.28403932898883,18.475960671011165,18.475960671011165,4.753300862925884,-18.475960671011165
2025-09-02 13:00:00,13,150.75000000000003,158.16880312817315,7.418803128173124,7.418803128173124,1.908631650550738,7.418803128173124
