split,mape,mae,rmse,nrmse,rows,on_auc,trained_scene_models,calibration_alpha,n_calibrated_sites,n_calibration_enabled
train,70.11328516869044,0.23302540654985382,0.6553144726454332,0.029787021483883326,723007,0.9957925631346669,2,0.8000000000000003,69,66
valid,69.9293356410043,0.3705031139646099,0.8511959419800513,0.04285981580967026,101184,0.9883485938214188,2,0.8000000000000003,69,66
test,90.73362033017891,0.2485117206217876,0.72496222926842,0.03754335728992336,199104,0.9890685505669481,2,0.8000000000000003,69,66
