hour,nrmse_hour_avg,nrmse_hour_median
6,3.0048281423713097,0.9161660352082629
7,4.736572890574503,3.074866382999524
8,7.659494208616748,6.387479984835017
9,11.248422021639321,10.04691964569236
10,14.30494364734382,12.429078300981125
11,15.967302326002349,14.034082322164158
12,16.6837432163349,14.114891341624059
13,16.234945023068676,13.766250936263098
14,14.026212931107416,12.692033091438176
15,10.084747638599179,8.773593463160868
16,6.849982590225952,5.516625904495981
17,4.336629525077375,2.4143983822707398
18,2.994777519810384,0.8491219222001987
19,2.203529478613323,0.0
