candidate,w_season,w_noon,w_he,window,city_nrmse,delta,bad_sites,passes
blend_w1=0.25_w2=0.25_w3=0.0,0.25,0.25,0.0,window_late,5.3838,0.1318,3,False
blend_w1=0.25_w2=0.25_w3=0.25,0.25,0.25,0.25,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.25_w3=0.25,0.25,0.25,0.25,window_late,5.3209,0.0688,3,False
blend_w1=0.25_w2=0.25_w3=0.5,0.25,0.25,0.5,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.25_w3=0.5,0.25,0.25,0.5,window_late,5.2965,0.0445,2,False
blend_w1=0.25_w2=0.25_w3=0.75,0.25,0.25,0.75,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.25_w3=0.75,0.25,0.25,0.75,window_late,5.2843,0.0322,2,False
blend_w1=0.25_w2=0.25_w3=1.0,0.25,0.25,1.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.25_w3=1.0,0.25,0.25,1.0,window_late,5.2771,0.025,2,False
blend_w1=0.25_w2=0.5_w3=0.0,0.25,0.5,0.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.0,0.25,0.5,0.0,window_late,5.3582,0.1062,3,False
blend_w1=0.25_w2=0.5_w3=0.25,0.25,0.5,0.25,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.25,0.25,0.5,0.25,window_late,5.3171,0.0651,3,False
blend_w1=0.25_w2=0.5_w3=0.5,0.25,0.5,0.5,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.5,0.25,0.5,0.5,window_late,5.2971,0.0451,3,False
blend_w1=0.25_w2=0.5_w3=0.75,0.25,0.5,0.75,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.5_w3=0.75,0.25,0.5,0.75,window_late,5.2857,0.0337,2,False
blend_w1=0.25_w2=0.5_w3=1.0,0.25,0.5,1.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.5_w3=1.0,0.25,0.5,1.0,window_late,5.2786,0.0266,2,False
blend_w1=0.25_w2=0.75_w3=0.0,0.25,0.75,0.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.0,0.25,0.75,0.0,window_late,5.3472,0.0951,3,False
blend_w1=0.25_w2=0.75_w3=0.25,0.25,0.75,0.25,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.25,0.25,0.75,0.25,window_late,5.3161,0.064,3,False
blend_w1=0.25_w2=0.75_w3=0.5,0.25,0.75,0.5,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.5,0.25,0.75,0.5,window_late,5.2987,0.0467,3,False
blend_w1=0.25_w2=0.75_w3=0.75,0.25,0.75,0.75,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.75_w3=0.75,0.25,0.75,0.75,window_late,5.2879,0.0359,2,False
blend_w1=0.25_w2=0.75_w3=1.0,0.25,0.75,1.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=0.75_w3=1.0,0.25,0.75,1.0,window_late,5.2808,0.0287,2,False
blend_w1=0.25_w2=1.0_w3=0.0,0.25,1.0,0.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.0,0.25,1.0,0.0,window_late,5.3411,0.0891,2,False
blend_w1=0.25_w2=1.0_w3=0.25,0.25,1.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.25,0.25,1.0,0.25,window_late,5.3159,0.0639,3,False
blend_w1=0.25_w2=1.0_w3=0.5,0.25,1.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.5,0.25,1.0,0.5,window_late,5.3004,0.0484,3,False
blend_w1=0.25_w2=1.0_w3=0.75,0.25,1.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=1.0_w3=0.75,0.25,1.0,0.75,window_late,5.2902,0.0382,3,False
