feature,importance
dayofyear,7789
y_base_norm,4808
quality_score,4313
capacity_mw,4238
g_blend_pred,3790
clear_sky_ghi,3379
hour,1270
month,1134
hour,279
latitude,0
longitude,0
scene_v151,0
clear_sky_index,0
pr_median,0
clear_sky_index,0
