site_id,scene,selected_weight,valid_nrmse_base_scene,valid_nrmse_lgb_scene,valid_delta_at_best,valid_nrmse_base_site_full,reason
S062,dawn,0.0,4.2345,4.0109,0.0,10.1262,all_fail
S062,day,0.0,12.9552,12.9652,0.0,10.1262,all_fail
S062,dusk,0.0,3.6094,3.2416,0.0,10.1262,all_fail
S063,dawn,0.0,12.7069,12.4771,0.0,18.0011,all_fail
S063,day,0.0,20.7747,20.8131,0.0,18.0011,all_fail
S063,dusk,0.0,14.1358,14.127,0.0,18.0011,all_fail
S064,dawn,0.0,6.2973,6.4526,0.0,11.7122,all_fail
S064,day,0.0,14.77,14.7387,0.0,11.7122,all_fail
S064,dusk,0.0,4.3303,4.0556,0.0,11.7122,all_fail
S065,dawn,0.0,6.7143,6.3603,0.0,14.3411,all_fail
S065,day,0.0,18.2687,18.3301,0.0,14.3411,all_fail
S065,dusk,0.0,4.9714,4.6331,0.0,14.3411,all_fail
S066,dawn,0.0,16.0601,10.5694,0.0,17.8549,all_fail
S066,day,0.0,20.7817,19.7703,0.0,17.8549,all_fail
S066,dusk,0.0,8.8383,6.4964,0.0,17.8549,all_fail
S068,dawn,0.0,5.8155,5.6361,0.0,11.3498,all_fail
S068,day,0.0,14.331,14.3951,0.0,11.3498,all_fail
S068,dusk,0.0,4.4339,4.0808,0.0,11.3498,all_fail
S069,dawn,0.0,12.9876,14.3003,0.0,24.177,all_fail
S069,day,0.0,30.6217,30.7885,0.0,24.177,all_fail
S069,dusk,0.0,7.6561,8.3605,0.0,24.177,all_fail
S070,dawn,0.0,4.9655,4.7085,0.0,10.0645,all_fail
S070,day,0.0,12.6609,12.6758,0.0,10.0645,all_fail
S070,dusk,0.0,4.5373,4.4404,0.0,10.0645,all_fail
S071,dawn,0.75,3.0653,2.383,-0.8309,8.0841,ok
S071,day,0.0,10.4264,11.5122,0.0,8.0841,ok
S071,dusk,1.0,2.3851,1.9734,-0.4117,8.0841,ok
S072,dawn,0.0,6.6836,6.2222,0.0,13.9603,all_fail
S072,day,0.0,17.7971,17.8521,0.0,13.9603,all_fail
S072,dusk,0.0,4.4933,3.9811,0.0,13.9603,all_fail
S073,dawn,0.5,6.915,6.9241,-0.0657,11.282,ok
S073,day,1.0,14.1031,14.0786,-0.0245,11.282,ok
S073,dusk,1.0,3.9725,3.8836,-0.0889,11.282,ok
S074,dawn,0.0,8.6436,9.0794,0.0,16.6289,all_fail
S074,day,0.0,21.1333,21.703,0.0,16.6289,all_fail
S074,dusk,0.0,4.9729,5.0059,0.0,16.6289,all_fail
S075,dawn,0.0,8.3123,8.5963,0.0,14.682,all_fail
S075,day,0.0,18.533,19.0428,0.0,14.682,all_fail
S075,dusk,0.0,4.5748,4.8738,0.0,14.682,all_fail
S076,dawn,0.75,11.7642,11.6281,-0.1409,23.6669,ok
S076,day,0.0,30.0983,30.1358,0.0,23.6669,ok
S076,dusk,1.0,7.7296,7.4946,-0.235,23.6669,ok
S077,dawn,0.0,11.3037,12.0907,0.0,21.2421,all_fail
S077,day,0.0,26.9123,27.1085,0.0,21.2421,all_fail
S077,dusk,0.0,6.824,6.8524,0.0,21.2421,all_fail
S115,dawn,0.0,5.5451,5.2506,0.0,13.484,all_fail
S115,day,0.0,17.379,17.4202,0.0,13.484,all_fail
S115,dusk,0.0,3.511,3.0783,0.0,13.484,all_fail
S116,dawn,1.0,5.8967,5.2992,-0.5976,12.4342,ok
S116,day,0.25,15.8289,15.8456,-0.0015,12.4342,ok
S116,dusk,1.0,4.3123,4.166,-0.1463,12.4342,ok
