split,n_rows,active_count,weak_count,inactive_count,mean_power,median_power,mean_y_norm,mean_baseline_norm,mean_residual,n_sites,capacity_sum,positive_rate,weak_rate,inactive_rate
test,116144,71581,7053,37510,0.9010573942691831,0.26,0.14934955904871006,0.15883224932013926,-0.009482690271429194,68,3.3,0.6163125086100014,0.060726339716214356,0.32296115167378425
train,421771,302907,22610,96254,1.4184137837831432,0.51,0.21969782490408585,,,68,3.3,0.7181788221570473,0.05360728926360513,0.22821388857934757
valid,59024,47237,2570,9217,1.5598427758200055,0.84,0.27780223916403285,0.263720347451948,0.014081891712084859,68,3.3,0.8003015722418,0.04354161019246408,0.15615681756573596
