step,status,seconds,minutes,started_at,finished_at,error,outputs
[12] 训练后逻辑审计,PASS,14.697,0.245,2026-06-01T11:26:38,2026-06-01T11:26:52,,['/home/ac/data16t/msc/photovoltaic_forecasting_pj/scripts/posttrain_validation.py']
[13] Dashboard 预测值校验,PASS,13.774,0.23,2026-06-01T11:26:52,2026-06-01T11:27:06,,['/home/ac/data16t/msc/photovoltaic_forecasting_pj/scripts/check_dashboard_prediction_values.py']
