site_id,hour,rows,capacity_mw,site_hour_nrmse_pct,actual_sum_mwh,pred_sum_mwh,pred_actual_ratio
S056,10,119,3.15,9.8624,98.05,121.1382,1.2355
S071,10,120,20.0,9.8287,504.09,500.946,0.9938
S053,13,122,13.33,9.7921,675.88,651.9756,0.9646
S053,14,122,13.33,9.7843,675.88,598.5809,0.8856
S047,12,121,4.8,9.6842,190.51,173.6818,0.9117
S064,12,120,3.288,9.5613,121.76,127.2411,1.045
S064,10,121,3.288,9.5085,94.81,107.1063,1.1297
S064,14,121,3.288,9.3883,88.19,105.3183,1.1942
S023,12,122,16.37,9.3826,566.88,583.9462,1.0301
S010,11,122,2.0,9.3161,76.98,84.7554,1.101
S047,11,121,4.8,9.2618,181.42,167.666,0.9242
S070,14,122,2.1,9.1932,51.49,58.7918,1.1418
S068,10,121,1.223,8.9944,37.34,38.4795,1.0305
S023,13,121,16.37,8.8908,519.05,532.9086,1.0267
S049,11,122,14.1,8.7747,440.85,439.5666,0.9971
S023,11,122,16.37,8.5108,536.06,531.9255,0.9923
S062,14,122,4.4537,8.4017,113.4,101.8026,0.8977
S023,14,122,16.37,8.3757,421.69,436.9049,1.0361
S049,10,122,14.1,8.3405,397.22,388.6712,0.9785
S049,14,122,14.1,8.2742,359.1,355.9782,0.9913
S047,10,121,4.8,8.1432,158.63,154.3252,0.9729
S023,10,122,16.37,8.1331,450.14,461.4411,1.0251
S062,10,121,4.4537,7.3807,113.5,105.5341,0.9298
S017,12,122,0.954,6.5477,16.72,17.3855,1.0398
S017,13,120,0.954,5.9633,14.93,16.4736,1.1034
S017,11,121,0.954,5.8715,15.72,16.7933,1.0683
S017,14,121,0.954,5.556,13.09,14.3233,1.0942
S017,10,121,0.954,5.4809,14.22,15.0284,1.0568
