site_id,hour,split,rows,pred_actual_ratio,site_nrmse_pct
S001,10,future,68,0.8045109218641919,33.59556121413416
S001,11,future,68,0.7355760236190144,34.01118056170622
S001,12,future,68,0.7333535076925786,34.476230586004924
S001,13,future,70,0.7000940065706012,35.34097397222063
S001,14,future,69,0.6564638270728114,37.198819659467794
S002,10,future,86,1.3964384017575935,15.074725114883957
S002,10,test,121,1.01702522179355,11.434215320869185
S002,10,train,60,0.7538272919259251,24.730077479987347
S002,10,valid,62,1.372935427847209,22.22475702542313
S002,11,future,86,1.1580180779036586,15.108044015115043
S002,11,test,121,1.018559198729266,13.057992688292043
S002,11,train,61,0.777912097052642,26.615103274983078
S002,11,valid,62,1.363032600920979,24.991181842407663
S002,12,future,86,1.0566767789998894,15.6143132791455
S002,12,test,122,1.0074006937391404,14.937686032500785
S002,12,train,61,0.7612208663218583,28.64534389708796
S002,12,valid,62,1.4284141889288922,26.175154446421022
S002,13,future,86,1.023749981161438,15.060621895105033
S002,13,test,122,1.0501636781735408,13.725254160436705
S002,13,train,62,0.7208658846425935,28.70289868284166
S002,13,valid,62,1.4729326802436302,24.738595002735305
S002,14,future,86,1.0669353360764486,13.285386518277237
S002,14,test,122,1.0358568799882486,11.501730230493667
S002,14,train,62,0.7200517252081575,28.715615733065665
S002,14,valid,62,1.4180526658073216,22.867572852705322
S003,10,train,592,0.9831918687364845,11.322807888343602
S003,10,valid,13,1.318661938247662,19.18319021146021
S003,11,train,592,0.9702151174621549,12.876007718019473
S003,11,valid,13,1.1761973132341945,15.508679250932206
S003,12,train,593,0.9620664790906556,14.607205032149896
S003,12,valid,13,1.084319061087264,17.530616267262626
S003,13,train,593,0.9549443297447358,13.934006349091138
S003,13,valid,13,1.1164064803176035,15.86562470596695
S003,14,train,593,0.926007129718021,13.69573508252967
S003,14,valid,13,1.366551878030089,24.10687773207236
S004,10,future,90,1.645586347075978,20.147529763588746
S004,10,test,119,1.3130422958665071,13.268738264279895
S004,10,train,67,0.9222125281792726,13.438940291544071
S004,10,valid,62,0.9877770088060587,16.23139891274556
S004,11,future,90,1.4000923419499187,18.700206625249052
S004,11,test,122,1.2993121135421775,14.46875335545206
S004,11,train,67,1.0302308077848268,11.934632344923953
S004,11,valid,62,0.9542413712556981,17.906284542458355
S004,12,future,90,1.3302133137961392,19.392010161581698
S004,12,test,121,1.2843973284490042,16.58779173301197
S004,12,train,67,1.0216537998652198,11.995830184087014
S004,12,valid,62,0.9391708584699916,18.783880466171123
S004,13,future,90,1.2756562197108599,17.312408681065836
S004,13,test,122,1.3540723754471764,16.66964337139823
S004,13,train,66,1.0206654987552737,14.727534272317518
S004,13,valid,62,0.9375573497364401,18.371451831468537
S004,14,future,90,1.3263694467425398,16.105640554382706
S004,14,test,122,1.4306224396127856,15.318083007571644
S004,14,train,67,1.0378532250221415,13.216433027223893
S004,14,valid,61,0.9497401595855717,17.797210242421933
S006,10,future,59,2.5575554274587105,17.993521918281253
S006,10,test,104,2.214725965915284,13.927422385241902
S006,10,train,62,0.725597448733609,6.8737296866611075
S006,10,valid,61,1.8097858484015674,16.732515231071314
S006,11,future,59,2.19464107932741,16.81470066327898
S006,11,test,105,2.0472597969986213,15.563266604979514
S006,11,train,61,0.7099694326929531,7.600385348523561
S006,11,valid,62,1.7158324642855742,17.880680779209538
S006,12,future,58,2.014019263730696,15.796465156324174
S006,12,test,107,2.053719192117061,16.16851534568788
S006,12,train,62,0.6611326360598784,8.240123116413741
S006,12,valid,62,1.7860377351136933,18.62433674296351
S006,13,future,58,1.9552309017948448,14.706156960034672
S006,13,test,106,1.9729627142630006,14.797118457243894
S006,13,train,62,0.6498235872257057,8.28960063058905
S006,13,valid,61,1.8916782662741944,19.33206769719626
S006,14,future,59,1.8975595147771034,12.763243293542537
S006,14,test,106,1.9729405749210018,12.391172352238138
S006,14,train,62,0.6571977413721113,7.811354061813999
S006,14,valid,61,1.8252462807318652,17.518158854813493
S007,10,future,89,0.7229397136824071,27.85645635236636
S007,10,test,122,1.1128702277600373,13.585095396129832
