feature,importance
site_zero_ratio_train,2951
quality_score,2890
clear_sky_ghi,2746
ghi_ratio,1763
g_blend_pred,1702
hour_x_gblend,1136
hour_cos,911
hour_sin,767
scene_v151_mid,66
scene_v151_low,41
scene_v151_night,27
longitude,0
latitude,0
dayofyear,0
pr_median,0
solar_elevation,0
month_cos,0
clear_sky_index,0
month_sin,0
month,0
site_nrmse_train,0
bias,0
hour_x_clear_sky,0
site_bias_train,0
zero_ratio,0
pred_lgb_norm,0
scene_v151,0
pred_ridge_norm,0
pred_hgb_norm,0
scene_v151_unknown,0
