site_id,json_rows,merged_rows,actual_max_diff,pred_max_diff,status
S002,2576,2576,0.0,0.0,OK
S003,2576,2576,0.0,0.0,OK
S004,2576,2576,0.0,0.0,OK
S006,2576,2576,0.0,0.0,OK
S007,2576,2576,0.0,0.0,OK
S008,2576,2576,0.0,0.0,OK
S009,2576,2576,0.0,0.0,OK
S010,2576,2576,0.0,0.0,OK
S011,2576,2576,0.0,0.0,OK
S012,2576,2576,0.0,0.0,OK
S014,2576,2576,0.0,0.0,OK
S016,2576,2576,0.0,0.0,OK
S017,2576,2576,0.0,0.0,OK
S018,2576,2576,0.0,0.0,OK
S019,2576,2576,0.0,0.0,OK
S020,2576,2576,0.0,0.0,OK
S021,2576,2576,0.0,0.0,OK
S022,2576,2576,0.0,0.0,OK
S023,2576,2576,0.0,0.0,OK
S024,2576,2576,0.0,0.0,OK
S025,2576,2576,0.0,0.0,OK
S028,2576,2576,0.0,0.0,OK
S030,2576,2576,0.0,0.0,OK
S031,2576,2576,0.0,0.0,OK
S032,2576,2576,0.0,0.0,OK
S033,2576,2576,0.0,0.0,OK
S034,2576,2576,0.0,0.0,OK
S035,2576,2576,0.0,0.0,OK
S037,2576,2576,0.0,0.0,OK
S038,2576,2576,0.0,0.0,OK
S039,2576,2576,0.0,0.0,OK
S040,2576,2576,0.0,0.0,OK
S041,2576,2576,0.0,0.0,OK
S042,2576,2576,0.0,0.0,OK
S044,2576,2576,0.0,0.0,OK
S045,2576,2576,0.0,0.0,OK
S046,2576,2576,0.0,0.0,OK
S047,2576,2576,0.0,0.0,OK
S048,2576,2576,0.0,0.0,OK
S049,2576,2576,0.0,0.0,OK
S050,2576,2576,0.0,0.0,OK
S051,2576,2576,0.0,0.0,OK
S052,2576,2576,0.0,0.0,OK
S053,2576,2576,0.0,0.0,OK
S054,2576,2576,0.0,0.0,OK
S055,2576,2576,0.0,0.0,OK
S056,2576,2576,0.0,0.0,OK
S058,2576,2576,0.0,0.0,OK
S059,2576,2576,0.0,0.0,OK
S060,2576,2576,0.0,0.0,OK
S061,2576,2576,0.0,0.0,OK
S062,2576,2576,0.0,0.0,OK
S063,2576,2576,0.0,0.0,OK
S064,2576,2576,0.0,0.0,OK
S065,2576,2576,0.0,0.0,OK
S066,2576,2576,0.0,0.0,OK
S068,2576,2576,0.0,0.0,OK
S069,2576,2576,0.0,0.0,OK
S070,2576,2576,0.0,0.0,OK
S071,2576,2576,0.0,0.0,OK
S072,2576,2576,0.0,0.0,OK
S073,2576,2576,0.0,0.0,OK
S074,2576,2576,0.0,0.0,OK
S075,2576,2576,0.0,0.0,OK
S076,2576,2576,0.0,0.0,OK
S077,2576,2576,0.0,0.0,OK
S115,2576,2576,0.0,0.0,OK
S116,2576,2576,0.0,0.0,OK
