site_id,rows,valid_rate,negative_large_rate,over_capacity_rate,day_zero_rate,day_zero_run_rate,has_geo,coastal_flag,quality_score
S001,56928,0.0352199269252389,0.0,0.0006323777403035413,1.0,0.0,1,0,0.4122004988757729
S002,28464,0.28291877459246767,0.0,0.00983698707138842,0.7631277229993121,0.0,1,1,0.5562722429432579
S003,28464,0.7947582911748173,0.0,0.0,0.49885268471776045,0.0,1,0,0.803452230731746
S004,28464,0.2878372681281619,0.0,0.00983698707138842,0.7655425556320257,0.0,1,1,0.5573900075225725
S006,28464,0.28439432265317593,0.0,0.00983698707138842,0.8294698186825797,0.0,1,0,0.5402031608436889
S007,28464,1.0,0.0,0.0,0.01880302682870901,0.0,1,1,0.9952992432928227
S008,28464,0.3073355817875211,0.0,0.5721964586846543,0.7291714482442048,0.0,1,0,0.46083529982765037
S009,28464,0.4440345699831366,0.0,0.0,,,1,1,0.4554120994940978
S010,28464,1.0,0.0,0.0,0.042621448212648946,0.0,1,0,0.9893446379468378
S011,28464,1.0,0.0,0.0,0.06410845588235294,0.0,1,0,0.9839728860294117
S012,28464,0.28277824620573355,0.0,0.00983698707138842,0.7852718513420509,0.0,1,0,0.5506870259222163
S014,28464,0.2829539066891512,0.0,0.00983698707138842,0.7639908256880734,0.0,1,0,0.5560687635049069
S015,56928,0.2644041596402473,8.783024170882519e-05,0.03174184935356942,0.8023442886692714,0.0,1,0,0.535598230811884
S016,28464,0.28330522765598654,0.0,0.0,0.79150401836969,0.0,1,0,0.5512808250871728
S017,28464,1.0,0.0,0.0,0.5569591180523656,0.0,1,0,0.8607602204869085
S018,28464,0.641301292861158,0.0,0.03263771781899944,0.38006872852233675,0.0,1,0,0.7729107268070212
S019,28464,1.0,0.0,0.0,0.09885321100917431,0.0,1,0,0.9752866972477063
S020,28464,0.38785834738617203,0.0,0.0,,,1,1,0.4357504215851602
S021,28464,0.3004496908375492,0.0,0.0,,,1,1,0.40515739179314225
S022,28464,1.0,0.0,0.0,0.050688073394495416,0.0,1,0,0.987327981651376
S023,28464,1.0,0.0,0.0,0.032080659945004586,0.0,1,1,0.9919798350137488
S024,28464,0.8249016301292861,0.0,0.0,0.26822558459422285,0.0,1,1,0.8716591743966944
S025,28464,0.5795039347948285,0.0,0.0,0.48366313851817766,0.0,1,0,0.7319105925486455
S026,28464,1.0,0.0,0.0,0.10151584749655489,0.0,1,0,0.9746210381258613
S028,28464,0.4440345699831366,0.0,0.0,0.6461538461538462,0.0,1,0,0.6438736379556362
S030,28464,1.0,0.0,0.0,0.0486796785304248,0.0,1,0,0.9878300803673938
S031,28464,1.0,0.0,0.0,0.09618916437098256,0.0,1,0,0.9759527089072544
S032,28464,0.7082630691399663,0.0,0.0,,,1,0,0.5478920741989882
S033,28464,0.3240935919055649,0.0,0.0,0.7126489459211732,0.0,1,0,0.5852705206866544
S034,28464,0.26359612141652616,0.0,0.0,0.811424638678596,0.0,1,0,0.5394024828261351
S035,28464,0.7731871838111298,0.0,0.0005972456436200113,0.32315112540192925,0.0,1,0,0.8397082838546891
S036,28464,0.2525646430578977,0.0,0.0,0.8126576473285944,0.0,1,1,0.5352332132381156
S037,28464,0.2844294547498595,0.0,0.00983698707138842,0.9591180523656407,0.0,1,0,0.5078033986567629
S038,28464,0.2829539066891512,0.0,0.00983698707138842,0.7794083925705113,0.0,1,0,0.5522143717842973
S039,28464,0.28277824620573355,0.0,0.00983698707138842,0.7637198622273249,0.0,1,0,0.5560750232008977
S040,28464,0.29932546374367625,0.502845699831366,0.05311973018549747,0.7576799633195782,0.0,1,1,0.5044354054601561
S041,28464,0.693929173693086,0.0,0.0,0.35551985310993806,0.0,1,1,0.8039952475150955
S042,28464,0.4168423271500843,0.0,0.0,0.6591013296652911,0.0,1,1,0.6311194820862067
S044,28464,0.3308038223721192,0.0,0.0,0.9655251666283613,0.0,1,0,0.5244000461731514
S045,28464,0.32072091062394603,0.0,0.0,0.8497361780224822,0.0,1,0,0.5498182742127605
