site_full_name,site_short_name,dev_type,scheduler_type,capacity_mw,design_capacity_mw,lon,lat,county,install_type_raw,commission_date,station_status,group_name,tracking_type,cell_type,grid_mode,source_name,site_name_norm,install_group,coastal_flag,capacity_bucket,src_priority,site_id,has_geo,geo_source,geo_confidence,geo_note,longitude,latitude
沿海灌云光伏,沿海灌云光伏,集中式,统调,356.16,356.16,119.568298,34.686101,灌云县,,2021-11-25,运行,江苏省沿海开发集团有限公司,,,,central_prov,沿海灌云光伏,unknown,0,large,0,S097,1,,,,119.568298,34.686101
国信云台光伏电站,国信云台光伏,集中式,统调,55.36,55.36,119.404633,34.639603,连云区,,2024-12-30,运行,江苏省国信集团有限公司,,,,central_prov,国信云台光伏,unknown,1,large,0,S098,1,,,,119.404633,34.639603
华润浦南光伏,华润浦南光伏,集中式,统调,258.0,300.0,119.043536,34.656888,海州区,,2025-12-22,运行,华润集团有限公司,,,,central_prov,华润浦南光伏,unknown,0,large,0,S099,1,,,,119.043536,34.656888
中广核浦南光伏电站,广核浦南光伏,集中式,统调,118.8,118.8,118.980003,34.599998,海州区,,2014-12-28,运行,中国广核集团有限公司,,,,central_prov,广核浦南光伏,unknown,0,large,0,S100,1,,,,118.980003,34.599998
三峡青口光伏电站,三峡青口光伏,集中式,统调,339.2,339.2,119.194283,34.768221,赣榆县,,2024-12-24,运行,江苏盛宝泰能源有限公司,,,,central_prov,三峡青口光伏,unknown,1,large,0,S101,1,,,,119.194283,34.768221
中电建板浦光伏电站,中电建板浦光伏,集中式,统调,30.3,98.4,119.255,34.496667,海州区,,2025-11-19,运行,中电建新能源集团股份有限公司,,,,central_prov,中电建板浦光伏,unknown,0,large,0,S102,1,,,,119.255,34.496667
美达板桥光伏发电厂,美达板桥光伏,集中式,统调,76.1,76.1,119.440963,34.615582,连云区,,2024-10-30,运行,江苏苏美达集团有限公司,,,,central_prov,美达板桥光伏,unknown,1,large,0,S103,1,,,,119.440963,34.615582
飞展百禄光伏发电站,飞展百禄光伏,集中式,统调,94.3,94.3,119.230598,34.088101,灌南县,,2021-01-10,运行,广东粤水电能源投资集团有限公司,,,,central_prov,飞展百禄光伏,unknown,0,large,0,S104,1,,,,119.230598,34.088101
中电东辛光伏电厂,中电东辛光伏,集中式,统调,97.8,97.8,119.273756,34.315792,连云区,,2024-11-29,运行,国家电力投资集团有限公司,,,,central_prov,中电东辛光伏,unknown,1,large,0,S105,1,,,,119.273756,34.315792
东尚赣榆光伏电厂,东尚赣榆光伏,集中式,统调,359.884,359.884,119.501258,34.445283,赣榆县,,2024-11-21,运行,浙江省能源集团有限公司,,,,central_prov,东尚赣榆光伏,unknown,1,large,0,S106,1,,,,119.501258,34.445283
中核田湾光伏,中核田湾光伏,集中式,统调,238.48,238.48,119.493393,34.391399,连云区,,2025-01-06,运行,中国核工业集团有限公司,,,,central_prov,中核田湾光伏,unknown,1,large,0,S107,1,,,,119.493393,34.391399
永贯灌云光伏,永贯灌云光伏,集中式,统调,98.0,98.0,119.165596,34.266903,灌云县,,2020-06-15,运行,申能集团有限公司,,,,central_prov,永贯灌云光伏,unknown,0,large,0,S108,1,,,,119.165596,34.266903
华电墩尚光伏发电厂,华电墩尚光伏,集中式,统调,274.3,274.3,119.177101,34.729599,赣榆县,,2024-01-17,运行,中国华电集团有限公司,,,,central_prov,华电墩尚光伏,unknown,1,large,0,S109,1,,,,119.177101,34.729599
东榆赣榆光伏电厂,东榆赣榆光伏,集中式,统调,52.45,300.0,119.210001,34.810001,赣榆县,,2025-02-27,运行,横店集团东磁股份有限公司,,,,central_prov,东榆赣榆光伏,unknown,1,large,0,S110,1,,,,119.210001,34.810001
华润青口光伏电站,华润青口光伏,集中式,统调,135.0,225.0,119.188111,34.783851,连云区,,2026-01-04,运行,华润集团有限公司,,,,central_prov,华润青口光伏,unknown,1,large,0,S111,1,,,,119.188111,34.783851
华能灌西光伏,华能灌西光伏,集中式,统调,300.0,300.0,119.671667,34.459444,灌云县,,2026-01-04,运行,中国华能集团有限公司,,,,central_prov,华能灌西光伏,unknown,0,large,0,S112,1,,,,119.671667,34.459444
东尚墩尚光伏电厂,东尚墩尚光伏,集中式,统调,279.95,279.95,119.501248,34.444807,赣榆区,,2024-11-21,运行,浙江省能源集团有限公司,,,,central_prov,东尚墩尚光伏,unknown,1,large,0,S113,1,,,,119.501248,34.444807
协鑫南岗光伏发电站,协鑫南岗光伏电站,分布式,非统调,20.0,,,,灌云县,,,,,,,,dist_change,协鑫南岗,unknown,0,large,1,S114,0,,,,,
鑫众墩尚光伏发电站,鑫众墩尚光伏电站,分布式,非统调,7.0,,119.2172,34.5933,赣榆区,,,,,,,,dist_change,鑫众墩尚,unknown,1,medium,1,S115,1,GEM_Wiki_WGS84,medium,S115=连云港鑫众光伏电力墩尚镇7MWp渔光互补项目；坐标来源：Global Energy Monitor GEM数据库 WGS84近似坐标；GEM引用来源：国网新能源云存档数据2024-03；项目状态：operating 2018年投运；坐标系：WGS84；精确光伏场区中心有待甲方确认,119.2172,34.5933
林洋伊山光伏发电站,林洋伊山光伏电站,分布式,非统调,22.0,,119.2318,34.2983,灌云县,,,,,,,,dist_change,林洋伊山,unknown,0,large,1,S116,1,manual_wiki_town_center,low,S116=灌云林洋新能源科技林洋伊山6MWp农光互补项目；公开资料仅显示公司注册地址为伊山镇丁庄村丁庄路；伊山镇21个行政村中不存在丁庄村；伊山镇政府WGS84坐标来源：维基百科；GEM坐标系：WGS84；原公开规模6MWp与当前项目22MW存在差异，可能存在多期归并；精确光伏场区中心有待甲方运维台账确认,119.2318,34.2983
林洋朝阳光伏发电站,林洋朝阳光伏电站,分布式,非统调,22.0,,,,连云区,,,,,,,,dist_change,林洋朝阳,unknown,1,large,1,S117,0,,,,,
番禺珠江光伏电站,番禺珠江光伏,分布式,非统调,18.003,,,,连云区,,,,,,,,dist_change,番禺珠江光伏,unknown,1,medium,1,S118,0,,,,,
