site_id,site_name,county,install_group,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,site_status,exclude_from_ranking,exclude_reason
S061,嘉伏黎明光伏电站,连云区,rooftop,3.784,1708,1277,25.23,0.2193,0.3808,10.0639,-0.1488,0.7598,测试期分布漂移,是,cf_mean漂移-0.134>=0.1或cf_p95漂移-0.225>=0.2
S034,建魄俊达光伏电站,灌云县,rooftop,3.496,1708,1071,37.3,0.2018,0.3607,10.3164,0.0257,1.048,测试期分布漂移,是,cf_mean漂移-0.178>=0.1或cf_p95漂移-0.277>=0.2
S038,衡诚天晴光伏电站,海州区,other,1.672,1708,1223,28.4,0.1035,0.1739,10.4006,-0.025,0.919,测试期分布漂移,是,cf_mean漂移-0.177>=0.1或cf_p95漂移-0.272>=0.2
S058,远途大浦光伏电站,连云区,rooftop,5.99,1708,1296,24.12,0.4997,0.624,10.4171,0.1491,1.1575,正常评价,否,
S065,中盛石榴光伏电站,东海县,rooftop,1.924,1708,1413,17.27,0.1445,0.2023,10.5142,0.065,1.1615,正常评价,否,
S017,富云四队光伏电站,灌云县,ground,0.954,1708,1288,24.59,0.0727,0.1004,10.523,0.0338,1.4338,测试期分布漂移,是,cf_mean漂移-0.019>=0.1或cf_p95漂移-0.398>=0.2
S028,华能星耀光伏电站,灌云县,rooftop,3.14,1708,1238,27.52,0.2437,0.3326,10.5918,0.0507,1.0868,测试期分布漂移,是,cf_mean漂移-0.097>=0.1或cf_p95漂移-0.220>=0.2
S008,协鑫盛昌光伏电站,灌云县,rooftop,3.172,1708,1319,22.78,0.2273,0.3372,10.6303,-0.0155,0.9763,测试期分布漂移,是,cf_mean漂移-0.210>=0.1或cf_p95漂移-0.316>=0.2
S063,铭信润海光伏电站,东海县,rooftop,3.66,1708,1083,36.59,0.2914,0.3968,10.8406,0.0769,1.1043,测试期分布漂移,是,cf_mean漂移-0.126>=0.1或cf_p95漂移-0.126>=0.2
S077,富云图河光伏电站,灌云县,ground,0.901,1708,0,100.0,0.0771,0.1025,11.3739,0.0771,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S041,交控赣榆南光伏电站,赣榆区,ground,2.2,1708,1257,26.41,0.1544,0.2535,11.5232,-0.0332,0.9364,测试期分布漂移,是,cf_mean漂移-0.113>=0.1或cf_p95漂移-0.118>=0.2
S072,交控大浦光伏电站,连云区,ground,3.125,1708,1282,24.94,0.271,0.3669,11.7394,0.0003,1.0004,正常评价,否,
S059,首耀清墩光伏电站,海州区,rooftop,2.0,1708,1677,1.81,0.2065,0.2369,11.8453,-0.0769,0.8109,测试期分布漂移,是,cf_mean漂移-0.012>=0.1或cf_p95漂移-0.375>=0.2
S050,沐恒东海产业园光伏电站,东海县,rooftop,2.55,1708,1440,15.69,0.1967,0.3123,12.2473,0.0477,1.2005,测试期分布漂移,是,cf_mean漂移-0.158>=0.1或cf_p95漂移-0.205>=0.2
S052,鹰游新立成二期光伏电站,灌云县,rooftop,6.08,1708,1290,24.47,0.5509,0.7587,12.4791,-0.2183,0.798,系统性偏差,是,"pred/actual=0.589超出[0.8,1.2]"
S071,协鑫南岗光伏发电站,灌云县,ground,20.0,1708,1495,12.47,2.0256,2.5436,12.7178,-1.1982,0.6558,系统性偏差,是,"pred/actual=0.524超出[0.8,1.2]"
S022,浦西光伏电站,海州区,rooftop,3.24,1708,1313,23.13,0.3135,0.4252,13.1222,-0.1266,0.793,系统性偏差,是,"pred/actual=0.597超出[0.8,1.2]"
S055,沐恒曲阳光伏电站,东海县,rooftop,4.0,1708,1503,12.0,0.4058,0.5304,13.2609,0.067,1.1958,测试期分布漂移,是,cf_mean漂移0.005>=0.1或cf_p95漂移-0.207>=0.2
S037,华能中林三期光伏电站,灌云县,rooftop,5.946,1708,759,55.56,0.464,0.8364,14.0669,0.1962,1.2923,测试期分布漂移,是,cf_mean漂移0.112>=0.1或cf_p95漂移0.489>=0.2
S002,华筑泰宝光伏电站,连云区,rooftop,3.3,1708,1415,17.15,0.3519,0.5145,15.592,-0.3076,0.5143,测试期分布漂移,是,cf_mean漂移-0.098>=0.1或cf_p95漂移-0.498>=0.2
S020,国能赫睿光伏电站,赣榆区,rooftop,3.8,1708,1255,26.52,0.516,0.6803,17.9022,-0.1877,0.6751,测试期分布漂移,是,cf_mean漂移-0.118>=0.1或cf_p95漂移-0.197>=0.2
S012,泰富如意情光伏电站,东海县,rooftop,17.55,1708,1402,17.92,2.0711,3.276,18.6669,1.6532,2.7954,测试期分布漂移,是,cf_mean漂移-0.122>=0.1或cf_p95漂移-0.193>=0.2
S003,京运通西湖光伏电站,东海县,rooftop,4.167,1708,0,100.0,0.6691,0.8405,20.1729,0.6691,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S009,华电金叶光伏电站,赣榆区,rooftop,5.25,1708,1312,23.19,0.7416,1.0647,20.2803,-0.4541,0.462,系统性偏差,是,"pred/actual=0.586超出[0.8,1.2]"
S021,国能鑫江源光伏电站,赣榆区,rooftop,2.2,1708,1205,29.45,0.3729,0.4496,20.4382,-0.0065,0.9837,测试期分布漂移,是,cf_mean漂移-0.102>=0.1或cf_p95漂移-0.200>=0.2
S066,科来恩润石光伏电站,赣榆区,rooftop,5.45,1708,1281,25.0,0.7936,1.1236,20.6173,-0.528,0.4248,系统性偏差,是,"pred/actual=0.587超出[0.8,1.2]"
