site_id,hour,month,residual_norm_median,n_train,level,capacity_bucket
S007,10,8.0,-0.012830278706107362,62,site_hour_month,
S007,10,9.0,0.0008464288034555043,60,site_hour_month,
S007,10,10.0,-0.01744510016995897,62,site_hour_month,
S007,10,11.0,0.012689384079231158,60,site_hour_month,
S007,10,12.0,0.002605592784719824,62,site_hour_month,
S007,11,1.0,-0.010720380064507685,93,site_hour_month,
S007,11,2.0,-0.016105689876158378,85,site_hour_month,
S007,11,3.0,-0.003987848562520213,93,site_hour_month,
S007,11,4.0,-0.01591907716938393,90,site_hour_month,
S007,11,5.0,-0.005724398977975104,93,site_hour_month,
S007,11,6.0,-0.0029752441422539796,89,site_hour_month,
S007,11,7.0,-0.02021560527310801,62,site_hour_month,
S007,11,8.0,0.012761189947272135,62,site_hour_month,
S007,11,9.0,-0.012461854481192889,60,site_hour_month,
S007,11,10.0,-0.03176157145105741,62,site_hour_month,
S007,11,11.0,0.0019428785422966786,60,site_hour_month,
S007,11,12.0,-0.006639525142327563,62,site_hour_month,
S007,12,1.0,-0.020498319919848174,93,site_hour_month,
S007,12,2.0,-0.01733794552901151,85,site_hour_month,
S007,12,3.0,-0.01722462165578649,93,site_hour_month,
S007,12,4.0,-0.007519726781967571,90,site_hour_month,
S007,12,5.0,-0.006292910525337031,93,site_hour_month,
S007,12,6.0,-0.009491650474369739,89,site_hour_month,
S007,12,7.0,0.017460779202921106,62,site_hour_month,
S007,12,8.0,0.013450106843494923,62,site_hour_month,
S007,12,9.0,0.022812012616379107,60,site_hour_month,
S007,12,10.0,-0.019873454831135735,62,site_hour_month,
S007,12,11.0,-0.004390267063013981,60,site_hour_month,
S007,12,12.0,-0.028004511919633247,62,site_hour_month,
S007,13,1.0,-0.004990116748941211,93,site_hour_month,
S007,13,2.0,-0.02611298888540805,85,site_hour_month,
S007,13,3.0,-0.010532644918703437,93,site_hour_month,
S007,13,4.0,-0.007006787775815921,90,site_hour_month,
S007,13,5.0,-0.006714579658381645,93,site_hour_month,
S007,13,6.0,-0.009784094987189462,89,site_hour_month,
S007,13,7.0,0.0005253247055361436,62,site_hour_month,
S007,13,8.0,0.037299578581055204,62,site_hour_month,
S007,13,9.0,-0.023329652333999036,60,site_hour_month,
S007,13,10.0,-0.028860138002801718,62,site_hour_month,
S007,13,11.0,0.01334622215115325,60,site_hour_month,
S007,13,12.0,-0.018125185104924467,62,site_hour_month,
S007,14,1.0,-0.004684236152434427,93,site_hour_month,
S007,14,2.0,-0.02332710043088754,85,site_hour_month,
S007,14,3.0,-0.03170146286695646,93,site_hour_month,
S007,14,4.0,-0.009624804979638019,90,site_hour_month,
S007,14,5.0,0.0036149603208082744,93,site_hour_month,
S007,14,6.0,0.0036099349059895273,89,site_hour_month,
S007,14,7.0,0.007228596244947771,62,site_hour_month,
S007,14,8.0,0.0142380387144018,62,site_hour_month,
S007,14,9.0,0.008562108881638029,60,site_hour_month,
S007,14,10.0,-0.03638335094071475,62,site_hour_month,
S007,14,11.0,0.0014796331389709363,60,site_hour_month,
S007,14,12.0,-0.012137509115636623,62,site_hour_month,
S008,10,4.0,-0.12167105658248945,29,site_hour_month,
S008,10,5.0,-0.10380202955492972,31,site_hour_month,
S008,10,6.0,-0.08965232059525663,30,site_hour_month,
S008,11,4.0,-0.06052963430012615,29,site_hour_month,
S008,11,5.0,-0.06052963430012615,31,site_hour_month,
S008,11,6.0,-0.07210901368452724,30,site_hour_month,
S008,12,4.0,-0.03816896877397155,30,site_hour_month,
S008,12,5.0,-0.04626258367789956,31,site_hour_month,
S008,12,6.0,-0.07382131001415353,30,site_hour_month,
S008,13,4.0,-0.06525851197982346,30,site_hour_month,
S008,13,5.0,-0.06052963430012615,31,site_hour_month,
S008,13,6.0,-0.06657162291299978,30,site_hour_month,
S008,14,4.0,-0.14067083865535163,30,site_hour_month,
S008,14,5.0,-0.10164899777397028,31,site_hour_month,
S008,14,6.0,-0.07871533267854566,30,site_hour_month,
S009,10,1.0,-0.025306158852619935,31,site_hour_month,
S009,10,2.0,-0.08983393952270646,28,site_hour_month,
S009,10,3.0,-0.022850592350663796,31,site_hour_month,
S009,10,4.0,-0.08453982090567189,30,site_hour_month,
S009,10,5.0,-0.07433602045224116,31,site_hour_month,
S009,10,6.0,-0.08867767431204335,30,site_hour_month,
S009,10,11.0,0.02011418597689713,30,site_hour_month,
S009,10,12.0,-0.02069131357752503,31,site_hour_month,
S009,11,1.0,-0.03235688879351181,31,site_hour_month,
S009,11,2.0,-0.16611021569614598,28,site_hour_month,
S009,11,3.0,-0.05216041767884006,31,site_hour_month,
S009,11,4.0,-0.08215712994293325,30,site_hour_month,
S009,11,5.0,-0.05747036154835351,31,site_hour_month,
S009,11,6.0,-0.10022263508061843,30,site_hour_month,
S009,11,11.0,0.043126481605765696,30,site_hour_month,
S009,11,12.0,-0.0004190441149497779,31,site_hour_month,
S009,12,1.0,-0.08332558393562017,31,site_hour_month,
S009,12,2.0,-0.1617314189887597,28,site_hour_month,
S009,12,3.0,-0.04057700727147383,31,site_hour_month,
S009,12,4.0,-0.059000043469262214,30,site_hour_month,
S009,12,5.0,-0.1016478871145963,31,site_hour_month,
S009,12,6.0,-0.07045310919395596,30,site_hour_month,
S009,12,11.0,-0.04525323815668872,30,site_hour_month,
S009,12,12.0,-0.03211889685458326,31,site_hour_month,
S009,13,1.0,-0.0753476274163252,31,site_hour_month,
S009,13,2.0,-0.13075650799621774,28,site_hour_month,
S009,13,3.0,-0.04655267860450404,31,site_hour_month,
S009,13,4.0,-0.0420822183001404,30,site_hour_month,
S009,13,5.0,-0.04384720586532152,31,site_hour_month,
S009,13,6.0,-0.057971968973731317,30,site_hour_month,
S009,13,11.0,-0.03151698699046249,30,site_hour_month,
S009,13,12.0,-0.005097109115117452,31,site_hour_month,
S009,14,1.0,-0.09133378186121366,31,site_hour_month,
S009,14,2.0,-0.10433754596890804,28,site_hour_month,
S009,14,3.0,-0.0764128774509861,31,site_hour_month,
S009,14,4.0,-0.10089616762746005,30,site_hour_month,
S009,14,5.0,-0.06239405425129289,31,site_hour_month,
S009,14,6.0,-0.0851111065777714,30,site_hour_month,
S009,14,11.0,-0.018208194319485373,30,site_hour_month,
S009,14,12.0,-0.05730829150247964,31,site_hour_month,
S010,10,1.0,0.00027898486988280416,92,site_hour_month,
S010,10,2.0,0.013905297625156257,79,site_hour_month,
S010,10,3.0,0.024148121874286554,92,site_hour_month,
S010,10,4.0,0.03758207080161058,88,site_hour_month,
S010,10,5.0,0.00614602428863098,88,site_hour_month,
S010,10,6.0,0.022318899947037063,89,site_hour_month,
S010,10,7.0,0.02496120304944631,60,site_hour_month,
S010,10,8.0,0.06001645161046265,59,site_hour_month,
S010,10,9.0,0.056592147531357884,57,site_hour_month,
S010,10,10.0,-0.02533571844510349,60,site_hour_month,
S010,10,11.0,-0.012148621839762286,59,site_hour_month,
S010,10,12.0,0.011153763898666041,60,site_hour_month,
S010,11,1.0,0.021133751592207983,91,site_hour_month,
S010,11,2.0,0.04652398672734563,78,site_hour_month,
S010,11,3.0,0.033485786800495854,91,site_hour_month,
S010,11,4.0,0.04378850294360487,85,site_hour_month,
S010,11,5.0,0.04273392865651637,92,site_hour_month,
S010,11,6.0,0.0201790089937659,90,site_hour_month,
S010,11,7.0,0.04042849709000762,58,site_hour_month,
S010,11,8.0,0.06653634226799188,61,site_hour_month,
S010,11,9.0,0.029013885216569155,58,site_hour_month,
S010,11,10.0,0.011298661884693972,59,site_hour_month,
S010,11,11.0,0.0003856103383741982,56,site_hour_month,
S010,11,12.0,0.018317733046090523,62,site_hour_month,
S010,12,1.0,0.01987964369481643,92,site_hour_month,
S010,12,2.0,0.015042290819364406,81,site_hour_month,
S010,12,3.0,0.017402043320702276,93,site_hour_month,
S010,12,4.0,0.054221414056084494,88,site_hour_month,
S010,12,5.0,0.03465631800982816,91,site_hour_month,
S010,12,6.0,0.0281444105885425,90,site_hour_month,
S010,12,7.0,0.01228462196728413,60,site_hour_month,
S010,12,8.0,0.07116750202279526,62,site_hour_month,
S010,12,9.0,0.06742972544558479,57,site_hour_month,
S010,12,10.0,-0.001882630848952238,59,site_hour_month,
S010,12,11.0,-0.007281615024239213,60,site_hour_month,
S010,12,12.0,0.006854687855653477,61,site_hour_month,
S010,13,1.0,0.018247950400061552,92,site_hour_month,
S010,13,2.0,0.012117895419503047,80,site_hour_month,
S010,13,3.0,0.026706857974820863,89,site_hour_month,
S010,13,4.0,0.0561808649287624,90,site_hour_month,
S010,13,5.0,0.045501370653764917,88,site_hour_month,
S010,13,6.0,0.04480341709126337,90,site_hour_month,
S010,13,7.0,0.058193326213612895,62,site_hour_month,
S010,13,8.0,0.047373188903689495,62,site_hour_month,
S010,13,9.0,0.04879403188741949,57,site_hour_month,
S010,13,10.0,-0.0016078175311472487,59,site_hour_month,
S010,13,11.0,-0.00559605236593308,58,site_hour_month,
S010,13,12.0,0.0025852215265131373,61,site_hour_month,
S010,14,1.0,0.008619167450544793,92,site_hour_month,
S010,14,2.0,-0.011456527117123513,81,site_hour_month,
S010,14,3.0,-0.002117137279038339,90,site_hour_month,
S010,14,4.0,0.013134312192383257,90,site_hour_month,
S010,14,5.0,0.009625493653540818,91,site_hour_month,
S010,14,6.0,0.020195446184039012,89,site_hour_month,
S010,14,7.0,-0.0020377669824386546,60,site_hour_month,
S010,14,8.0,0.018927358487734636,57,site_hour_month,
S010,14,9.0,0.040495570776167944,58,site_hour_month,
S010,14,10.0,-0.036725602337125615,59,site_hour_month,
S010,14,11.0,-0.023343379628829153,59,site_hour_month,
S010,14,12.0,-0.010058696856905053,62,site_hour_month,
S011,10,1.0,0.0021419949314779264,92,site_hour_month,
S011,10,2.0,-0.005058221228525292,82,site_hour_month,
S011,10,3.0,-0.0045207660390921,93,site_hour_month,
S011,10,4.0,0.006095782172293479,90,site_hour_month,
S011,10,5.0,0.03320254263829476,91,site_hour_month,
S011,10,6.0,0.02456091709888085,90,site_hour_month,
S011,10,7.0,-0.000602143213811976,60,site_hour_month,
S011,10,8.0,-0.015121384071550607,62,site_hour_month,
S011,10,9.0,0.01673225821729516,59,site_hour_month,
S011,10,10.0,0.0017503410327888306,62,site_hour_month,
