site_id,类型,nrmse_pct,mae_MW,bias_MW
S062,预测最好,5.545784316246898,0.1689867930977905,0.0701860012343336
S023,预测最好,6.097581870956406,0.6371751201868368,0.04014046404797085
S049,预测最好,6.4048192806594395,0.5536790037025727,-0.03963276127643762
S054,预测最好,7.394373408318428,0.5455761411852659,0.1803239952035487
S047,预测最好,7.559906017347872,0.23497718329008693,-0.07855606228275606
S063,预测最差,10.49246996881447,0.25725948309798735,0.0893775626327584
S065,预测最差,10.57321478293595,0.13248846735963252,0.0642346854281782
S041,预测最差,11.48417355080283,0.16815706139499395,0.02483283520104068
S072,预测最差,11.881499466211315,0.25971380767905106,-0.05836287791674397
S115,预测最差,17.63763922175637,0.737120603368532,0.06318492222623505
S030,相对正确,9.40046347797456,0.18334689893642456,0.08118322322733808
S116,相对正确,9.476931822368293,1.292698509237098,0.03252840520601057
S058,相对正确,9.560203336596755,0.4001104628328464,-0.07949568018692071
S007,相对正确,9.842217009700798,1.2748910851423951,0.3234941085360932
