hour,nrmse_hour_avg,nrmse_hour_median
6,4.195106431299169,2.672092948004102
7,5.620933570017644,3.9126763075331867
8,7.839213710376934,6.733918896130107
9,11.34633776531388,10.00117300131365
10,14.522995633537361,12.92042571317447
11,16.303685751769187,14.15170943865101
12,16.974525051441706,15.294347245918198
13,16.575265030289746,15.033437350103895
14,14.238087023599668,13.03822261605156
15,10.094493252887675,8.956116094321022
16,6.681821775163499,5.653184954804635
17,4.284870751732299,2.4413879382402737
18,4.195949773052434,2.468651548197327
19,3.93780110907454,2.422690695113211
