clean_columns
time
power_alias
power_mw_raw
file_dev_type
is_reactive
power_name_norm
dev_type
site_id
match_method
match_score
capacity_mw
county
commission_date
site_short_name
has_geo
lon
lat
coastal_flag
install_group
capacity_bucket
ssrd_wm2
t2m_c
tcc
strd_wm2
power_mw
flag_negative_small
flag_negative_large
flag_over_capacity_soft
flag_over_capacity
flag_pre_commission
solar_elevation_deg
daytime_flag
day_zero_run_len
flag_day_zero_run_soft
flag_day_zero_run
site_weight
flag_day_zero
