hour,V0_n_sites,V0_n_samples,V0_site_mape_raw_mean,V0_site_mape_raw_median,V0_site_mape_clipped,V0_site_wape,V0_city_rel_err,V0_n_gt100,V0_n_gt200,V0_actual_mean_mw,V0_pred_mean_mw,V0_bias_pct,V3_n_sites,V3_n_samples,V3_site_mape_raw_mean,V3_site_mape_raw_median,V3_site_mape_clipped,V3_site_wape,V3_city_rel_err,V3_n_gt100,V3_n_gt200,V3_actual_mean_mw,V3_pred_mean_mw,V3_bias_pct,delta_site_mape_raw_mean,delta_site_mape_clipped,delta_site_wape,delta_city_rel_err
6,45,1139,74.25080057883766,79.097341734355,74.97838981763168,95.85197450371078,95.50656191829802,0,0,1.091194029850746,0.04903212808257188,-95.50656191829802,45,1139,73.30175322464359,79.097341734355,74.39556094161802,95.82234937125011,95.47597915148425,0,0,1.091194029850746,0.04936584540820684,-95.47597915148425,-0.9490473541940645,-0.5828288760136644,-0.029625132460665782,-0.03058276681376526
7,53,4305,63.268699404520625,64.57082473666925,70.7591202704214,79.16644043235144,76.10781305264287,0,0,0.46900580720092916,0.11205574425040733,-76.10781305264287,53,4305,60.14120697615173,59.2513782546062,67.92296201451583,77.21877829736476,73.90052328861117,0,0,0.46900580720092916,0.12240806142546773,-73.90052328861117,-3.127492428368896,-2.8361582559055734,-1.9476621349866718,-2.2072897640316995
8,53,6174,47.405525100755135,46.224345697797546,50.80020728628718,52.24170841177277,44.75070942398119,0,0,0.7338127632005184,0.4054263458245672,-44.75070942398119,53,6174,41.21099095753713,38.538464520057644,52.214798823705564,44.47757096277098,22.650993193573672,0,0,0.7338127632005184,0.567596884154394,-22.650993193573672,-6.194534143218007,1.4145915374183815,-7.764137449001787,-22.09971623040752
9,53,6289,36.14719847811759,32.93704721735445,43.28517358344735,35.72523554048431,21.145198746306882,0,0,1.2040435681348385,0.949446162660602,-21.145198746306882,53,6289,36.26635268976044,34.16178289882046,53.64191275163278,35.38315152656627,7.757757524089759,0,0,1.2040435681348385,1.2974503486351379,7.757757524089759,0.11915421164285078,10.356739168185428,-0.3420840139180399,-13.387441222217124
10,53,6326,31.493796633621695,28.078077326970835,39.45263415386491,29.516023492067784,14.226977272738603,0,0,1.5717625671830542,1.3481482639685083,-14.226977272738603,53,6326,32.29178637765008,30.16063955955926,51.73307216622278,30.478698364368118,9.896938972520282,0,0,1.5717625671830542,1.7273189492500791,9.896938972520282,0.7979897440283814,12.28043801235787,0.9626748723003331,-4.330038300218321
11,53,6339,30.807213663809332,27.267684513643292,38.58377943160028,28.666987348138274,14.739509595778589,0,0,1.8238239469947943,1.5550012413173888,-14.739509595778589,53,6339,28.480617614557456,25.85341745911236,47.33203877933988,26.75940972800404,3.83143629653254,0,0,1.8238239469947943,1.8937025996848054,3.83143629653254,-2.326596049251876,8.748259347739605,-1.9075776201342336,-10.908073299246048
12,53,6352,32.13809559128083,27.641279402242724,41.85409404444612,29.8478116849279,15.981492049713331,0,0,1.883705919395466,1.5826616076473001,-15.981492049713331,53,6352,28.46993859382697,25.571754143614196,50.39134367105815,26.60006377125602,0.4232026733273078,0,0,1.883705919395466,1.8916778132039722,0.4232026733273078,-3.6681569974538597,8.53724962661203,-3.24774791367188,-15.558289376386023
13,53,6345,32.56416360748607,29.229773792498985,42.698774976037555,30.820221207807858,13.995586174088976,0,0,1.743090622537431,1.499134872367741,-13.995586174088976,53,6345,29.963429787506634,27.748842716731136,52.704861066230315,28.441029009691228,3.5098266213074014,0,0,1.743090622537431,1.8042700812407626,3.5098266213074014,-2.600733819979439,10.00608609019276,-2.3791921981166304,-10.485759552781573
14,53,6334,34.06711123125817,30.85549685582173,45.54223565549506,32.23164586627463,16.36518296897081,0,0,1.4730454688980108,1.2319788826967173,-16.36518296897081,53,6334,32.80047803375706,31.293275172342984,57.10972995860904,30.958602080503518,3.776054218523823,0,0,1.4730454688980108,1.5286684644671082,3.776054218523823,-1.2666331975011076,11.567494303113975,-1.2730437857711152,-12.589128750446987
15,53,6313,34.83473645575998,30.68553404294053,43.56029962874244,34.788367749665895,18.087100490336073,0,0,1.0469032155868843,0.8575487789471248,-18.087100490336073,53,6313,40.7431775663492,40.62425083929166,58.11937067382663,39.471772000116694,8.430220598881986,0,0,1.0469032155868843,1.1351594661176476,8.430220598881986,5.908441110589223,14.559071045084188,4.683404250450799,-9.656879891454087
