w1_active_state,w2_noon_bias,w3_high_error,w1n,w2n,w3n,city_nrmse,site_mean_nrmse,city_nrmse_10_14,bad_sites,city_nrmse_delta
0.5,0.25,1.0,0.2857,0.1429,0.5714,6.1456,15.7424,8.0148,26,0.8936
0.5,0.5,0.0,0.5,0.5,0.0,6.725,15.9679,8.8736,31,1.4729
0.5,0.5,0.25,0.4,0.4,0.2,6.5031,15.8409,8.5495,27,1.251
0.5,0.5,0.5,0.3333,0.3333,0.3333,6.3624,15.7841,8.3438,26,1.1104
0.5,0.5,0.75,0.2857,0.2857,0.4286,6.2658,15.7551,8.2024,26,1.0138
0.5,0.5,1.0,0.25,0.25,0.5,6.1956,15.7396,8.0996,26,0.9436
0.5,0.75,0.0,0.4,0.6,0.0,6.697,15.9441,8.8511,31,1.4449
0.5,0.75,0.25,0.3333,0.5,0.1667,6.5166,15.8419,8.584,28,1.2646
0.5,0.75,0.5,0.2857,0.4286,0.2857,6.3932,15.7901,8.401,26,1.1411
0.5,0.75,0.75,0.25,0.375,0.375,6.3037,15.7611,8.2683,26,1.0517
0.5,0.75,1.0,0.2222,0.3333,0.4444,6.2361,15.7441,8.1679,26,0.984
0.5,1.0,0.0,0.3333,0.6667,0.0,6.6794,15.9363,8.8373,31,1.4274
0.5,1.0,0.25,0.2857,0.5714,0.1429,6.5272,15.8488,8.6098,28,1.2752
0.5,1.0,0.5,0.25,0.5,0.25,6.4172,15.7999,8.4451,27,1.1651
0.5,1.0,0.75,0.2222,0.4444,0.3333,6.3341,15.7705,8.3209,26,1.0821
0.5,1.0,1.0,0.2,0.4,0.4,6.2694,15.752,8.2239,26,1.0174
0.75,0.0,0.0,1.0,0.0,0.0,6.8959,16.3222,9.0151,33,1.6438
0.75,0.0,0.25,0.75,0.0,0.25,6.5674,16.021,8.5692,26,1.3153
0.75,0.0,0.5,0.6,0.0,0.4,6.3831,15.8918,8.3183,26,1.1311
0.75,0.0,0.75,0.5,0.0,0.5,6.2662,15.8277,8.1586,26,1.0142
0.75,0.0,1.0,0.4286,0.0,0.5714,6.1857,15.793,8.0486,26,0.9337
0.75,0.25,0.0,0.75,0.25,0.0,6.8041,16.0943,8.9383,31,1.5521
0.75,0.25,0.25,0.6,0.2,0.2,6.5628,15.9227,8.5985,27,1.3108
0.75,0.25,0.5,0.5,0.1667,0.3333,6.4101,15.8411,8.3831,26,1.158
0.75,0.25,0.75,0.4286,0.1429,0.4286,6.3053,15.7966,8.235,26,1.0532
0.75,0.25,1.0,0.375,0.125,0.5,6.2291,15.7709,8.1274,26,0.9771
0.75,0.5,0.0,0.6,0.4,0.0,6.7551,16.0068,8.898,31,1.5031
0.75,0.5,0.25,0.5,0.3333,0.1667,6.5632,15.8853,8.6218,27,1.3112
0.75,0.5,0.5,0.4286,0.2857,0.2857,6.4319,15.8222,8.4325,26,1.1798
0.75,0.5,0.75,0.375,0.25,0.375,6.3367,15.7855,8.2953,26,1.0847
0.75,0.5,1.0,0.3333,0.2222,0.4444,6.2648,15.7631,8.1914,26,1.0127
0.75,0.75,0.0,0.5,0.5,0.0,6.725,15.9679,8.8736,31,1.4729
0.75,0.75,0.25,0.4286,0.4286,0.1429,6.5652,15.8715,8.6402,28,1.3131
0.75,0.75,0.5,0.375,0.375,0.25,6.4496,15.8173,8.4713,27,1.1976
0.75,0.75,0.75,0.3333,0.3333,0.3333,6.3624,15.7841,8.3438,26,1.1104
0.75,0.75,1.0,0.3,0.3,0.4,6.2945,15.7628,8.2443,26,1.0424
0.75,1.0,0.0,0.4286,0.5714,0.0,6.7047,15.9494,8.8573,31,1.4527
0.75,1.0,0.25,0.375,0.5,0.125,6.5676,15.8679,8.655,28,1.3155
0.75,1.0,0.5,0.3333,0.4444,0.2222,6.4642,15.8189,8.5025,27,1.2122
0.75,1.0,0.75,0.3,0.4,0.3,6.3838,15.7874,8.3836,26,1.1318
0.75,1.0,1.0,0.2727,0.3636,0.3636,6.3195,15.7664,8.2887,26,1.0675
1.0,0.0,0.0,1.0,0.0,0.0,6.8959,16.3222,9.0151,33,1.6438
1.0,0.0,0.25,0.8,0.0,0.2,6.631,16.0728,8.6558,26,1.379
1.0,0.0,0.5,0.6667,0.0,0.3333,6.4638,15.9444,8.4282,26,1.2117
1.0,0.0,0.75,0.5714,0.0,0.4286,6.3492,15.8716,8.272,26,1.0972
1.0,0.0,1.0,0.5,0.0,0.5,6.2662,15.8277,8.1586,26,1.0142
1.0,0.25,0.0,0.8,0.2,0.0,6.8215,16.1316,8.9527,32,1.5694
1.0,0.25,0.25,0.6667,0.1667,0.1667,6.6157,15.9731,8.6652,27,1.3637
1.0,0.25,0.5,0.5714,0.1429,0.2857,6.475,15.887,8.4683,26,1.223
1.0,0.25,0.75,0.5,0.125,0.375,6.3732,15.835,8.3256,26,1.1212
1.0,0.25,1.0,0.4444,0.1111,0.4444,6.2963,15.8019,8.2177,26,1.0443
1.0,0.5,0.0,0.6667,0.3333,0.0,6.7763,16.0413,8.9153,31,1.5243
1.0,0.5,0.25,0.5714,0.2857,0.1429,6.6075,15.9255,8.6748,28,1.3555
1.0,0.5,0.5,0.5,0.25,0.25,6.4855,15.8591,8.5007,26,1.2335
1.0,0.5,0.75,0.4444,0.2222,0.3333,6.3935,15.8171,8.3693,26,1.1415
1.0,0.5,1.0,0.4,0.2,0.4,6.3218,15.7894,8.2669,26,1.0698
1.0,0.75,0.0,0.5714,0.4286,0.0,6.7463,15.9941,8.8908,31,1.4942
1.0,0.75,0.25,0.5,0.375,0.125,6.6029,15.9019,8.6836,28,1.3508
1.0,0.75,0.5,0.4444,0.3333,0.2222,6.4949,15.846,8.5273,27,1.2428
1.0,0.75,0.75,0.4,0.3,0.3,6.4108,15.8094,8.4056,26,1.1588
1.0,0.75,1.0,0.3636,0.2727,0.3636,6.3436,15.7845,8.3084,26,1.0916
1.0,1.0,0.0,0.5,0.5,0.0,6.725,15.9679,8.8736,31,1.4729
1.0,1.0,0.25,0.4444,0.4444,0.1111,6.6001,15.8903,8.6913,28,1.3481
1.0,1.0,0.5,0.4,0.4,0.2,6.5031,15.8409,8.5495,27,1.251
1.0,1.0,0.75,0.3636,0.3636,0.2727,6.4256,15.8075,8.4362,26,1.1736
1.0,1.0,1.0,0.3333,0.3333,0.3333,6.3624,15.7841,8.3438,26,1.1104
