hour,site_count,row_samples,site_avg_nrmse_pct,site_median_nrmse_pct,site_p90_nrmse_pct,active_site_avg_nrmse_pct,avg_zero_actual_ratio_pct,city_nrmse_pct
6,68,8296,4.175870411764706,2.6187755,6.256564400000003,8.45735909375,84.78784960294118,1.041122
7,68,8296,5.599759161764706,3.912715,7.589163600000012,7.813609903225807,38.27145610294117,3.99092
8,68,8296,7.807426,6.8294715,11.669731800000001,7.830039206349206,12.512053970588235,4.051109
9,68,8296,11.298687294117647,10.1010925,17.8740951,10.614479888888889,11.041465735294118,4.671516
10,68,8296,14.477995602941176,13.283157,22.544786600000002,13.290049603174602,10.535197617647057,5.949314
11,68,8296,16.291274161764704,14.301048999999999,25.6944942,14.920848301587302,10.36644163235294,6.509094
12,68,8296,16.96601144117647,15.165276500000001,27.7352609,15.582435095238095,10.209739588235294,6.549058
13,68,8296,16.581406602941176,15.381934999999999,25.206010600000003,15.325339317460319,10.270009588235293,6.647735
14,68,8296,14.16806261764706,13.2233325,20.868525800000004,13.266711857142857,10.390549632352942,5.924349
15,68,8296,10.023261720588236,8.8120385,14.1532885,9.452453841269842,10.595467647058824,3.58145
16,68,8296,6.678380735294118,5.74038,10.049411100000006,6.507661603174603,12.427675970588234,2.103931
17,68,8296,4.282958764705882,2.4415155,6.595590700000002,6.2914075,54.676952779411764,2.105325
18,68,8296,4.194507941176471,2.46663,8.039051700000016,7.353258630434782,84.4141755,1.315363
19,68,8296,3.939596441176471,2.425116,6.448766800000003,16.676709499999998,91.64657663235295,1.24477
