time_period,hour_range,n_dates,city_total_rel_err_pct_mean,city_total_rel_err_pct_median,WAPE_city_pct_mean,mean_site_mape_pct_mean
dawn,6-7,368,78.51466731736072,89.17306124722103,81.7600617710539,73.7287749501518
morning,8-9,368,34.77874111958522,31.985359212317498,45.36662892463205,52.07167924339708
midday,10-14,920,21.155376425618766,15.251997720129658,35.347387656793565,51.11631225344447
afternoon,15-16,368,32.57392223638893,24.22150548947891,47.17374427713698,67.70188274203235
dusk,17-19,552,74.33197606924803,90.72924084070736,80.45536159261977,71.36416501106154
