scene,before_MAPE_raw,before_MAPE_clipped,before_WAPE,before_bias_pct,after_MAPE_raw,after_MAPE_clipped,after_WAPE,after_bias_pct,MAPE_raw_improvement,MAPE_clipped_improvement,WAPE_improvement,n_samples_before,n_samples_after
dawn,103.40258905418902,47.45974256889623,84.89601480387776,-79.53739879502739,103.40258905418902,47.45974256889623,84.89601480387776,-79.53739879502739,0.0,0.0,0.0,6266,6266
morning,73.70236709302824,54.05393153602748,50.49262540949696,-26.269962980301447,73.70236709302824,54.05393153602748,50.49262540949696,-26.269962980301447,0.0,0.0,0.0,14360,14360
midday,94.30740100164392,65.02154920120698,45.4561845700546,-13.460367252849734,94.30740100164392,65.02154920120698,45.4561845700546,-13.460367252849734,0.0,0.0,0.0,36485,36485
afternoon,72.63567650420151,49.82196701064081,49.36457241892669,-21.03247768028188,72.63567650420151,49.82196701064081,49.36457241892669,-21.03247768028188,0.0,0.0,0.0,14405,14405
dusk,105.40390627126335,47.25747775197486,87.36902827419783,-81.0669940005188,105.40390627126335,47.25747775197486,87.36902827419783,-81.0669940005188,0.0,0.0,0.0,5662,5662
