site_id,calibration_applied,calibrated_ratio,rollback
S001,False,1.0,False
S002,True,0.9436494669291074,False
S003,True,0.8249756873839624,False
S004,False,1.0638654449173377,True
S006,True,0.8339452784989859,False
S007,False,1.0307457640977409,False
S008,False,1.1206306976930103,True
S009,False,1.136918486108916,True
S010,False,0.9908320052492554,False
S011,False,1.0593745294800503,False
S012,True,0.9609454020993186,False
S014,True,1.0062391569905558,False
S016,False,0.992001228845443,False
S017,False,1.175,False
S018,True,0.9636511983321757,False
S019,False,1.101860296878655,False
S020,False,1.093615076860902,True
S021,True,1.1319599600324965,False
S022,False,1.1679382864059473,False
S023,False,0.995608414308924,False
S024,True,1.0060912900537684,False
S025,True,0.9369809769840867,False
S028,True,1.062311599682497,False
S030,False,1.0153961161034701,False
S031,False,1.0044354600457301,False
S032,False,1.149681933842239,False
S033,False,1.1088114479998743,True
S034,False,1.0656933030765088,True
S035,False,0.9556309350631041,False
S037,True,0.8250247035573122,False
S038,False,1.0962807531378878,True
S039,True,0.9914498628329533,False
S040,False,1.1244317250910016,True
S041,False,1.0246472311552584,False
S042,True,1.0669774484310048,False
S044,False,0.824893797790994,False
S045,True,0.8250082155767335,False
S046,True,1.0610033204001066,False
S047,False,0.9040408804633902,True
S048,True,1.0051339459311992,False
S049,False,0.9942535605583296,False
S050,True,0.9906099893863465,False
S051,True,0.9779422548237423,False
S052,False,1.167354270821131,False
S053,False,1.1238134986645398,False
S054,True,0.9565141467218535,False
S055,True,0.8336251982171446,False
S056,True,0.9805743860180914,False
S058,False,1.031876575218175,False
S059,False,1.003342598376017,False
S060,False,1.1174421291262266,True
S061,True,1.0796049116796886,False
S062,False,0.9665425006693859,False
S063,True,1.082119761455964,False
S064,False,0.9933429296992833,False
S065,False,0.9971714902058676,False
S066,False,1.1137175290345478,True
S068,False,1.019761154143736,False
S069,True,0.8249627421758569,False
S070,False,0.9918660552831505,False
S071,False,1.162137667463602,True
S072,False,0.9905841880505429,False
S073,True,0.9887425209344399,False
S074,False,1.0854875686103704,True
S075,True,1.048158159687715,False
S076,True,0.9124366505432611,False
S077,False,0.825,False
S115,False,1.0683243747063609,True
S116,False,1.059590837327139,False
