site_id,site_name,county,install_group,capacity_bucket,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_rows_6_19,tv_positive_rows_6_19,tv_zero_ratio_pct,tv_cf_mean,tv_cf_p95,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S001,智邦纺织光伏,灌云县,rooftop,medium,5.99,,,,,,,,,,,,,,,,,,,,正常评价,否,
S002,华筑泰宝光伏,连云区,rooftop,small,3.3,5893.0,3095.0,47.48006108942813,1731.0,1680.0,2.946273830155979,0.28955587066505606,0.9515151515151516,1708.0,1415.0,17.15456674473068,1081.6599999999999,900.5036117666716,0.19190618125044354,0.4534848484848481,-0.09764968941461252,-0.49803030303030354,0.8325200264100288,14.000888454516595,测试期分布漂移,是,cf_mean漂移0.098>=0.1或cf_p95漂移0.498>=0.2
S003,京运通西湖光伏电站,东海县,rooftop,small,4.1667,20462.0,7350.0,64.07975759945265,10230.0,7350.0,28.152492668621704,0.18451465291503474,0.5735954112367102,1708.0,0.0,100.0,0.0,1005.9166924552269,0.0,0.0,-0.18451465291503474,-0.5735954112367102,,19.942747177585368,测试期无有效发电,是,test正功率样本0.0<100或总电量不足
S004,旭樱东堡光伏,连云区,rooftop,small,3.97,6033.0,2816.0,53.32338803248798,1811.0,1632.0,9.884041965764771,0.31393095927907677,0.7418136020151134,1708.0,1184.0,30.679156908665107,982.27,1295.6162432534104,0.14486134297630351,0.47103274559193953,-0.16906961630277326,-0.27078085642317384,1.3190021513976915,10.079315707843245,测试期分布漂移,是,cf_mean漂移0.169>=0.1或cf_p95漂移0.271>=0.2
S005,华之检恒邦光伏,灌云县,rooftop,medium,7.04,,,,,,,,,,,,,,,,,,,,正常评价,否,
S006,沐恒石湖光伏,东海县,rooftop,medium,5.0,5935.0,2360.0,60.23588879528222,1753.0,1438.0,17.969195664575015,0.10843582430119796,0.252,1708.0,922.0,46.01873536299766,444.33,1162.5701669433538,0.052029274004683844,0.17449999999999863,-0.05640655029651411,-0.07750000000000137,2.6164566132004454,12.143681642481774,系统性偏差,是,"pred/actual=2.616超出[0.8,1.2]"
S007,林洋朝阳光伏,连云区,ground,large,22.0,26304.0,12778.0,51.42183698296837,13636.0,11502.0,15.6497506600176,0.29439681724845995,0.7972727272727272,1708.0,1276.0,25.292740046838407,7950.5199999999995,8510.507759011345,0.21158505428997232,0.6943863636363635,-0.08281176295848763,-0.10288636363636372,1.070434104814697,9.548205928305332,正常评价,否,
S008,协鑫盛昌光伏,灌云县,rooftop,small,3.172,6588.0,3365.0,48.92228293867638,2136.0,2046.0,4.213483146067416,0.4164083790281064,0.9465636822194199,1708.0,1319.0,22.775175644028103,1118.3899999999999,1121.1840928423878,0.2064297231926901,0.6305170239596469,-0.2099786558354163,-0.31604665825977296,1.002498317082939,10.004373924309535,测试期分布漂移,是,cf_mean漂移0.210>=0.1或cf_p95漂移0.316>=0.2
S009,华电金叶光伏,赣榆区,rooftop,medium,5.25,10479.0,5076.0,51.56026338391067,4407.0,3764.0,14.590424324937597,0.24881973483743397,0.7047619047619048,1708.0,1312.0,23.185011709601874,1441.6799999999998,1685.542782644865,0.1607761793241887,0.5415238095238091,-0.08804355551324528,-0.16323809523809574,1.169151810835182,10.754216987585595,正常评价,否,
S010,易睐珂浦南光伏,海州区,rooftop,small,2.0,26304.0,12824.0,51.24695863746959,13636.0,11403.0,16.37577002053388,0.2409504253446759,0.7,1708.0,1421.0,16.80327868852459,504.46000000000004,580.5290074030872,0.14767564402810304,0.4732499999999993,-0.09327478131657285,-0.22675000000000067,1.150792941765625,6.894851507173779,测试期分布漂移,是,cf_mean漂移0.093>=0.1或cf_p95漂移0.227>=0.2
S011,中森西苑光伏,灌云县,rooftop,small,2.323,26304.0,12968.0,50.69951338199513,13636.0,11682.0,14.32971545907891,0.22107637894020124,0.6155832974601808,1708.0,1286.0,24.707259953161593,554.5699999999999,585.4767592651189,0.13977171569106817,0.43908738699956956,-0.08130466324913307,-0.17649591046061125,1.0557310335306975,7.275349385022434,正常评价,否,
S012,泰富如意情光伏,东海县,rooftop,medium,17.55,5889.0,2909.0,50.60281881473935,1727.0,1507.0,12.738853503184714,0.17487070608089714,0.5084900284900282,1708.0,1402.0,17.915690866510538,1572.7400000000002,4759.760516621901,0.05246769017260821,0.31524216524216486,-0.12240301590828892,-0.19324786324786336,3.026412831505462,18.402181208402595,测试期分布漂移,是,cf_mean漂移0.122>=0.1或cf_p95漂移0.193>=0.2
S013,鑫众墩尚光伏,赣榆区,ground,medium,7.0,,,,,,,,,,,,,,,,,,,,正常评价,否,
S014,鲲鹏昇昌光伏,灌云县,rooftop,medium,5.1,5894.0,2906.0,50.6956226671191,1732.0,1645.0,5.023094688221709,0.28687678304578185,0.6862745098039216,1708.0,1261.0,26.170960187353632,1127.35,1511.0460345549657,0.12941980070716813,0.43980392156862697,-0.15745698233861372,-0.2464705882352946,1.340352183931313,9.432031456071691,测试期分布漂移,是,cf_mean漂移0.157>=0.1或cf_p95漂移0.246>=0.2
S015,振江轨道交通光伏,灌云县,rooftop,medium,9.73,,,,,,,,,,,,,,,,,,,,正常评价,否,
S016,衡航亚新光伏,灌南县,rooftop,medium,8.5,5904.0,2602.0,55.92818428184282,1736.0,1490.0,14.170506912442397,0.30180740037950665,0.7332352941176471,1708.0,1062.0,37.822014051522245,2003.3700000000001,2554.790263389623,0.1379921476787436,0.4584117647058822,-0.16381525270076305,-0.2748235294117649,1.2752463416092,8.654724489009483,测试期分布漂移,是,cf_mean漂移0.164>=0.1或cf_p95漂移0.275>=0.2
