site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_daytime_rows,train_valid_daytime_positive_rows,train_valid_daytime_zero_rows,train_valid_daytime_zero_ratio_pct,train_valid_daytime_low_output_ratio_pct,train_valid_daytime_capacity_factor_mean,test_daytime_rows,test_daytime_positive_rows,test_daytime_zero_rows,test_daytime_zero_ratio_pct,test_daytime_low_output_ratio_pct,test_daytime_capacity_factor_mean,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_peak_power_ratio_p95,capacity_factor_shift
S032,S032,9.335,18000,8013,55.4833,8792,6750,2042,23.2257,13.0914,0.126179,1708,1263,445,26.0539,9.9532,0.16613,0.888311,1.393058,14.922953,-50.38803,0.49612,18.1499,58.2553,0.529888,0.039950999999999987
S033,S033,5.688,7065,3545,49.8231,2413,2267,146,6.0506,7.4596,0.371939,1708,1278,430,25.1756,9.7775,0.176701,0.324,0.522323,9.18289,9.115083,1.091151,49.5316,27.459,0.560214,-0.19523800000000002
S034,S034,3.496,5343,2332,56.3541,1411,1261,150,10.6308,3.8979,0.331339,1708,1071,637,37.2951,4.0398,0.15304,0.21325,0.369528,10.570025,19.827078,1.198271,55.6206,20.9016,0.517735,-0.17829899999999999
S035,S035,5.296,19848,9044,54.4337,9870,7759,2111,21.388,9.2199,0.237344,1708,1285,423,24.7658,10.0117,0.149992,0.261822,0.436961,8.250774,2.178966,1.02179,38.8173,38.3489,0.47517,-0.08735200000000001
S037,S037,5.946,5936,762,87.1631,1754,3,1751,99.829,0.0,0.000473,1708,759,949,55.5621,3.63,0.112857,0.50206,0.877921,14.7649,50.884804,1.508848,52.3419,22.7752,0.489405,0.112384
S038,S038,1.672,5894,2735,53.5969,1732,1512,220,12.7021,5.6582,0.361849,1708,1223,485,28.3958,7.2014,0.184353,0.101415,0.165493,9.89788,8.764585,1.087646,49.5316,27.0492,0.616029,-0.177496
S039,S039,3.45,5889,2913,50.5349,1727,1647,80,4.6323,9.0909,0.270456,1708,1266,442,25.8782,10.0117,0.110501,0.234917,0.413831,11.995089,53.499618,1.534996,63.9344,12.6464,0.396087,-0.15995499999999996
S040,S040,5.96,6360,2985,53.066,2002,1721,281,14.036,5.6444,0.327502,1708,1264,444,25.9953,7.8454,0.180359,0.348942,0.553489,9.286723,9.388408,1.093884,49.9415,26.8735,0.580537,-0.14714300000000002
S041,S041,2.2,17592,8375,52.3931,8554,7118,1436,16.7875,5.4945,0.350064,1708,1257,451,26.4052,7.5527,0.237221,0.160565,0.257389,11.6995,12.843408,1.128434,50.1756,26.8735,0.781818,-0.112843
S042,S042,3.724,9705,4506,53.5703,3953,3265,688,17.4045,5.11,0.28118,1708,1241,467,27.3419,7.4941,0.17726,0.180569,0.313079,8.40707,4.387388,1.043874,46.0773,30.3279,0.56928,-0.10391999999999998
