hour,V0_n_sites,V0_site_mape_raw_mean,V0_site_mape_raw_median,V0_site_mape_clipped,V0_site_wape,V0_city_rel_err,V0_n_gt100,V0_n_gt200,V0_actual_mean_mw,V0_pred_mean_mw,V0_bias_pct,V1_n_sites,V1_site_mape_raw_mean,V1_site_mape_raw_median,V1_site_mape_clipped,V1_site_wape,V1_city_rel_err,V1_n_gt100,V1_n_gt200,V1_actual_mean_mw,V1_pred_mean_mw,V1_bias_pct,V2_n_sites,V2_site_mape_raw_mean,V2_site_mape_raw_median,V2_site_mape_clipped,V2_site_wape,V2_city_rel_err,V2_n_gt100,V2_n_gt200,V2_actual_mean_mw,V2_pred_mean_mw,V2_bias_pct,delta_V2_vs_V0,delta_V2_vs_V1
6,45,74.25080057883766,79.097341734355,74.97838981763168,95.85197450371078,95.50656191829802,0,0,1.091194029850746,0.04903212808257188,-95.50656191829802,45,81.90870940934083,62.36690151225355,118.12747010686834,93.8302623887057,91.52036578023638,3,3,1.091194029850746,0.09252926235924161,-91.52036578023638,45,83.36902379992387,62.36690151225355,119.00342888902277,93.88157242396332,91.57263344984709,3,3,1.091194029850746,0.09195892066890735,-91.57263344984709,-3.9339284684509295,0.05226766961071405
7,53,63.268699404520625,64.57082473666925,70.7591202704214,79.16644043235144,76.10781305264287,0,0,0.46900580720092916,0.11205574425040733,-76.10781305264287,53,52.82433204991627,46.99425362848541,80.29295093417521,69.31367965512972,58.97975588046256,1,0,0.46900580720092916,0.19238732704862824,-58.97975588046256,53,55.15219250784124,46.99425362848541,83.00293111925305,70.47682984813109,60.244430185494046,1,0,0.46900580720092916,0.1864559311158526,-60.244430185494046,-15.863382867148822,1.264674305031484
8,53,47.405525100755135,46.224345697797546,50.80020728628718,52.24170841177277,44.75070942398119,0,0,0.7338127632005184,0.4054263458245672,-44.75070942398119,53,41.52465885586731,36.85331869453242,52.2805472613308,45.450772150882216,32.568898883469274,0,0,0.7338127632005184,0.4948180263597497,-32.568898883469274,53,41.52465885586731,36.85331869453242,52.2805472613308,45.450772150882216,32.568898883469274,0,0,0.7338127632005184,0.4948180263597497,-32.568898883469274,-12.181810540511918,0.0
9,53,36.14719847811759,32.93704721735445,43.28517358344735,35.72523554048431,21.145198746306882,0,0,1.2040435681348385,0.949446162660602,-21.145198746306882,53,34.52196720976768,32.676272324306375,44.27929581168199,34.58433835986664,18.835677705773925,0,0,1.2040435681348385,0.9772538022038598,-18.835677705773925,53,34.52196720976768,32.676272324306375,44.27929581168199,34.58433835986664,18.835677705773925,0,0,1.2040435681348385,0.9772538022038598,-18.835677705773925,-2.3095210405329567,0.0
10,53,31.493796633621695,28.078077326970835,39.45263415386491,29.516023492067784,14.226977272738603,0,0,1.5717625671830542,1.3481482639685083,-14.226977272738603,53,31.238644679031736,28.078077326970835,39.55068067686608,29.353329510050862,13.91163122355738,0,0,1.5717625671830542,1.3531047551266295,-13.91163122355738,53,31.238644679031736,28.078077326970835,39.55068067686608,29.353329510050862,13.91163122355738,0,0,1.5717625671830542,1.3531047551266295,-13.91163122355738,-0.31534604918122255,0.0
11,53,30.807213663809332,27.267684513643292,38.58377943160028,28.666987348138274,14.739509595778589,0,0,1.8238239469947943,1.5550012413173888,-14.739509595778589,53,28.133695981777322,25.442424077155952,41.95325113727996,26.892997417708703,10.037683252041207,0,0,1.8238239469947943,1.640754276120581,-10.037683252041207,53,28.133695981777322,25.442424077155952,41.95325113727996,26.892997417708703,10.037683252041207,0,0,1.8238239469947943,1.640754276120581,-10.037683252041207,-4.701826343737382,0.0
12,53,32.13809559128083,27.641279402242724,41.85409404444612,29.8478116849279,15.981492049713331,0,0,1.883705919395466,1.5826616076473001,-15.981492049713331,53,29.42410755021721,26.391983732500623,45.6017581056558,28.115336241455523,11.566199489410588,0,0,1.883705919395466,1.6658327349643505,-11.566199489410588,53,29.42410755021721,26.391983732500623,45.6017581056558,28.115336241455523,11.566199489410588,0,0,1.883705919395466,1.6658327349643505,-11.566199489410588,-4.415292560302744,0.0
13,53,32.56416360748607,29.229773792498985,42.698774976037555,30.820221207807858,13.995586174088976,0,0,1.743090622537431,1.499134872367741,-13.995586174088976,53,30.27564362791717,28.61436695400716,45.116779873362404,29.664623200492606,10.821271535061822,0,0,1.743090622537431,1.5544660531704562,-10.821271535061822,53,30.27564362791717,28.61436695400716,45.116779873362404,29.664623200492606,10.821271535061822,0,0,1.743090622537431,1.5544660531704562,-10.821271535061822,-3.1743146390271537,0.0
14,53,34.06711123125817,30.85549685582173,45.54223565549506,32.23164586627463,16.36518296897081,0,0,1.4730454688980108,1.2319788826967173,-16.36518296897081,53,30.85099453299676,29.552658647264423,49.311914154778904,30.427610139785266,11.02721192596967,0,0,1.4730454688980108,1.3106096232767335,-11.02721192596967,53,30.85099453299676,29.552658647264423,49.311914154778904,30.427610139785266,11.02721192596967,0,0,1.4730454688980108,1.3106096232767335,-11.02721192596967,-5.33797104300114,0.0
15,53,34.83473645575998,30.68553404294053,43.56029962874244,34.788367749665895,18.087100490336073,0,0,1.0469032155868843,0.8575487789471248,-18.087100490336073,53,33.70884863287658,30.01889114668421,42.49886888056437,34.10611934486599,16.90142097806039,0,0,1.0469032155868843,0.8699616958876939,-16.90142097806039,53,33.70884863287658,30.01889114668421,42.49886888056437,34.10611934486599,16.90142097806039,0,0,1.0469032155868843,0.8699616958876939,-16.90142097806039,-1.1856795122756836,0.0
16,53,43.42302001050188,37.97742052614518,51.47353059988382,50.146861994767946,35.49397487829122,0,0,0.5921124250769481,0.3819481896688952,-35.49397487829122,53,40.96151776830144,38.220093508988256,57.21901286346138,48.27732552421995,22.54090015316613,0,0,0.5921124250769481,0.4586449545458626,-22.54090015316613,53,39.57407867530857,35.27717485788704,52.13711938219846,47.30501049280601,26.770246110902896,0,0,0.5921124250769481,0.4336024716306136,-26.770246110902896,-8.723728767388323,4.229345957736765
