hour,site_id,best_alpha,hour_k,site_k_raw,k_final,n_valid,shrink_weight
10,S002,0.1,1.0398132482669618,0.6282683956245858,0.860124650634375,62,0.4366
10,S003,0.1,1.0398132482669618,,1.0398132482669618,13,0.0
10,S004,0.1,1.0398132482669618,1.074984730763841,1.0551698110472891,62,0.4366
10,S006,0.1,1.0398132482669618,0.41361753276047797,0.7689058819840149,61,0.4326
10,S007,0.1,1.0398132482669618,1.0392023378241462,1.039546512721507,62,0.4366
10,S008,0.1,1.0398132482669618,1.3935073930741637,1.1942430861405287,62,0.4366
10,S009,0.1,1.0398132482669618,1.2958483277994477,1.151603212569878,62,0.4366
10,S010,0.1,1.0398132482669618,0.985295871944164,1.0160098867739091,62,0.4366
10,S011,0.1,1.0398132482669618,0.9599211172960884,1.005249985932045,61,0.4326
10,S012,0.1,1.0398132482669618,0.8105239423848241,0.9397010161212396,62,0.4366
10,S014,0.1,1.0398132482669618,0.9227390910557672,0.9891641447926152,61,0.4326
10,S016,0.1,1.0398132482669618,0.9261820905367947,0.9911141806683187,60,0.4286
10,S017,0.1,1.0398132482669618,2.295951804409588,1.25,62,0.4366
10,S018,0.1,1.0398132482669618,0.9427756910649991,0.997444737375964,62,0.4366
10,S019,0.1,1.0398132482669618,1.1792569105357984,1.0972312268482474,56,0.4118
10,S020,0.1,1.0398132482669618,1.2216440169965201,1.1192041472897265,62,0.4366
10,S021,0.1,1.0398132482669618,1.4113207450348328,1.2005363497055441,61,0.4326
10,S022,0.1,1.0398132482669618,1.8131198124239867,1.25,62,0.4366
10,S023,0.1,1.0398132482669618,0.9490181916816883,1.000170336236772,62,0.4366
10,S024,0.1,1.0398132482669618,1.0241688975122063,1.0329826162472797,62,0.4366
10,S025,0.1,1.0398132482669618,0.868290508023047,0.9649230377379285,62,0.4366
10,S028,0.1,1.0398132482669618,1.2357047418831326,1.124560632029986,61,0.4326
10,S030,0.1,1.0398132482669618,1.078392314733542,1.0566576294002572,62,0.4366
10,S031,0.1,1.0398132482669618,0.9112478437009749,0.9836790575409675,62,0.4366
10,S032,0.1,1.0398132482669618,2.457124422292596,1.25,62,0.4366
10,S033,0.1,1.0398132482669618,1.2753809261539557,1.1417255060762286,61,0.4326
10,S034,0.1,1.0398132482669618,1.1985373143362164,1.1091153052831153,62,0.4366
10,S035,0.1,1.0398132482669618,0.8877947686641691,0.9740463882969592,61,0.4326
