site_id,hour,alpha_site_hour,fit_samples,alpha_hour,hour_fit_samples,weight,alpha_final
S002,6,1.0,0,1.25,6753,0.0,1.25
S002,7,1.25,90,1.0856105902838513,17645,0.23076923076923078,1.1235466079106549
S002,8,1.2286104233945128,120,1.0147780719045463,28342,0.2857142857142857,1.075873029473108
S002,9,1.219167649066171,121,1.014783248472599,30421,0.28741092636579574,1.0735255583819154
S002,10,1.25,121,0.9573977109331647,30960,0.28741092636579574,1.0414948058906162
S002,11,1.25,123,0.9684269440800947,31105,0.2907801418439716,1.0503027972199253
S002,12,1.25,121,0.9685364578913596,31213,0.28741092636579574,1.049432155267002
S002,13,1.25,123,0.9655546011216521,31191,0.2907801418439716,1.0482656745543633
S002,14,1.25,123,0.9542973565336459,31092,0.2907801418439716,1.0402818131444298
S002,15,1.165738043573507,123,0.9906880094365584,30796,0.2907801418439716,1.0415890831926924
S002,16,1.1148277024646045,123,0.9954374906215141,29728,0.2907801418439716,1.0301537933560296
S002,17,1.25,122,0.9824197313369869,21222,0.2890995260663507,1.0597770601921708
S002,18,1.25,95,1.1611772722825542,13205,0.24050632911392406,1.1825397004677627
S002,19,1.0,0,1.25,1550,0.0,1.25
S003,6,1.25,204,1.25,6753,0.40476190476190477,1.25
S003,7,1.1880252565979184,338,1.0856105902838513,17645,0.5297805642633229,1.1398678899925576
S003,8,1.25,515,1.0147780719045463,28342,0.6319018404907976,1.1634152411918575
S003,9,1.25,578,1.014783248472599,30421,0.6583143507972665,1.169629811551002
S003,10,1.25,597,0.9573977109331647,30960,0.6655518394648829,1.1521397026532325
S003,11,1.25,597,0.9684269440800947,31105,0.6655518394648829,1.155828409391336
S003,12,1.25,602,0.9685364578913596,31213,0.6674057649667405,1.1563868485226252
S003,13,1.25,602,0.9655546011216521,31191,0.6674057649667405,1.1553951001513256
S003,14,1.25,599,0.9542973565336459,31092,0.6662958843159066,1.1513228108566116
S003,15,1.25,596,0.9906880094365584,30796,0.6651785714285714,1.1631767888738476
S003,16,1.25,586,0.9954374906215141,29728,0.6613995485327314,1.1638050193978038
S003,17,1.25,446,0.9824197313369869,21222,0.5978552278820375,1.1423939938352494
S003,18,1.25,339,1.1611772722825542,13205,0.5305164319248826,1.2082991888650487
S003,19,1.25,171,1.25,1550,0.3630573248407643,1.25
S004,6,1.0,0,1.25,6753,0.0,1.25
