hour,n_dates,n_sites_mean,city_total_rel_err_pct_mean,city_total_rel_err_pct_median,city_total_rel_err_pct_p25,city_total_rel_err_pct_p75,city_total_rel_err_pct_p90,WAPE_city_pct_mean,WAPE_city_pct_median,mean_site_mape_pct,mean_site_mape_pct_median,city_total_actual_mw_mean,city_total_pred_mw_mean,city_total_abs_err_mw_mean,city_total_bias_mw_mean,city_total_bias_pct_mean
6,184,21.119565217391305,86.8265835262716,94.6952656863666,83.65697111493007,96.11360097620438,96.4619586481262,88.98106329564122,95.49313334845755,75.49404790411366,69.08578035439334,11.477391304347824,1.8422843893921874,9.91471374072045,-9.635106914955639,-86.82152521937452
7,184,40.29891304347826,70.20275110844982,77.60705646939341,50.42218842089304,89.83052282190353,93.972023059069,74.5390602464666,81.17386800601483,71.96350199618995,65.80670960375852,25.34038043478261,10.469342720828095,15.844743733684664,-14.871037713954513,-69.25303701311748
8,184,51.04347826086956,42.619928384735935,42.795522729162,23.575753028359255,60.926030699268736,70.25387057014251,51.397223402994925,48.78305256238554,53.28985063099081,45.59902659048966,50.20483695652173,33.4642704917517,21.514867860097976,-16.74056646477004,-40.18174175021598
9,184,51.66847826086956,26.937553854434505,22.27850553293957,12.9687224390272,36.477659582979825,51.85266953082894,39.3360344462692,34.16680494458582,50.85350785580333,36.452318102345885,76.6425,63.54721665383593,25.28225551269531,-13.095283346164063,-19.517085036246584
10,184,51.97282608695652,21.40328222724291,15.064507019337944,8.81934857242946,29.582041961582654,50.68350986746034,34.67191481716379,29.803917095080624,44.98939931897979,36.03506117990864,97.18945652173913,84.93460061900296,28.158912333295387,-12.254855902736153,-13.576363172785086
11,184,52.06521739130435,20.501624128537284,14.894734576975926,7.675456710611952,30.709186260674144,44.95674216573905,33.66567978102246,28.7920119988474,44.85562240909169,35.27657666749795,110.21603260869566,96.54090294863903,31.776061749155907,-13.675129660056621,-13.275594255458664
12,184,52.130434782608695,20.061267425744997,14.92111049273549,8.987609958777062,26.930279629383822,45.1677698434389,34.24383199974472,28.746160169719985,44.92603898436278,35.90540239523651,113.83842391304348,99.0414606519147,33.812521153192336,-14.796963261128786,-13.887022184041781
13,184,52.07608695652174,20.035187376819582,14.29151550642289,7.657141792111341,25.74711200476112,45.49651125887194,35.718503772887665,31.418693969578015,48.92433292564273,38.75339261335343,107.45586956521738,95.51557456071235,33.21349933901784,-11.94029500450504,-11.036554884688334
14,184,51.84239130434783,23.775520969749067,16.92236741250228,8.901005810150252,30.5045198730287,57.98702500186385,38.437007913149195,31.973124626068994,71.88616762914535,39.13920473894018,93.9224456521739,81.49515383222015,30.38687015621117,-12.427291819953743,-12.710469824300798
15,184,51.75,26.081634797893496,16.775382349681067,8.52128999769526,34.73709740925706,63.50357302407286,40.93282492307056,32.900064304647216,74.25937992553976,38.911411237253105,71.91902173913043,60.91560932735546,24.411197223563654,-11.003412411774978,-16.948494781069474
16,184,51.108695652173914,39.06620967488437,33.585940169989314,21.023221207830616,49.767005128855445,75.37831841167757,53.414663631203396,48.39680296117178,61.14438555852497,43.54771923440835,47.51929347826086,34.761530794133726,20.579413415064042,-12.757762684127146,-31.26021548892416
17,184,34.79347826086956,65.46663255357367,73.70940654600659,39.964974153984656,92.05124046658719,93.83452729056947,71.6585684922863,80.16034437129196,70.54960456700786,62.5589344544436,25.87684782608696,14.426536835970651,14.094141396586522,-11.450310990116305,-62.70789042316738
18,184,23.11413043478261,71.02036908688832,82.53076520092782,56.700571337414615,95.62208464203842,96.09379260563105,76.5045921649867,85.81348880261741,67.35680325982062,63.96152027757198,12.740054347826087,5.002889086815335,9.006192486743563,-7.737165261010752,-69.19754883733249
19,184,10.032608695652174,86.50892656728212,95.89140212986038,86.79856036036522,96.65695645023393,97.70325729948462,93.20292412058629,95.95292222564657,76.18608720635615,71.46874314718126,7.776521739130436,0.6360433463024523,7.468553926922083,-7.140478392827982,-78.80973119275698
