split,irr_mae,irr_rmse,irr_nrmse,irr_corr,power_recon_rmse,power_recon_nrmse,rows
train,1.0989575656638275,2.232034039695127,0.0022576578468943595,0.9999623743951882,16.508232763041914,0.06806676602087129,373434
valid,1.6958273328067053,4.7204447158960745,0.004804703647268035,0.9998637043476852,20.00874103711811,0.07462050062324946,103632
test,1.3848798088678675,4.129382444886622,0.004324569081869807,0.9998352213358501,20.542727007063345,0.07888609119105773,107942
