site_id,site_name,county,install_group,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_cf_mean,tv_cf_p95,tv_zero_ratio_pct,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S018,国能百菇源光伏电站,灌云县,rooftop,5.1,16094,7763,51.764632782403375,0.2719502172126335,0.7313725490196079,15.360583181463161,1708,1261,26.170960187353632,1352.6399999999999,1501.816041353181,0.1552830968452955,0.5,-0.116667120367338,-0.2313725490196079,1.1102851027273932,8.281615448613849,测试期分布漂移,是,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.231>=0.2
S019,首耀新海光伏电站,海州区,rooftop,3.0,26304,12461,52.62697688564477,0.3066412437665004,0.8266666666666667,18.568495159870928,1708,1357,20.550351288056206,1877.38,1101.4746221368719,0.36638953942232627,0.8066666666666666,0.059748295655825845,-0.020000000000000018,0.5867084032731102,31.922641179610473,系统性偏差,是,"pred/actual=0.587超出[0.8,1.2]"
S020,国能赫睿光伏电站,赣榆区,rooftop,3.8,8880,4268,51.93693693693694,0.2695140067911715,0.6921052631578948,13.220046082949308,1708,1255,26.52224824355972,986.63,413.92720350652394,0.15201374337483053,0.49473684210526314,-0.11750026341634096,-0.19736842105263164,0.41953640524464486,16.60887672295358,测试期分布漂移,是,cf_mean漂移-0.118>=0.1或cf_p95漂移-0.197>=0.2
S021,国能鑫江源光伏电站,赣榆区,rooftop,2.2,6392,2904,54.56821026282853,0.2819059405940594,0.7909090909090909,15.891089108910892,1708,1205,29.449648711943794,677.1400000000001,307.8100362082547,0.18020545028741747,0.5909090909090908,-0.10170049030664191,-0.20000000000000007,0.45457370146240755,19.85702727552881,测试期分布漂移,是,cf_mean漂移-0.102>=0.1或cf_p95漂移-0.200>=0.2
S022,浦西光伏电站,海州区,rooftop,3.24,26304,12131,53.88153892944039,0.1587063926642982,0.5154320987654321,20.66588442358463,1708,1313,23.126463700234194,1044.7,623.3455358519367,0.18878118946424954,0.5864197530864197,0.030074796799951342,0.07098765432098764,0.5966741991499346,13.807377999987452,系统性偏差,是,"pred/actual=0.597超出[0.8,1.2]"
S023,连洋徐圩光伏发电站,连云区,rooftop,16.37,26304,12323,53.151611922141115,0.18752585998505877,0.5308491142333537,18.68583162217659,1708,1235,27.693208430913348,3464.1000000000004,3426.2431373165027,0.1238950270315122,0.41273671350030533,-0.06363083295354657,-0.11811240073304835,0.9890716599741642,5.979460931306304,正常评价,否,
S024,兴怡紧固件光伏电站,赣榆区,rooftop,5.99,21320,9476,55.553470919324575,0.21522759159872468,0.6377295492487479,23.415361670395228,1708,1260,26.229508196721312,1349.51,1447.201545017789,0.13190504861732863,0.42570951585976624,-0.08332254298139605,-0.21202003338898168,1.0723903824482879,7.474727733407269,测试期分布漂移,是,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.212>=0.2
S025,夏源银得隆光伏电站,灌南县,rooftop,5.65,14335,6458,54.949424485524936,0.24606345663477383,0.7150442477876106,21.58424770780099,1708,1241,27.341920374707264,1573.0,1621.6580355400151,0.1630018030714389,0.5097345132743363,-0.08306165356333492,-0.20530973451327428,1.0309332711633916,7.547770063697203,测试期分布漂移,是,cf_mean漂移-0.083>=0.1或cf_p95漂移-0.205>=0.2
S026,京运通牛山光伏电站,东海县,rooftop,2.6,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S027,林洋伊山光伏电站,灌云县,rooftop,22.0,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S028,华能星耀光伏电站,灌云县,rooftop,3.14,10479,4742,54.7475904189331,0.2827739308771945,0.7802547770700637,20.49012933968686,1708,1238,27.5175644028103,997.3899999999999,910.9216021817621,0.18597197153895492,0.5605095541401274,-0.09680195933823957,-0.21974522292993637,0.9133053290906888,10.415161354055384,测试期分布漂移,是,cf_mean漂移-0.097>=0.1或cf_p95漂移-0.220>=0.2
S029,协鑫曲阳光伏发电站,东海县,other,20.0,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S030,中森侍庄光伏发电站,灌云县,rooftop,2.9,26304,12833,51.21274330900243,0.25999939308726394,0.710344827586207,15.077735406277501,1708,1253,26.639344262295083,924.5699999999999,897.5334872098572,0.18666114834854236,0.603448275862069,-0.07333824473872158,-0.10689655172413803,0.9707577438267057,8.798971857263293,正常评价,否,
S031,富云杨集光伏电站,灌云县,ground,0.9222,26304,11724,55.42883211678832,0.2061054021658896,0.5747126436781609,22.337929011440306,1708,1134,33.60655737704918,185.22000000000003,193.31015168317472,0.11759121985558411,0.3795272175233138,-0.08851418231030549,-0.19518542615484707,1.0436786075109312,6.241189569700367,正常评价,否,
S032,华能中林光伏电站,灌云县,rooftop,9.335,18000,8013,55.48333333333333,0.12617912861329358,0.43599357257632565,23.225659690627843,1708,1263,26.05386416861827,2648.81,479.28997259379656,0.16613021177633466,0.5298875200856988,0.03995108316304108,0.09389394750937319,0.1809453953261263,21.31994030900118,系统性偏差,是,"pred/actual=0.181超出[0.8,1.2]"
S033,天瀚万发光伏电站,海州区,rooftop,5.688,7065,3545,49.82307147912243,0.3719392670852852,0.8498593530239101,6.050559469539992,1708,1278,25.175644028103044,1716.67,1602.369421754103,0.17670114493884984,0.560214486638537,-0.19523812214643535,-0.2896448663853731,0.9334172681727432,9.132599074277396,测试期分布漂移,是,cf_mean漂移-0.195>=0.1或cf_p95漂移-0.290>=0.2
