hour,nrmse_hour_avg,nrmse_hour_median
6,4.195106431299169,2.672092948004102
7,5.619121326442372,3.9127149243179797
8,7.839229376875401,6.7332229961229695
9,11.343282433177455,10.00745338697292
10,14.51923676497885,12.917627816955747
11,16.30292979440945,14.151468853472654
12,16.9753463113434,15.294633928858335
13,16.57799541682549,15.03957905779104
14,14.237517910429936,13.03795092624705
15,10.091027389648966,8.952065241664243
16,6.67683469778724,5.650055774862059
17,4.282958779849883,2.44151558071788
18,4.194507940457051,2.466630268311262
19,3.939596396934187,2.425115810924135
