S002_相对误差(%),S004_相对误差(%),S007_相对误差(%),S008_相对误差(%),S009_相对误差(%),S010_相对误差(%),S011_相对误差(%),S012_相对误差(%),S014_相对误差(%),S017_相对误差(%),S018_相对误差(%),S019_相对误差(%),S020_相对误差(%),S021_相对误差(%),S022_相对误差(%),S023_相对误差(%),S024_相对误差(%),S025_相对误差(%),S028_相对误差(%),S030_相对误差(%),S032_相对误差(%),S033_相对误差(%),S035_相对误差(%),S038_相对误差(%),S039_相对误差(%),S040_相对误差(%),S041_相对误差(%),S042_相对误差(%),S046_相对误差(%),S047_相对误差(%),S049_相对误差(%),S050_相对误差(%),S051_相对误差(%),S052_相对误差(%),S053_相对误差(%),S054_相对误差(%),S055_相对误差(%),S056_相对误差(%),S059_相对误差(%),S060_相对误差(%),S061_相对误差(%),S062_相对误差(%),S064_相对误差(%),S065_相对误差(%),S066_相对误差(%),S068_相对误差(%),S070_相对误差(%),S071_相对误差(%),S072_相对误差(%),S073_相对误差(%),S074_相对误差(%),S075_相对误差(%),S116_相对误差(%),time
98.60579423327455,58.89281217967132,76.86792057311901,11.323911306977138,78.65102277196148,29.697860604013343,,78.13371751904478,54.80736649477441,99.53667322595537,73.99078377346177,96.98065220008161,192.12133436500926,331.9713438082708,147.94762662839761,5.611017217053967,289.15856559035774,144.69388025756632,123.82795226404986,83.74128971924868,,93.59110716509178,382.28743604436653,90.3394670444383,85.65837013622173,91.67119040272537,71.59823528723973,88.0669473097762,121.82438094787065,,179.94422061970013,84.55323213021948,,258.01465759599205,63.133156759137066,77.93091343574937,,,446.3554260126385,93.83289885730291,85.30065649489394,98.86103525237961,,178.51444315083708,19.267698292205132,37.77763836982809,,106.43909765037323,49.30856909746467,13.056125683607728,90.09351162433796,83.56878135543006,100.0,2025-09-01 06:00:00
27.01755701765422,35.14000860643843,25.120078329364464,45.26667627012829,49.902064452885,8.884259248913182,14.595103234088896,1.584888986850352,21.76451764742494,72.44451772793983,19.6898988804604,87.05688977846334,44.83120252206652,57.11000206309799,45.531147539903685,18.420703690145615,34.16510308659861,7.653611077354435,42.20765923998053,40.83058845643536,49.34576983909062,39.7018567834997,67.06925275901098,28.201093114767062,131.37538680773744,43.332329025026404,8.995416627170096,8.48778481396156,41.75686160278415,11.342904046941616,32.01939068167932,18.843780225435818,,52.50376201838753,45.07165771721037,12.617029596930477,28.752617951660525,22.21348096105187,10.371851842542496,36.386700271774075,17.123292511176828,42.19464297025424,9.515338420733386,28.314813044169036,33.090606548703136,39.42637934996846,3.7800504764914598,0.3544411154674814,33.15892376866893,31.398841364625902,38.469840266242024,24.706821585846885,55.076746606933426,2025-09-01 07:00:00
98.86622027317532,13.344006490626764,9.70010919384681,41.56109653606155,47.99648854559974,11.182457761333522,14.07516983660891,1.8828816929613548,41.42158234220589,29.078521949610213,12.750456217918934,61.0506660652837,42.29753840636475,52.78823452318191,35.413941149098754,0.5207269823929231,16.381869185608554,11.580241328559541,32.10597376655474,24.74853128594771,61.38449273955637,30.619913513336012,83.27880171885047,27.28582315818701,525.5069721705503,32.730390679537145,7.515250847664165,22.27356079446948,48.473930057709566,16.857948024847953,13.12667694303968,10.426166069542349,,49.74980410500814,13.396697139037968,10.529193537875457,11.304754792012183,2.9334799390613364,8.174926813572071,31.263889570095415,18.368080059957762,8.886424439680889,19.222141987633663,19.156851178086566,48.051518147914265,26.419045420049052,3.0895628157837725,14.170908038640158,15.2203848699484,19.51435255172557,114.40815829056686,13.77275717109623,49.80359049210581,2025-09-01 08:00:00
185.14558828099698,29.19460026015222,13.053473431975279,38.47260701667985,37.50918097064422,12.10324299106381,3.6234421551207623,4.679524582172443,123.4085070088278,16.813434825575495,13.25375445073386,43.93415412733103,30.1995241516561,40.87224002643268,39.15285999513187,133.24483848981978,37.47183156087233,15.141799661778716,30.808006383471824,24.48399185277031,33.271007852698204,30.596224401658755,83.53456518736841,34.16411704075437,843.2778023118804,33.12730489562868,5.692591829226955,20.491204334025824,41.222016996722374,8.071342104151258,29.63152118453469,8.57000291059369,7.8552770000862875,2.3123605554579343,8.621092684185854,10.906836320112708,0.21810159305555776,5.95397973723286,12.631481119487045,32.71821736641641,28.790155820293613,13.006245945226134,5.239603181876977,24.538280873826263,23.28621742606036,26.493753874075043,18.193519629135334,15.964250607980384,24.616086072963167,11.928662905920397,78.94004276233046,20.186528084752993,41.52051605986507,2025-09-01 09:00:00
255.5275824991147,27.021439612105596,11.959604630551125,53.032176864764324,61.6229832126065,1.9117882083788507,38.368425034799614,5.421189373052002,13.634274430595283,10.70376738331702,160.98067355513578,36.072781445343836,28.13066274697033,42.123799107222645,0.7332252225837219,181.6716479925551,13.851868990219046,112.65161782101585,46.509903108085695,5.90317783314384,44.56496108200136,33.178649455638,49.51683951419521,25.36211385846251,986.1790568126281,16.346688622162116,66.5555360849572,4.914640277547126,135.05755504185393,36.77327814673536,26.386124439551722,78.65728858183058,20.411872217212085,18.29085034398797,9.202420405218671,9.527258326079622,8.066269024896938,14.491607777887417,183.1501478229457,36.27595655997913,24.493270528153772,10.167146976951095,25.462227542101434,12.109456452107912,18.579492415375356,61.6822293741927,7.362592806964311,10.044249799001898,3.302489067593893,57.21734488177458,9.799804092618272,27.66184688537518,31.390902471142425,2025-09-01 10:00:00
276.4206055512163,24.06115390008814,20.626909393158435,49.69385361918208,1.428901451650342,19.83097011154093,117.92731679670885,123.58806937192799,125.83266472473377,47.36943862204426,90.763155876511,26.450154363791057,17.81558722834034,1.231875454861732,43.20125583396198,28.103041103958198,21.779583366569646,40.62417507369782,46.19243972924013,105.991124877476,64.25431110579835,35.12973573769364,,37.20460233527612,1110.7733794860007,1.7734051425180735,14.512061281970917,29.678226127492017,28.94742546064468,15.145215023660036,56.006414769993675,50.49562017709241,22.805827888819387,17.795034012033657,23.07937888818765,16.644228925529593,4.050906304122659,28.97637427069312,92.0874932737774,38.41090836588037,8.028518254143034,1.557858631385687,42.75851542875957,31.95946057760623,34.18084402924271,35.591405972455775,28.207257806672725,23.199655188900937,9.73043997838572,30.191089918656417,44.061725147630895,18.308166070890017,4.116125895195711,2025-09-01 11:00:00
285.92037905685413,21.85590247781703,36.99225056179765,40.30517405853266,32.80429653688038,3.947275927785132,37.421700738896114,7.501563711477462,22.90295334147382,46.63585032617692,23.166275352009876,28.133325761029965,20.481519367759542,38.22876991665332,45.88130333112794,13.130465439694476,74.8437519874048,116.25707847818899,44.36084497656733,6.630610101002592,69.58869331840224,32.24099396576487,,22.254111857646507,1089.6890236544268,56.54345733614985,17.03838457438211,20.61351653835469,108.47469848410066,24.265892162209454,20.56745197967301,10.770788535139038,19.37135646528489,54.81630008619614,20.649426042859616,28.276536646493415,21.658134039561688,1.749551289647277,13.569856344438906,27.457658699898058,31.171608553087214,29.120051861254602,27.071835057487696,32.54216432306929,15.205195853449647,5.972522839575286,4.826866097039869,35.345247708729666,3.9882313137719136,25.059157255639906,35.694621996821816,9.624756935534855,40.499273238171156,2025-09-01 12:00:00
290.7009305292024,20.11305934564848,19.84887862201023,51.92302707370744,6.509051266034077,32.34126848089019,36.80800963382587,10.05881843398706,1.0596107088811688,43.911138230656256,24.396480095794633,30.29262973333367,30.16013834995086,40.06606877310047,31.24083304867708,11.520708158695564,203.12302671619668,42.37675490326249,48.85874629503528,10.944834499718912,69.1880367026422,41.65071597550523,,21.563067397143136,1218.6400502516244,41.10592108184066,17.05241193793165,34.59876035356061,37.919021123362874,27.99326332666911,31.005655244078163,18.082768675139953,28.795157378999352,5.790433824985776,12.156543337827708,10.864606190094635,28.18278274020493,4.724735311879551,34.94210862639712,14.776730291533466,43.41605647430925,23.73651083731306,189.10461687263077,19.324896356382915,59.51972527791811,24.73582195731952,18.406800768077822,28.44559214173915,2.4385668740927806,38.61480696133157,4.993615829906534,28.63537710389334,0.746879153396709,2025-09-01 13:00:00
257.40212342960274,23.969695343506235,11.995715755256267,47.63339358603504,30.74223677566244,28.593671224222593,40.91689656421397,39.04399167859368,15.801543182327846,21.668212978399513,21.672262072597903,32.45072557580169,28.18261115719794,38.23948301065863,42.63691276026363,14.106849624741605,176.87291907982677,32.49942940183288,37.7592123556146,204.01256626617968,61.933424536589385,34.559709155622336,,23.86046089201241,1179.2294692880687,33.74271002923393,19.705147335821486,23.50086917080186,35.49934837873299,13.647195000568335,28.01285408194604,109.25202699159642,10.144515531434605,40.450925158175394,10.026893147111522,12.725421342025589,7.42933506352286,6.391115835626243,202.0248800490494,26.35394766565285,27.38082235459382,18.719244510319633,34.88996178940174,31.67983142120575,25.888879143487753,38.4356148742929,17.895622547369776,41.3592015478848,12.140205159921935,38.98752062016817,29.905114525051275,26.144880328342275,45.32895030881695,2025-09-01 14:00:00
215.08042464651837,23.28397358457383,6.331103440259202,52.271978359617265,29.09654776850675,8.420260186809442,68.78744352119523,74.90780095792621,14.761788237916967,7.760928159939692,23.248557899838378,43.33075564744235,23.659936060944435,35.94348501141083,37.96739690990108,7.566007975286547,12.077988907889424,42.48847762855526,100.27215733743269,180.19831484970337,69.14815789503265,29.47604524122806,,60.034578519708425,927.8424961591052,27.25836317366193,12.977761647520868,18.70718677553832,33.7862858751802,128.0698956564518,27.322603274655805,10.735508218632884,174.61378681005377,23.117191583471072,9.981720158806842,8.315902227092288,57.02133653263781,12.908168438331852,2.28710105151342,23.27826563511731,18.575409298274582,18.20806663256717,46.443840917123055,25.20258373580992,16.971813809162356,33.833970508589886,10.709818996059632,48.530078124803175,21.31344366638405,44.59513952327594,28.808351646759263,17.79047613222542,49.00802024347473,2025-09-01 15:00:00
