hour,alpha_hour,hour_fit_samples
6,1.25,6753
7,1.0856105902838513,17645
8,1.0147780719045463,28342
9,1.014783248472599,30421
10,0.9573977109331647,30960
11,0.9684269440800947,31105
12,0.9685364578913596,31213
13,0.9655546011216521,31191
14,0.9542973565336459,31092
15,0.9906880094365584,30796
16,0.9954374906215141,29728
17,0.9824197313369869,21222
18,1.1611772722825542,13205
19,1.25,1550
