site_id,Round58,Round59,Round60,Round61
S012,16.4076,16.1426,15.667,16.4099
S019,30.4289,30.9894,30.3453,30.4253
S032,20.3974,19.1028,19.6509,20.3966
S053,24.4977,24.5458,24.4839,24.4923
S071,13.3968,13.2743,13.3872,13.3955
S115,17.6378,17.5098,17.5964,17.6376
S116,9.4768,9.4881,9.4724,9.4769
S022,10.7702,13.2039,10.7625,10.7688
S050,14.1835,16.4253,14.8865,14.1855
S004,8.5326,10.318,9.3381,8.5338
