site_id,hour,rows,capacity_mw,actual_sum_mwh,pred_sum_mwh,pred_actual_ratio,mae_mw,rmse_mw,site_nrmse_pct,bias_mwh,bias_pct
S032,11,122,9.335,398.32,201.777,0.5066,1.8102,2.1868,23.4256,-196.543,-49.343
S116,14,122,22.0,1019.88,1187.9277,1.1648,4.3553,5.073,23.0589,168.0477,16.4772
S019,11,122,3.0,214.52,175.4377,0.8178,0.4727,0.6899,22.9962,-39.0823,-18.2185
S052,12,122,6.08,301.66,169.0446,0.5604,1.1756,1.3887,22.8407,-132.6154,-43.9619
S055,10,113,4.0,53.5,138.1756,2.5827,0.8104,0.9097,22.7426,84.6756,158.2722
S019,13,122,3.0,207.6,176.8554,0.8519,0.4596,0.6769,22.5642,-30.7446,-14.8096
S055,14,114,4.0,52.26,132.0853,2.5275,0.7815,0.8848,22.1188,79.8253,152.7464
S050,14,122,2.55,45.52,94.9523,2.0859,0.475,0.5623,22.0505,49.4323,108.5946
S019,12,122,3.0,215.96,184.7659,0.8556,0.469,0.6595,21.9833,-31.1941,-14.4444
S050,10,121,2.55,47.78,94.5751,1.9794,0.4339,0.5368,21.0515,46.7951,97.9386
S052,13,122,6.08,273.3,159.9396,0.5852,1.0136,1.2779,21.0173,-113.3604,-41.4784
S052,11,122,6.08,277.49,164.0833,0.5913,0.9925,1.2096,19.8949,-113.4067,-40.8688
S028,13,122,3.14,149.83,145.0779,0.9683,0.4923,0.6238,19.8652,-4.7521,-3.1716
S060,12,122,5.84,244.32,331.3054,1.356,1.0178,1.1534,19.7501,86.9854,35.6031
S032,10,122,9.335,347.16,184.3714,0.5311,1.5251,1.8407,19.7177,-162.7886,-46.8915
S022,12,122,3.24,167.26,118.6572,0.7094,0.5256,0.6308,19.4691,-48.6028,-29.0583
S039,12,122,3.45,106.87,155.692,1.4568,0.4795,0.6611,19.1629,48.822,45.6835
S028,12,122,3.14,162.37,146.8005,0.9041,0.4491,0.593,18.884,-15.5695,-9.5889
S072,13,122,3.125,194.93,172.1033,0.8829,0.5027,0.5895,18.8625,-22.8267,-11.7102
S041,13,122,2.2,133.16,146.8126,1.1025,0.3256,0.4145,18.8393,13.6526,10.2528
S046,13,122,4.25,175.58,205.2641,1.1691,0.5836,0.7902,18.592,29.6841,16.9063
S046,12,122,4.25,191.9,225.8699,1.177,0.5681,0.7851,18.474,33.9699,17.7019
S039,11,122,3.45,102.35,150.9143,1.4745,0.4501,0.6307,18.2816,48.5643,47.4492
S060,13,122,5.84,213.76,305.6916,1.4301,0.9345,1.0585,18.1248,91.9316,43.0069
S039,13,122,3.45,100.25,147.8482,1.4748,0.4474,0.6209,17.9976,47.5982,47.4795
S072,12,122,3.125,207.29,183.5984,0.8857,0.4677,0.5622,17.989,-23.6916,-11.4292
S022,11,122,3.24,159.78,112.6176,0.7048,0.4815,0.5791,17.8734,-47.1624,-29.5171
S028,14,122,3.14,121.77,124.5208,1.0226,0.4472,0.5604,17.846,2.7508,2.259
S041,12,122,2.2,147.32,155.2917,1.0541,0.3048,0.3911,17.7779,7.9717,5.4112
S032,14,122,9.335,323.62,178.8608,0.5527,1.4082,1.6566,17.7466,-144.7592,-44.7312
S009,11,122,5.25,215.86,261.7073,1.2124,0.6712,0.9272,17.6613,45.8473,21.2394
S060,11,122,5.84,235.27,307.8782,1.3086,0.9118,1.0198,17.4628,72.6082,30.8617
S022,13,122,3.24,158.75,113.0828,0.7123,0.461,0.5603,17.2921,-45.6672,-28.7668
S046,11,122,4.25,192.99,207.2725,1.074,0.5583,0.7303,17.1844,14.2825,7.4006
S009,12,122,5.25,238.75,289.5577,1.2128,0.6776,0.9009,17.1594,50.8077,21.2807
S072,11,122,3.125,203.84,180.4418,0.8852,0.4454,0.536,17.152,-23.3982,-11.4787
S021,11,119,2.2,101.55,96.6725,0.952,0.3145,0.3764,17.1094,-4.8775,-4.803
S052,14,122,6.08,226.62,130.6914,0.5767,0.8659,1.0318,16.9701,-95.9286,-42.3301
S060,10,122,5.84,196.01,276.8336,1.4123,0.8923,0.9841,16.8506,80.8236,41.2344
S060,14,122,5.84,180.49,262.664,1.4553,0.8831,0.978,16.7472,82.174,45.5283
S051,13,120,5.025,142.63,207.1326,1.4522,0.69,0.8413,16.7418,64.5026,45.2237
S041,10,122,2.2,114.28,132.4255,1.1588,0.2756,0.3673,16.6942,18.1455,15.8781
S004,13,122,3.97,148.19,200.66,1.3541,0.5331,0.6618,16.6696,52.47,35.4072
S004,12,121,3.97,162.58,208.8173,1.2844,0.5254,0.6585,16.5878,46.2373,28.4397
S009,13,122,5.25,205.11,256.1828,1.249,0.6678,0.8704,16.5782,51.0728,24.9002
S008,13,122,3.172,164.9,167.2867,1.0145,0.3684,0.5249,16.5494,2.3867,1.4474
S039,14,122,3.45,80.53,127.7168,1.586,0.4359,0.5706,16.5403,47.1868,58.5952
S021,13,119,2.2,96.73,97.0235,1.003,0.2987,0.3602,16.3749,0.2935,0.3034
S028,11,122,3.14,150.02,141.3729,0.9424,0.3885,0.5137,16.3605,-8.6471,-5.764
S051,11,118,5.025,133.72,198.2586,1.4826,0.6618,0.8134,16.1863,64.5386,48.264
S039,10,122,3.45,86.24,126.6999,1.4692,0.3934,0.5552,16.0931,40.4599,46.9155
S041,14,122,2.2,114.2,125.729,1.101,0.2672,0.354,16.0918,11.529,10.0955
S075,13,122,2.63,104.2,129.1167,1.2391,0.3467,0.4225,16.0661,24.9167,23.9124
S041,11,121,2.2,141.52,151.3987,1.0698,0.2559,0.3531,16.0489,9.8787,6.9804
S072,14,122,3.125,171.93,151.5934,0.8817,0.4141,0.4985,15.9524,-20.3366,-11.8284
S051,12,119,5.025,156.51,212.3492,1.3568,0.6491,0.7999,15.9187,55.8392,35.6777
S028,10,122,3.14,131.01,127.8434,0.9758,0.3845,0.4926,15.6892,-3.1666,-2.417
S022,10,122,3.24,134.66,96.1257,0.7138,0.4111,0.5072,15.6541,-38.5343,-28.616
S038,13,121,1.672,79.18,87.812,1.109,0.2038,0.261,15.6081,8.632,10.9018
S007,13,122,22.0,1118.8,1237.2716,1.1059,2.6931,3.4263,15.5743,118.4716,10.5892
S052,10,122,6.08,237.54,151.9182,0.6395,0.7614,0.9445,15.5339,-85.6218,-36.0452
S038,14,120,1.672,65.13,76.4639,1.174,0.2092,0.2579,15.4224,11.3339,17.4019
S072,10,122,3.125,170.92,163.9315,0.9591,0.4046,0.4811,15.3949,-6.9885,-4.0888
S075,12,122,2.63,108.55,134.9538,1.2432,0.3329,0.4049,15.3948,26.4038,24.3241
S004,14,122,3.97,118.78,169.9293,1.4306,0.5126,0.6081,15.3181,51.1493,43.0622
S021,12,119,2.2,112.78,107.2952,0.9514,0.2695,0.3361,15.2759,-5.4848,-4.8632
S073,11,122,15.0,720.69,571.5333,0.793,1.8742,2.2735,15.1568,-149.1567,-20.6964
S061,13,122,3.784,148.11,183.7897,1.2409,0.4719,0.5727,15.135,35.6797,24.09
S008,11,122,3.172,172.56,170.9099,0.9904,0.3477,0.4789,15.0983,-1.6501,-0.9562
S040,13,122,5.96,270.73,306.93,1.1337,0.7291,0.8956,15.0267,36.2,13.3713
S002,12,122,3.3,132.44,133.4201,1.0074,0.371,0.4929,14.9377,0.9801,0.7401
S046,14,122,4.25,147.75,170.6001,1.1547,0.4624,0.632,14.8703,22.8501,15.4654
S066,11,122,5.45,234.41,258.3793,1.1023,0.6275,0.8084,14.8335,23.9693,10.2254
S007,11,122,22.0,1290.21,1350.2574,1.0465,2.3527,3.2628,14.8311,60.0474,4.6541
S051,10,115,5.025,117.33,179.3872,1.5289,0.6348,0.7451,14.8269,62.0572,52.8912
S033,12,122,5.688,276.56,304.7113,1.1018,0.6994,0.8428,14.8167,28.1513,10.1791
S008,12,122,3.172,174.83,174.647,0.999,0.352,0.4691,14.7889,-0.183,-0.1047
S051,14,121,5.025,121.5,179.744,1.4794,0.6196,0.7397,14.7196,58.244,47.9375
S065,13,122,1.9239,105.26,111.6984,1.0612,0.2043,0.2823,14.6751,6.4384,6.1166
S046,10,122,4.25,159.32,167.0603,1.0486,0.5041,0.6222,14.6409,7.7403,4.8583
S022,14,122,3.24,126.91,93.1221,0.7338,0.3796,0.4743,14.6387,-33.7879,-26.6235
S073,12,122,15.0,724.71,590.859,0.8153,1.8938,2.1925,14.6164,-133.851,-18.4696
S066,13,122,5.45,227.45,256.0873,1.1259,0.6043,0.7923,14.5369,28.6373,12.5906
S066,12,122,5.45,253.41,286.4518,1.1304,0.6047,0.7904,14.5035,33.0418,13.0389
S009,14,122,5.25,178.59,214.2629,1.1997,0.5995,0.7611,14.4963,35.6729,19.9748
S004,11,122,3.97,152.33,197.9242,1.2993,0.4703,0.5744,14.4688,45.5942,29.9312
S014,13,120,5.1,161.59,220.4219,1.3641,0.6231,0.7345,14.4016,58.8319,36.4081
S040,12,122,5.96,293.71,313.531,1.0675,0.6801,0.858,14.3951,19.821,6.7485
S030,13,121,2.9,139.27,154.7672,1.1113,0.3174,0.4163,14.3551,15.4972,11.1274
S020,11,119,3.8,148.27,167.5249,1.1299,0.3981,0.5444,14.3263,19.2549,12.9863
S038,11,120,1.672,82.65,86.5988,1.0478,0.1873,0.2395,14.3243,3.9488,4.7777
S033,14,122,5.688,210.87,242.1992,1.1486,0.6618,0.8139,14.3099,31.3292,14.8571
S020,13,119,3.8,144.49,165.4964,1.1454,0.4089,0.5435,14.3032,21.0064,14.5383
S021,10,119,2.2,88.63,84.3616,0.9518,0.2698,0.314,14.2714,-4.2684,-4.8159
S075,14,122,2.63,85.18,110.5916,1.2983,0.3103,0.3724,14.1591,25.4116,29.8328
S065,12,122,1.9239,108.52,114.2734,1.053,0.1944,0.2718,14.1262,5.7534,5.3017
S061,12,122,3.784,168.16,198.7293,1.1818,0.4464,0.5338,14.1066,30.5693,18.1787
S061,10,121,3.784,136.81,169.0395,1.2356,0.4331,0.5319,14.0554,32.2295,23.5579
S014,12,120,5.1,182.69,236.3925,1.294,0.6156,0.7162,14.0436,53.7025,29.3954
S009,10,122,5.25,183.18,221.353,1.2084,0.558,0.7368,14.0342,38.173,20.839
S038,12,120,1.672,84.12,90.0528,1.0705,0.1938,0.2334,13.9594,5.9328,7.0528
S008,10,122,3.172,148.52,158.4846,1.0671,0.3474,0.4422,13.9393,9.9646,6.7093
S021,14,119,2.2,83.0,83.8093,1.0098,0.2263,0.3066,13.9367,0.8093,0.9751
S065,11,122,1.9239,109.05,111.4728,1.0222,0.1962,0.2678,13.9217,2.4228,2.2217
S074,11,122,4.0,174.5,203.2241,1.1646,0.4255,0.5553,13.8817,28.7241,16.4608
S042,13,122,3.724,163.2,180.9532,1.1088,0.39,0.515,13.8287,17.7532,10.8782
S030,14,121,2.9,115.61,133.502,1.1548,0.3195,0.4008,13.821,17.892,15.4762
S002,13,122,3.3,120.75,126.8073,1.0502,0.3402,0.4529,13.7253,6.0573,5.0164
S065,14,122,1.9239,89.16,93.2566,1.0459,0.1893,0.2628,13.6608,4.0966,4.5947
S040,14,122,5.96,224.51,264.8867,1.1798,0.689,0.8127,13.6358,40.3767,17.9844
S007,10,122,22.0,1078.77,1200.531,1.1129,2.2362,2.9887,13.5851,121.761,11.287
S007,12,122,22.0,1274.04,1364.5659,1.0711,2.2367,2.9787,13.5394,90.5259,7.1054
S033,11,122,5.688,267.81,296.1407,1.1058,0.6123,0.7675,13.4931,28.3307,10.5787
S033,13,122,5.688,252.66,285.4274,1.1297,0.6099,0.7651,13.452,32.7674,12.969
S074,14,122,4.0,147.05,169.3049,1.1513,0.4203,0.5367,13.4186,22.2549,15.1342
S040,10,122,5.96,237.99,273.44,1.149,0.6456,0.7995,13.4146,35.45,14.8956
S061,11,122,3.784,169.94,183.9534,1.0825,0.3962,0.5075,13.413,14.0134,8.2461
S061,14,122,3.784,131.03,156.0213,1.1907,0.4208,0.5072,13.4029,24.9913,19.073
S075,11,122,2.63,109.3,127.1972,1.1637,0.278,0.3507,13.3346,17.8972,16.3744
S033,10,122,5.688,220.3,258.1249,1.1717,0.6274,0.7553,13.2794,37.8249,17.1697
S004,10,119,3.97,127.21,167.0321,1.313,0.4337,0.5268,13.2687,39.8221,31.3042
S065,10,121,1.9239,85.6,95.3234,1.1136,0.1842,0.2547,13.2381,9.7234,11.3591
S073,13,122,15.0,668.39,543.1388,0.8126,1.7167,1.9816,13.2104,-125.2512,-18.7392
S059,12,122,2.0,54.7,71.428,1.3058,0.2218,0.2634,13.1686,16.728,30.5814
S054,12,122,11.272,453.63,532.7286,1.1744,1.2,1.4824,13.151,79.0986,17.4368
S074,12,122,4.0,189.12,214.2615,1.1329,0.4074,0.5252,13.1305,25.1415,13.2939
S014,11,120,5.1,171.81,222.915,1.2975,0.5733,0.6695,13.128,51.105,29.7451
S040,11,122,5.96,287.24,309.6322,1.078,0.638,0.782,13.121,22.3922,7.7956
S002,11,121,3.3,126.39,128.7357,1.0186,0.316,0.4309,13.058,2.3457,1.8559
S020,12,119,3.8,164.78,186.3185,1.1307,0.3722,0.4938,12.9942,21.5385,13.0711
S042,12,122,3.724,182.48,186.7117,1.0232,0.3584,0.4825,12.9563,4.2317,2.319
S075,10,122,2.63,86.92,110.3459,1.2695,0.2768,0.3395,12.9073,23.4259,26.9511
S074,13,122,4.0,180.54,193.6502,1.0726,0.3761,0.513,12.825,13.1102,7.2617
S008,14,122,3.172,131.57,147.7453,1.1229,0.3186,0.4066,12.8173,16.1753,12.2941
S024,12,120,5.99,215.73,198.7199,0.9212,0.6328,0.7645,12.7629,-17.0101,-7.8849
S014,14,119,5.1,137.41,182.0872,1.3251,0.555,0.6455,12.6569,44.6772,32.5138
S024,13,119,5.99,195.14,180.1812,0.9233,0.6306,0.7554,12.6112,-14.9588,-7.6657
S042,11,121,3.724,177.15,178.1471,1.0056,0.3352,0.4694,12.606,0.9971,0.5629
S018,11,122,5.1,211.66,222.9775,1.0535,0.442,0.6404,12.556,11.3175,5.347
S018,13,121,5.1,203.89,226.4545,1.1107,0.4776,0.64,12.5489,22.5645,11.067
S025,13,122,5.65,240.67,224.7895,0.934,0.5378,0.709,12.5486,-15.8805,-6.5985
S014,10,120,5.1,151.62,196.7981,1.298,0.5377,0.6398,12.5441,45.1781,29.7969
S020,14,120,3.8,123.28,140.1742,1.137,0.3675,0.4742,12.4796,16.8942,13.704
S073,14,122,15.0,548.4,465.9247,0.8496,1.429,1.8715,12.4766,-82.4753,-15.0393
S073,10,122,15.0,611.61,498.651,0.8153,1.5393,1.8683,12.4553,-112.959,-18.4691
S018,12,122,5.1,211.36,234.0678,1.1074,0.4595,0.6342,12.4358,22.7078,10.7437
S054,13,122,11.272,405.69,496.0686,1.2228,1.1699,1.3987,12.4086,90.3786,22.2777
S030,12,121,2.9,148.6,156.9267,1.056,0.2682,0.3581,12.3499,8.3267,5.6034
S038,10,119,1.672,69.18,77.221,1.1162,0.1687,0.2062,12.3344,8.041,11.6233
S059,13,122,2.0,54.11,69.3574,1.2818,0.2052,0.2463,12.3161,15.2474,28.1786
S035,13,121,5.296,199.23,197.6778,0.9922,0.4906,0.6495,12.2648,-1.5522,-0.7791
S071,12,120,20.0,549.11,613.0195,1.1164,2.1081,2.4421,12.2107,63.9095,11.6387
S056,13,122,3.15,108.57,137.1772,1.2635,0.307,0.382,12.1255,28.6072,26.3491
S035,12,121,5.296,212.96,207.0285,0.9721,0.5154,0.642,12.1231,-5.9315,-2.7852
S066,10,122,5.45,207.89,218.6214,1.0516,0.5252,0.6594,12.0988,10.7314,5.1621
S056,12,121,3.15,124.19,142.9305,1.1509,0.2923,0.3795,12.0462,18.7405,15.0902
S025,11,122,5.65,249.27,236.2874,0.9479,0.5216,0.6765,11.9734,-12.9826,-5.2082
S030,11,120,2.9,139.54,152.8743,1.0956,0.2603,0.3472,11.973,13.3343,9.5559
S020,10,119,3.8,126.51,146.2428,1.156,0.3429,0.4536,11.9379,19.7328,15.5978
S068,13,122,1.223,44.48,45.6274,1.0258,0.1071,0.146,11.9371,1.1474,2.5796
S066,14,121,5.45,185.82,212.1349,1.1416,0.5126,0.6485,11.8993,26.3149,14.1615
S035,11,121,5.296,201.08,196.2794,0.9761,0.5055,0.6248,11.7975,-4.8006,-2.3874
S074,10,122,4.0,152.48,179.0786,1.1744,0.3649,0.4717,11.7927,26.5986,17.444
S059,11,122,2.0,53.41,66.122,1.238,0.1964,0.2358,11.7903,12.712,23.8008
S070,13,122,2.1,62.0,68.927,1.1117,0.1864,0.2436,11.6019,6.927,11.1725
S011,12,122,2.323,89.38,89.5786,1.0022,0.1812,0.2692,11.5892,0.1986,0.2222
S042,10,121,3.724,145.64,158.4861,1.0882,0.3032,0.429,11.5198,12.8461,8.8205
S002,14,122,3.3,107.0,110.8367,1.0359,0.2835,0.3796,11.5017,3.8367,3.5857
S054,14,122,11.272,340.29,418.5573,1.23,1.0319,1.2952,11.4903,78.2673,23.0002
S018,10,121,5.1,171.33,201.0822,1.1737,0.4186,0.5843,11.4574,29.7522,17.3655
S011,14,122,2.323,70.69,78.0294,1.1038,0.1904,0.2661,11.4532,7.3394,10.3825
S002,10,121,3.3,109.88,111.7507,1.017,0.2824,0.3773,11.4342,1.8707,1.7025
S054,11,122,11.272,433.39,508.4869,1.1733,1.0663,1.2884,11.4302,75.0969,17.3278
S024,11,120,5.99,209.59,187.3734,0.894,0.566,0.6803,11.3579,-22.2166,-10.6
S030,10,120,2.9,123.6,138.6268,1.1216,0.2431,0.3275,11.2923,15.0268,12.1576
S035,10,122,5.296,180.38,181.8748,1.0083,0.4532,0.5973,11.2777,1.4948,0.8287
S025,12,122,5.65,241.92,243.4212,1.0062,0.5117,0.6371,11.2765,1.5012,0.6206
S007,14,122,22.0,934.6,988.1202,1.0573,1.8135,2.4804,11.2747,53.5202,5.7265
S035,14,121,5.296,164.47,167.6176,1.0191,0.4409,0.592,11.1773,3.1476,1.9138
S054,10,122,11.272,354.59,444.3793,1.2532,1.0043,1.2563,11.1452,89.7893,25.322
S071,11,120,20.0,545.44,584.4864,1.0716,1.868,2.2216,11.1081,39.0464,7.1587
S042,14,122,3.724,136.65,150.7395,1.1031,0.3077,0.4134,11.1004,14.0895,10.3106
S068,12,122,1.223,47.51,48.9436,1.0302,0.1042,0.1354,11.0725,1.4336,3.0175
S049,13,122,14.1,446.47,424.0587,0.9498,1.0775,1.5577,11.0472,-22.4113,-5.0197
S068,11,122,1.223,45.49,46.0372,1.012,0.0988,0.135,11.0416,0.5472,1.2029
S059,10,122,2.0,51.91,59.5095,1.1464,0.1699,0.2198,10.9888,7.5995,14.6399
S018,14,122,5.1,164.2,190.3513,1.1593,0.414,0.5589,10.9581,26.1513,15.9265
S056,11,121,3.15,118.22,136.3279,1.1532,0.2744,0.3441,10.9225,18.1079,15.3171
S025,10,122,5.65,208.37,210.586,1.0106,0.4634,0.6085,10.7694,2.216,1.0635
S047,13,121,4.8,182.88,166.4758,0.9103,0.3545,0.5156,10.7414,-16.4042,-8.9699
S068,14,122,1.223,35.85,38.7495,1.0809,0.1051,0.1308,10.6958,2.8995,8.0878
S011,11,122,2.323,83.16,83.6268,1.0056,0.1749,0.248,10.6763,0.4668,0.5613
S010,13,122,2.0,75.79,84.4939,1.1148,0.1615,0.2135,10.6741,8.7039,11.4842
S056,14,118,3.15,88.89,115.1068,1.2949,0.2705,0.3357,10.6573,26.2168,29.4936
S071,13,120,20.0,540.9,566.6981,1.0477,1.8316,2.1293,10.6463,25.7981,4.7695
S024,14,119,5.99,153.87,149.4254,0.9711,0.494,0.6365,10.6258,-4.4446,-2.8885
S070,12,122,2.1,68.43,75.3233,1.1007,0.1683,0.2228,10.6072,6.8933,10.0735
S024,10,121,5.99,180.81,165.0758,0.913,0.5037,0.6336,10.577,-15.7342,-8.7021
S047,14,121,4.8,146.45,144.3177,0.9854,0.3237,0.5052,10.5247,-2.1323,-1.456
S011,13,122,2.323,78.54,88.2474,1.1236,0.1675,0.2444,10.5194,9.7074,12.3598
S049,12,122,14.1,486.8,454.93,0.9345,1.0381,1.4793,10.4915,-31.87,-6.5468
S053,11,122,13.33,675.88,672.1854,0.9945,1.2375,1.3975,10.4841,-3.6946,-0.5466
S053,10,122,13.33,675.88,642.9197,0.9512,1.2584,1.396,10.4727,-32.9603,-4.8766
S010,12,122,2.0,79.5,90.9675,1.1442,0.1645,0.2088,10.4421,11.4675,14.4245
S053,12,122,13.33,675.88,675.5248,0.9995,1.1993,1.3748,10.3136,-0.3552,-0.0526
S025,14,122,5.65,193.05,194.4892,1.0075,0.4184,0.5821,10.3029,1.4392,0.7455
S062,12,122,4.4537,143.54,125.3032,0.8729,0.3355,0.4583,10.2905,-18.2368,-12.705
S059,14,122,2.0,53.57,60.4002,1.1275,0.164,0.2052,10.2594,6.8302,12.75
S070,11,122,2.1,64.03,69.77,1.0896,0.1572,0.2139,10.1849,5.74,8.9646
S062,13,122,4.4537,133.63,120.9919,0.9054,0.3241,0.4533,10.178,-12.6381,-9.4575
S062,11,121,4.4537,142.41,122.1975,0.8581,0.3114,0.4512,10.132,-20.2125,-14.1932
S071,14,120,20.0,492.32,455.1602,0.9245,1.7345,2.0258,10.129,-37.1598,-7.5479
S010,10,122,2.0,64.37,74.9762,1.1648,0.1434,0.2014,10.0684,10.6062,16.4769
S011,10,122,2.323,71.36,73.2649,1.0267,0.158,0.2332,10.0398,1.9049,2.6694
S064,13,119,3.288,109.74,122.8219,1.1192,0.2474,0.3297,10.027,13.0819,11.9208
S064,11,120,3.288,115.66,122.7022,1.0609,0.2343,0.326,9.9147,7.0422,6.0887
S010,14,122,2.0,63.35,73.0295,1.1528,0.1588,0.1975,9.8735,9.6795,15.2794
S070,10,122,2.1,53.44,59.7199,1.1175,0.1497,0.2072,9.8667,6.2799,11.7514
S056,10,119,3.15,98.05,121.1382,1.2355,0.2401,0.3107,9.8624,23.0882,23.5474
S071,10,120,20.0,504.09,500.946,0.9938,1.6495,1.9657,9.8287,-3.144,-0.6237
S053,13,122,13.33,675.88,651.9756,0.9646,1.154,1.3053,9.7921,-23.9044,-3.5368
S053,14,122,13.33,675.88,598.5809,0.8856,1.0812,1.3043,9.7843,-77.2991,-11.4368
S047,12,121,4.8,190.51,173.6818,0.9117,0.3526,0.4648,9.6842,-16.8282,-8.8333
S064,12,120,3.288,121.76,127.2411,1.045,0.2337,0.3144,9.5613,5.4811,4.5016
S064,10,121,3.288,94.81,107.1063,1.1297,0.2172,0.3126,9.5085,12.2963,12.9694
S064,14,121,3.288,88.19,105.3183,1.1942,0.2295,0.3087,9.3883,17.1283,19.422
S023,12,122,16.37,566.88,583.9462,1.0301,1.1324,1.5359,9.3826,17.0662,3.0105
S010,11,122,2.0,76.98,84.7554,1.101,0.1377,0.1863,9.3161,7.7754,10.1005
S047,11,121,4.8,181.42,167.666,0.9242,0.3429,0.4446,9.2618,-13.754,-7.5813
S070,14,122,2.1,51.49,58.7918,1.1418,0.1428,0.1931,9.1932,7.3018,14.181
S068,10,121,1.223,37.34,38.4795,1.0305,0.081,0.11,8.9944,1.1395,3.0517
S023,13,121,16.37,519.05,532.9086,1.0267,1.0915,1.4554,8.8908,13.8586,2.67
S049,11,122,14.1,440.85,439.5666,0.9971,0.9319,1.2372,8.7747,-1.2834,-0.2911
S023,11,122,16.37,536.06,531.9255,0.9923,1.094,1.3932,8.5108,-4.1345,-0.7713
S062,14,122,4.4537,113.4,101.8026,0.8977,0.2612,0.3742,8.4017,-11.5974,-10.227
S023,14,122,16.37,421.69,436.9049,1.0361,1.0005,1.3711,8.3757,15.2149,3.6081
S049,10,122,14.1,397.22,388.6712,0.9785,0.8209,1.176,8.3405,-8.5488,-2.1522
S049,14,122,14.1,359.1,355.9782,0.9913,0.8292,1.1667,8.2742,-3.1218,-0.8693
S047,10,121,4.8,158.63,154.3252,0.9729,0.2758,0.3909,8.1432,-4.3048,-2.7137
S023,10,122,16.37,450.14,461.4411,1.0251,1.0355,1.3314,8.1331,11.3011,2.5106
S062,10,121,4.4537,113.5,105.5341,0.9298,0.2228,0.3287,7.3807,-7.9659,-7.0184
S017,12,122,0.954,16.72,17.3855,1.0398,0.04,0.0625,6.5477,0.6655,3.98
S017,13,120,0.954,14.93,16.4736,1.1034,0.0391,0.0569,5.9633,1.5436,10.3387
S017,11,121,0.954,15.72,16.7933,1.0683,0.0414,0.056,5.8715,1.0733,6.8273
S017,14,121,0.954,13.09,14.3233,1.0942,0.0376,0.053,5.556,1.2333,9.422
S017,10,121,0.954,14.22,15.0284,1.0568,0.0382,0.0523,5.4809,0.8084,5.6849
