site_id,site_name,county,install_group,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,site_status,exclude_from_ranking,exclude_reason
S058,远途大浦光伏电站,连云区,rooftop,5.99,1708,1296,24.12,0.3638,0.5796,9.6759,-0.1722,0.8181,正常评价,否,
S065,中盛石榴光伏电站,东海县,rooftop,1.924,1708,1413,17.27,0.1083,0.1887,9.8061,0.0153,1.0379,正常评价,否,
S008,协鑫盛昌光伏电站,灌云县,rooftop,3.172,1708,1319,22.78,0.1848,0.3191,10.0593,-0.0283,0.9567,测试期分布漂移,是,cf_mean漂移-0.210>=0.1或cf_p95漂移-0.316>=0.2
S038,衡诚天晴光伏电站,海州区,other,1.672,1708,1223,28.4,0.103,0.17,10.1664,-0.0059,0.9809,测试期分布漂移,是,cf_mean漂移-0.177>=0.1或cf_p95漂移-0.272>=0.2
S028,华能星耀光伏电站,灌云县,rooftop,3.14,1708,1238,27.52,0.198,0.3271,10.4177,-0.0135,0.9768,测试期分布漂移,是,cf_mean漂移-0.097>=0.1或cf_p95漂移-0.220>=0.2
S034,建魄俊达光伏电站,灌云县,rooftop,3.496,1708,1071,37.3,0.2098,0.3664,10.4806,0.0619,1.1157,测试期分布漂移,是,cf_mean漂移-0.178>=0.1或cf_p95漂移-0.277>=0.2
S063,铭信润海光伏电站,东海县,rooftop,3.66,1708,1083,36.59,0.236,0.3845,10.5049,-0.0398,0.946,测试期分布漂移,是,cf_mean漂移-0.126>=0.1或cf_p95漂移-0.126>=0.2
S060,华电蒙然源光伏电站,赣榆区,rooftop,5.84,1708,1251,26.76,0.4236,0.6363,10.8957,0.1783,1.2002,测试期分布漂移,是,cf_mean漂移-0.186>=0.1或cf_p95漂移-0.310>=0.2
S051,鲲鹏德宇光伏电站,灌云县,rooftop,5.025,1708,1266,25.88,0.348,0.5672,11.2879,0.1323,1.2256,测试期分布漂移,是,cf_mean漂移-0.124>=0.1或cf_p95漂移-0.186>=0.2
S041,交控赣榆南光伏电站,赣榆区,ground,2.2,1708,1257,26.41,0.1494,0.2506,11.3908,0.0113,1.0216,测试期分布漂移,是,cf_mean漂移-0.113>=0.1或cf_p95漂移-0.118>=0.2
S006,沐恒石湖光伏电站,东海县,rooftop,5.0,1708,922,46.02,0.3418,0.5711,11.4213,0.3127,2.2019,系统性偏差,是,"pred/actual=2.501超出[0.8,1.2]"
S072,交控大浦光伏电站,连云区,ground,3.125,1708,1282,24.94,0.238,0.3744,11.981,-0.1013,0.8698,正常评价,否,
S022,浦西光伏电站,海州区,rooftop,3.24,1708,1313,23.13,0.2442,0.3911,12.0713,-0.1925,0.6853,系统性偏差,是,"pred/actual=0.597超出[0.8,1.2]"
S052,鹰游新立成二期光伏电站,灌云县,rooftop,6.08,1708,1290,24.47,0.4616,0.7574,12.4578,-0.3979,0.6318,系统性偏差,是,"pred/actual=0.589超出[0.8,1.2]"
S037,华能中林三期光伏电站,灌云县,rooftop,5.946,1708,759,55.56,0.4749,0.7853,13.2078,0.1434,1.2137,测试期分布漂移,是,cf_mean漂移0.112>=0.1或cf_p95漂移0.489>=0.2
S071,协鑫南岗光伏发电站,灌云县,ground,20.0,1708,1495,12.47,2.0913,2.6934,13.4672,-1.4223,0.5915,系统性偏差,是,"pred/actual=0.524超出[0.8,1.2]"
S066,科来恩润石光伏电站,赣榆区,rooftop,5.45,1708,1281,25.0,0.4768,0.7679,14.0895,-0.3337,0.6365,系统性偏差,是,"pred/actual=0.587超出[0.8,1.2]"
S050,沐恒东海产业园光伏电站,东海县,rooftop,2.55,1708,1440,15.69,0.2244,0.3629,14.232,0.1277,1.537,测试期分布漂移,是,cf_mean漂移-0.158>=0.1或cf_p95漂移-0.205>=0.2
