站点,n_total,n_nonzero,n_zero,zero_rate,max_real,MAE,RMSE,MAPE,pred_real_ratio,标注
昱中科技光伏,2936,1148,1788,60.89918256130791,2.16,0.17661175756602365,0.25194943818544363,54.055970810979424,1.307352981011025,🔵 0值过多(零值率61%) | 🟠 有效样本少(n=1148)
首耀清墩光伏,2936,1677,1259,42.881471389645775,1.48,0.2669642075625714,0.30112280704607647,65.99986309733468,0.6655234097923359,🔵 0值偏多(零值率43%) | 🟠 有效样本少(n=1677)
