site_id,hour,valid_rows,alpha,k,valid_before_nrmse_pct,valid_after_nrmse_pct,improvement_pp
S056,11,62,1.0,0.88,15.7264,14.4888,1.2376
S056,12,62,1.0,0.88,15.3894,13.9923,1.3971
S056,13,62,1.0,0.88,14.9936,13.4446,1.549
S056,14,61,1.0,0.88,16.7439,15.4016,1.3424
S059,13,62,1.0,1.04,15.9037,15.7509,0.1528
S059,14,61,1.0,1.08,13.8861,13.5194,0.3666
S060,10,62,0.85,1.12,18.6175,17.9142,0.7033
S060,11,62,0.85,1.12,18.3982,17.566,0.8322
S060,12,62,1.0,1.12,21.6109,20.2899,1.321
S060,13,62,0.7,1.12,21.5671,20.8951,0.672
S060,14,61,0.85,1.12,20.5117,19.7721,0.7397
S061,10,61,0.7,1.12,17.5102,16.8798,0.6304
S061,12,61,0.0,1.12,21.1067,20.8466,0.2601
S062,11,62,1.0,0.96,14.1346,13.979,0.1556
S062,12,62,0.7,0.88,16.4844,15.9736,0.5108
S062,13,62,0.35,0.92,16.4868,16.2491,0.2377
S062,14,61,1.0,0.92,14.8042,14.5469,0.2573
S063,10,60,0.85,1.12,18.3047,17.5122,0.7925
S063,11,62,0.85,1.12,18.245,17.2617,0.9832
S063,12,61,0.35,1.12,24.9211,24.5811,0.34
S063,13,61,0.1,1.12,24.1359,23.8587,0.2772
S063,14,61,1.0,1.08,23.8378,23.5206,0.3172
S064,12,61,1.0,0.96,17.0717,16.8408,0.2309
S064,14,61,1.0,0.96,14.4793,14.3141,0.1651
S066,10,62,0.2,1.12,16.4286,16.0452,0.3834
S066,11,62,1.0,1.08,15.6922,15.1923,0.4999
S066,12,62,0.7,1.12,16.6211,15.8188,0.8024
S066,13,62,0.7,1.12,15.7565,15.0523,0.7042
S066,14,62,1.0,1.12,16.5747,15.617,0.9577
S068,12,62,0.7,1.08,19.1389,18.915,0.2239
S070,11,62,1.0,0.96,13.993,13.8282,0.1648
S070,13,62,1.0,0.92,15.5762,15.1098,0.4664
S070,14,61,1.0,0.92,15.1915,14.7867,0.4048
S071,10,62,1.0,1.12,12.7749,11.5877,1.1872
S071,11,62,1.0,1.12,13.5744,12.4394,1.135
S071,12,62,1.0,1.12,14.4617,13.1403,1.3214
S071,13,62,1.0,1.12,15.2299,14.0725,1.1574
S071,14,61,1.0,1.12,13.6495,12.5202,1.1293
S072,11,62,0.0,0.92,16.4948,16.1739,0.3209
S072,12,62,0.35,0.88,20.1588,19.1988,0.96
S072,13,62,1.0,0.88,20.7172,19.2838,1.4334
S072,14,62,1.0,0.92,19.8429,19.1615,0.6814
S074,10,62,1.0,1.08,15.8183,15.0645,0.7538
S074,11,62,0.85,1.12,20.7034,19.8234,0.8801
S074,12,62,1.0,1.12,19.9172,18.6412,1.2759
S074,14,61,0.5,1.12,21.5127,21.1268,0.3859
S075,11,62,1.0,1.04,17.9577,17.8052,0.1525
S075,12,62,0.0,1.12,19.4824,19.1766,0.3058
S075,13,62,1.0,1.04,17.8481,17.6815,0.1666
S076,10,44,0.1,1.12,22.2215,22.0535,0.168
S076,11,45,0.35,1.12,21.7754,21.3371,0.4384
S076,12,46,0.85,1.12,27.5246,26.8118,0.7129
S076,14,45,0.85,1.08,25.1838,25.0063,0.1776
S115,10,62,1.0,1.08,22.011,21.6839,0.3272
S115,11,62,0.0,1.12,25.5077,24.9298,0.5779
S115,12,62,1.0,1.12,24.9952,23.8237,1.1715
S115,13,62,0.0,1.08,23.5963,23.0816,0.5147
S115,14,61,0.0,1.12,23.0525,22.5085,0.544
S116,10,62,0.0,1.04,20.7618,20.5238,0.238
S116,13,62,0.5,1.04,22.8483,22.6341,0.2142
S116,14,62,0.2,1.04,20.0792,19.8827,0.1965
