site_id,nrmse_before,nrmse_after,delta
S004,8.30563354242398,10.996495980666875,2.6908624382428954
S017,9.30656484711336,13.128080415440657,3.821515568327296
S028,10.415161354055385,11.64728015287396,1.2321187988185738
S033,9.132599074277397,10.731548224277681,1.5989491500002835
S034,10.218513582094687,11.93442743728831,1.715913855193623
S039,9.068257248198826,10.932780065881463,1.8645228176826372
S040,9.344233430203376,11.231525864195484,1.8872924339921084
S041,11.323621392982247,13.290335925657203,1.9667145326749562
S050,13.334138649533905,17.156722261241768,3.822583611707863
S060,10.200475765949921,14.425848398553608,4.225372632603687
S061,8.972810512677645,10.307127096257124,1.3343165835794792
S074,8.603997906666494,10.251476117352574,1.6474782106860797
S075,8.848570218825321,10.810487599505995,1.9619173806806742
