hour,city_actual_mean,city_pred_before_mean,city_pred_after_mean,city_rel_err_before,city_rel_err_after,city_rel_err_improvement,n_dates
6,10.251721311475409,0.4432355136644349,0.4432355136644349,95.67647714761527,95.67647714761527,0.0,122
7,18.639672131147545,5.468695109059106,5.468695109059106,70.6609908662464,70.6609908662464,0.0,122
8,45.185737704918026,27.890770863867573,27.890770863867573,38.27527826145918,38.27527826145918,0.0,122
9,77.53040983606557,62.587890147247535,62.587890147247535,19.27310808805641,19.27310808805641,0.0,122
10,101.99278688524589,88.14067204777643,88.14067204777643,13.581465180527665,13.581465180527665,0.0,122
11,118.83934426229509,102.23219892139434,102.23219892139434,13.974450502054644,13.974450502054644,0.0,122
12,123.37237704918033,107.22163776802986,107.22163776802986,13.091049769359833,13.091049769359833,0.0,122
13,114.18262295081968,100.50994006289729,100.50994006289729,11.97439902375639,11.97439902375639,0.0,122
14,95.93696721311477,81.60559015016548,81.60559015016548,14.938326152330319,14.938326152330319,0.0,122
15,67.48409836065574,54.978300486029305,54.978300486029305,18.531473604035735,18.531473604035735,0.0,122
16,36.132950819672125,26.84551595247942,26.84551595247942,25.70350512899788,25.70350512899788,0.0,122
17,15.665245901639345,5.769361273795985,5.769361273795985,63.17094982088835,63.17094982088835,0.0,122
18,9.417950819672129,0.6444893668184234,0.6444893668184234,93.15679834012066,93.15679834012066,0.0,122
19,8.793360655737704,0.0,0.0,100.0,100.0,0.0,122
