split,mape,mae,rmse,nrmse,rows,on_auc,trained_scene_models,calibration_alpha,n_calibrated_sites,n_calibration_enabled
train,71.09692280153115,0.3578854231485867,1.3876235318873031,0.06307379690396832,723007,0.9967724816721223,2,0.8500000000000003,69,54
valid,67.55370281702054,0.4480884031414996,1.2078293955797013,0.06081719010975334,101184,0.989681837123591,2,0.8500000000000003,69,54
test,87.76847183444065,0.30151040067601836,1.0151048806657434,0.05256887005001261,199104,0.9892180148941252,2,0.8500000000000003,69,54
