site_id,site_status,exclude_reason,tv_cf_mean,test_cf_mean,cf_mean_shift,tv_cf_p95,test_cf_p95,cf_p95_shift,test_nrmse_pct,test_pred_actual_ratio
S002,测试期分布漂移,cf_mean漂移0.098>=0.1或cf_p95漂移0.498>=0.2,0.289555870665056,0.1919061812504435,-0.0976496894146125,0.9515151515151516,0.4534848484848481,-0.4980303030303035,14.000888454516597,0.8325200264100288
S004,测试期分布漂移,cf_mean漂移0.169>=0.1或cf_p95漂移0.271>=0.2,0.3139309592790767,0.1448613429763035,-0.1690696163027732,0.7418136020151134,0.4710327455919395,-0.2707808564231738,10.079315707843245,1.3190021513976915
S008,测试期分布漂移,cf_mean漂移0.210>=0.1或cf_p95漂移0.316>=0.2,0.4164083790281064,0.2064297231926901,-0.2099786558354163,0.94656368221942,0.6305170239596469,-0.3160466582597729,10.004373924309537,1.002498317082939
S010,测试期分布漂移,cf_mean漂移0.093>=0.1或cf_p95漂移0.227>=0.2,0.2409504253446759,0.147675644028103,-0.0932747813165728,0.7,0.4732499999999993,-0.2267500000000006,6.894851507173779,1.150792941765625
S012,测试期分布漂移,cf_mean漂移0.122>=0.1或cf_p95漂移0.193>=0.2,0.1748707060808971,0.0524676901726082,-0.1224030159082889,0.5084900284900282,0.3152421652421648,-0.1932478632478633,18.402181208402595,3.026412831505462
S014,测试期分布漂移,cf_mean漂移0.157>=0.1或cf_p95漂移0.246>=0.2,0.2868767830457818,0.1294198007071681,-0.1574569823386137,0.6862745098039216,0.4398039215686269,-0.2464705882352946,9.432031456071693,1.340352183931313
S016,测试期分布漂移,cf_mean漂移0.164>=0.1或cf_p95漂移0.275>=0.2,0.3018074003795066,0.1379921476787436,-0.163815252700763,0.7332352941176471,0.4584117647058822,-0.2748235294117649,8.654724489009483,1.2752463416092
S017,测试期分布漂移,cf_mean漂移0.019>=0.1或cf_p95漂移0.398>=0.2,0.1008683082701911,0.0817462772303477,-0.0191220310398434,0.5660377358490567,0.1677148846960167,-0.3983228511530399,6.238761399295145,0.8185866487533038
S018,测试期分布漂移,cf_mean漂移0.117>=0.1或cf_p95漂移0.231>=0.2,0.2719502172126335,0.1552830968452955,-0.116667120367338,0.7313725490196079,0.5,-0.2313725490196079,8.162468103404436,1.137134241604348
S020,测试期分布漂移,cf_mean漂移0.118>=0.1或cf_p95漂移0.197>=0.2,0.2695140067911715,0.1520137433748305,-0.1175002634163409,0.6921052631578948,0.4947368421052631,-0.1973684210526316,9.569326858821276,1.158894197780761
S021,测试期分布漂移,cf_mean漂移0.102>=0.1或cf_p95漂移0.200>=0.2,0.2819059405940594,0.1802054502874174,-0.1017004903066419,0.7909090909090909,0.5909090909090908,-0.2,11.305276329043783,0.9888194119124822
