site_id,hour,pred_actual_ratio_future,pred_actual_ratio_test,pred_actual_ratio_train,pred_actual_ratio_valid,rows_future,rows_test,rows_train,rows_valid,site_nrmse_pct_future,site_nrmse_pct_test,site_nrmse_pct_train,site_nrmse_pct_valid,bias_class,train_valid_ratio_gap,is_stable_extreme_candidate
S017,11,0.8765063549853083,1.0682732146718519,0.5313790682237098,0.5564502759608412,88.0,121.0,333.0,62.0,5.208892475378412,5.8715258829538985,23.860368082907605,32.92214361505322,stable_under_prediction,0.02507120773713134,True
S017,12,0.757687330764203,1.0398004781127046,0.546434095230971,0.5909454333063761,88.0,122.0,335.0,62.0,6.018357836704688,6.5476821755364165,23.82988715285626,32.27582465625279,stable_under_prediction,0.04451133807540508,True
S017,13,0.7728649237458942,1.1033870638821692,0.5350704681519612,0.5867868685394093,87.0,120.0,336.0,62.0,5.738779359606534,5.963315435182149,23.89903897085032,31.429727714451882,stable_under_prediction,0.05171640038744807,True
S017,10,1.1429925523684452,1.0568490956660883,0.5190849292465295,0.5320684654423039,88.0,121.0,330.0,62.0,4.495665562146275,5.480908086590363,22.261613937480107,30.494941745023947,stable_under_prediction,0.012983536195774414,True
S017,14,0.844606699080455,1.0942195043232819,0.5299026684084136,0.5942400555138275,89.0,121.0,337.0,62.0,4.91873817960354,5.555971449407019,22.663461417873155,27.860030327643454,stable_under_prediction,0.06433738710541392,True
S052,13,0.28883145509482,0.5852161070109136,1.0196697369683705,0.6842653065982724,87.0,122.0,305.0,62.0,35.73137510484089,21.01729314778729,10.834465983407036,36.26875089088566,unstable_or_mild,0.33540443037009804,False
S052,12,0.3056243320268592,0.5603812053105238,0.9938682629255512,0.7114580576065084,86.0,122.0,305.0,62.0,35.63193318506714,22.840735767612962,9.532307838607634,34.2690824390243,unstable_or_mild,0.2824102053190428,False
S077,14,,,0.7878518037273671,0.48181135905529,,,483.0,3.0,,,16.17280393393438,33.97427827797908,unstable_or_mild,0.3060404446720771,False
S052,11,0.3330189866477205,0.5913124466415173,0.9827692946056908,0.6896978979484804,87.0,122.0,304.0,62.0,32.55351939706513,19.89488423873567,10.733902509382897,33.66194372250463,unstable_or_mild,0.2930713966572105,False
S032,11,1.1864769353716833,0.5065701230051208,1.221363226630478,0.5082481839611026,87.0,122.0,543.0,62.0,19.376694911672672,23.42559950783792,10.699544753592775,32.728514071373716,unstable_or_mild,0.7131150426693753,False
S077,13,,,0.7890724759876446,0.5360846280208124,,,484.0,3.0,,,17.06931247526423,32.704644396767925,unstable_or_mild,0.25298784796683227,False
S032,12,1.0811905070043213,0.49632801514509683,1.2360959468571422,0.5327170045037893,86.0,122.0,543.0,62.0,18.60435488261862,24.83731985292852,11.120025761175405,32.600571295412784,unstable_or_mild,0.7033789423533529,False
