site_id,类型,nrmse_pct,mae_MW,bias_MW
S062,预测最好,5.291470082652194,0.1408583491238642,0.0396571203878838
S023,预测最好,5.98414208127423,0.583402387932511,-0.0309570366340915
S049,预测最好,6.321393323154455,0.5047473033197027,-0.073710208909941
S047,预测最好,6.737209834269121,0.1829126081053675,0.0103425076206352
S056,预测最好,7.02531556220486,0.1435973652720056,0.0558871636277529
S065,预测最差,9.693561730813803,0.1082723293636319,0.0121547833317605
S041,预测最差,11.2925624744583,0.1541172133619683,0.0270433587965377
S063,预测最差,11.419591187628772,0.271464187321702,-0.0652821101734479
S072,预测最差,11.942686747609374,0.2377846297135077,-0.0909639823495627
S115,预测最差,17.474138931432186,0.7148897951239406,-0.0334142076926195
S066,相对正确,7.963626988262734,0.2501190092951989,-0.007296580832552
S030,相对正确,8.810257032322061,0.1571649138189803,0.0323540934388894
S048,相对正确,7.773769708309566,0.1943307937159016,0.0693621394141765
S054,相对正确,7.747180685696364,0.543539280723545,0.2380294366409519
