site_id,hour,nrmse_site_pct,rmse_MW,mae_MW,bias_MW
S002,6,17.64929457893298,0.5824267211047883,0.34692248801646147,-0.3446094080995142
S002,7,17.2872346759551,0.5704787443065183,0.34923157261269133,-0.32337555241275473
S002,8,15.886114799230878,0.5242417883746189,0.35181473351278847,-0.24506533321148724
S002,9,12.308186276315618,0.40617014711841537,0.3131086910113919,-0.035256152999955534
S002,10,11.456012224534899,0.3780484034096516,0.2757342083132841,0.07357514788096975
S002,11,13.642024304570418,0.4501868020508238,0.3582547572265632,0.019054758320372792
S002,12,14.749484800099735,0.4867329984032912,0.388202610068965,-0.032925453104282396
S002,13,13.194262390419276,0.4354106588838361,0.34051668919080236,0.01542692849430661
S002,14,10.164233867609195,0.3354197176311034,0.26269160447397083,0.005132803373549884
S002,15,10.886274975613864,0.3592470741952575,0.27804515174818245,-0.06379199432181877
S002,16,13.996792287453404,0.46189414548596236,0.31161768850414184,-0.14733939018480055
S002,17,16.670197567438684,0.5501165197254765,0.31021639829117925,-0.27349832789306333
S002,18,11.3686083795199,0.3751640765241567,0.1767486371034053,-0.1767486371034053
S002,19,11.709699926256608,0.386420097566468,0.1869672131147541,-0.1869672131147541
S003,6,0.7132003718850981,0.02971691989533638,0.010416919944101984,0.010416919944101984
S003,7,2.46296419891731,0.10262432927628755,0.07704157029079434,0.07704157029079434
S003,8,10.069565963494458,0.4195686050009235,0.3269585873655314,0.3269585873655314
S003,9,18.920835647663324,0.7883744589311877,0.7004517227944137,0.7004517227944137
S003,10,25.28256607830834,1.0534486807848735,0.9603666138608111,0.9603666138608111
S003,11,29.74151717671661,1.2392397962022508,1.133889664198402,1.133889664198402
S003,12,31.578224718685632,1.3157698893534742,1.212549995016715,1.212549995016715
S003,13,29.902944815997635,1.2459660016481733,1.1536745851094858,1.1536745851094858
S003,14,25.17574608816604,1.0489978122556143,0.963549304726018,0.963549304726018
S003,15,18.90605447871737,0.7877585719647165,0.7150189531817958,0.7150189531817958
S003,16,11.69182624947442,0.48716332433685067,0.4327239222050751,0.4327239222050751
S003,17,4.849416576194175,0.20206064048028266,0.1141502123363158,0.1141502123363158
S003,18,1.1125729620733014,0.04635757761070824,0.01501111744126055,0.01501111744126055
S003,19,0.0,0.0,0.0,0.0
S004,6,0.9722614892339316,0.038598781122587085,0.014619456079454727,0.014619456079454727
S004,7,2.79278979079634,0.1108737546946147,0.07261346137142916,0.014542432085534063
S004,8,5.498240284621585,0.21828013929947693,0.1653737790794966,0.0038644623416761
S004,9,8.66703654149788,0.34408135069746587,0.25186357466400766,0.1200853076282612
S004,10,11.568557569350691,0.4592717355032225,0.358845578440362,0.20615873926366377
S004,11,11.675275836429352,0.4635084507062453,0.36844403052467856,0.1903348801865851
S004,12,14.063593562783014,0.5583246644424856,0.41656758874860383,0.1722522168081892
