hour,n_samples,n_sites,mape_raw_pct,mape_active_pct,mape_clipped_pct,mae,rmse,wape_pct,nmae_cap_mean,nrmse_cap_mean
6,3886,55,69.29829297007483,,44.336237699282655,0.46945633769752,1.3008077076212972,86.3847321905335,0.044650665255248786,0.05856122430408708
7,7415,56,67.37482095979568,45.39228131145177,42.579123579423396,0.39318042440970713,0.9338468857617708,62.52764742211967,0.06078208980397788,0.08113225162659156
8,9392,56,52.52957353203749,45.98129821345403,43.02386392697826,0.4215008183835208,0.8017976895728084,42.854173351325144,0.07973705990712175,0.10335643804615466
9,9507,56,49.77309209622685,43.86563140268445,39.71453683080781,0.48931682069379795,0.8551918736260206,32.987253172450416,0.09972104895789283,0.12991552449398536
10,9563,56,44.70069617645151,42.17598587237768,38.28556817320994,0.541800676495488,0.9344982243429576,28.97321719974519,0.11459276404039188,0.15039860843221056
11,9580,56,44.62859535722736,42.80758010245956,38.91251369680519,0.6103126682510112,1.0186940814841392,28.830707290990702,0.13212531460939342,0.16889650177353296
12,9592,56,44.73271801450327,43.17603062535883,40.592262486425504,0.6486138336308788,1.0724491611222697,29.702204221502864,0.1405884440970218,0.17934521723817656
13,9582,56,48.20517538413191,47.53706919001435,42.09113002207329,0.6377879230201713,1.069865206780125,30.908967070300246,0.13631200149272843,0.17566098808170313
14,9539,56,54.93472589616445,53.88176919268793,43.938306680802484,0.5861394390127744,0.9859437895493842,32.353150458564365,0.1252319295620079,0.16412846713742021
15,9522,56,61.64403190871687,61.337999043437065,42.87710879061593,0.4717139560108919,0.8416693621976127,33.94261578266402,0.10030401391425256,0.13561432466828396
16,9404,56,59.065954683551155,56.946549186121764,43.93347525743749,0.4026597265388967,0.8226779580697992,43.30749030281504,0.08007567871753614,0.11228256828899566
17,6402,56,61.69336315855474,53.935037673160956,41.442576257441914,0.40507997765884424,0.9610730298372508,54.4662220503455,0.06666932215648012,0.09054184032364525
18,4253,55,59.55083060594145,40.23107201897153,39.56318338409764,0.3896401169905515,1.121897961944812,70.69194715233176,0.04581007384915694,0.060330493780611484
19,1846,51,81.74953847410987,,38.77843242700216,0.7444279103757656,1.7839602357828506,96.03977430348199,0.05221241697229596,0.06507667744273732
