site_id,hour,ratio_sh,n_sh,ratio_site_shrunk,ratio_hour_shrunk,calibrated_ratio
S002,0,,0,0.8339964168978619,0.9976241483618261,
S002,1,,0,0.8339964168978619,0.9976241483618261,
S002,2,,0,0.8339964168978619,0.9976241483618261,
S002,3,,0,0.8339964168978619,0.9976241483618261,
S002,4,,0,0.8339964168978619,0.9976241483618261,
S002,5,,0,0.8339964168978619,0.9976241483618261,
S002,6,24.558665483432076,62,0.8339964168978619,1.3,1.3
S002,7,1.126277762375023,62,0.8339964168978619,1.0853074971471508,0.9031622314764267
S002,8,0.7781298682040603,62,0.8339964168978619,1.036515171055262,0.820776088581008
S002,9,0.6615956217781982,62,0.8339964168978619,0.9974912147235312,0.793199282174888
S002,10,0.7283663744973211,62,0.8339964168978619,0.9650527739209019,0.8089999946504056
S002,11,0.733658167327998,62,0.8339964168978619,0.9670702403001232,0.8102522509691155
S002,12,0.700077055906213,62,0.8339964168978619,0.9629576065953508,0.8023055757471663
S002,13,0.6789176541555145,62,0.8339964168978619,0.9583653025800047,0.7972983890733369
S002,14,0.7051924262845929,62,0.8339964168978619,0.9582011601926589,0.8035160832412868
S002,15,0.6390817098126614,62,0.8339964168978619,1.0059260927212017,0.7878715625494557
S002,16,0.7555043241592758,62,0.8339964168978619,1.0783300068533286,0.815421952203998
S002,17,1.4175364129239323,62,0.8339964168978619,1.1407395530380227,0.972086034278077
S002,18,3.9738962826607644,62,0.8339964168978619,1.1006767337763528,1.3
S002,19,1.8804152928470983,21,0.8339964168978619,0.7,0.9334298847482418
S002,20,,0,0.8339964168978619,0.9976241483618261,
S002,21,,0,0.8339964168978619,0.9976241483618261,
S002,22,,0,0.8339964168978619,0.9976241483618261,
S002,23,,0,0.8339964168978619,0.9976241483618261,
S003,0,,0,0.7,0.9976241483618261,
S003,1,,0,0.7,0.9976241483618261,
S003,2,,0,0.7,0.9976241483618261,
S003,3,,0,0.7,0.9976241483618261,
S003,4,,0,0.7,0.9976241483618261,
S003,5,,0,0.7,0.9976241483618261,
S003,6,0.3009470881681828,62,0.7,1.3,0.7
S003,7,0.26262796665453064,62,0.7,1.0853074971471508,0.7
S003,8,0.2432476915224601,62,0.7,1.036515171055262,0.7
S003,9,0.22106204009577432,62,0.7,0.9974912147235312,0.7
S003,10,0.19203120893351763,62,0.7,0.9650527739209019,0.7
S003,11,0.21985339993509986,62,0.7,0.9670702403001232,0.7
S003,12,0.22605848150381908,62,0.7,0.9629576065953508,0.7
S003,13,0.21505084961578005,62,0.7,0.9583653025800047,0.7
S003,14,0.17526462081859923,62,0.7,0.9582011601926589,0.7
S003,15,0.22154100181848696,62,0.7,1.0059260927212017,0.7
S003,16,0.20634993591450768,62,0.7,1.0783300068533286,0.7
S003,17,0.30059860954835815,62,0.7,1.1407395530380227,0.7
S003,18,0.2557342658710392,62,0.7,1.1006767337763528,0.7
S003,19,0.5761871020592709,24,0.7,0.7,0.7
S003,20,,0,0.7,0.9976241483618261,
S003,21,,0,0.7,0.9976241483618261,
S003,22,,0,0.7,0.9976241483618261,
S003,23,,0,0.7,0.9976241483618261,
S004,0,,0,1.0841145715574576,0.9976241483618261,
S004,1,,0,1.0841145715574576,0.9976241483618261,
S004,2,,0,1.0841145715574576,0.9976241483618261,
S004,3,,0,1.0841145715574576,0.9976241483618261,
S004,4,,0,1.0841145715574576,0.9976241483618261,
S004,5,,0,1.0841145715574576,0.9976241483618261,
S004,6,10.467908722190142,62,1.0841145715574576,1.3,1.3
S004,7,1.2840842719042094,62,1.0841145715574576,1.0853074971471508,1.131435645685315
S004,8,1.2259627970725677,62,1.0841145715574576,1.036515171055262,1.1176817088930944
S004,9,1.069772116206263,62,1.0841145715574576,0.9974912147235312,1.0807205554056483
S004,10,1.0123742414380705,62,1.0841145715574576,0.9650527739209019,1.0671378522162287
S004,11,1.04795288710244,62,1.0841145715574576,0.9670702403001232,1.0755572263810795
S004,12,1.0647689831742708,62,1.0841145715574576,0.9629576065953508,1.0795366078942608
S004,13,1.066601419402358,62,1.0841145715574576,0.9583653025800047,1.0799702378413654
S004,14,1.0442639305649593,62,1.0841145715574576,0.9582011601926589,1.0746842672004542
S004,15,1.121389519893548,62,1.0841145715574576,1.0059260927212017,1.0929353608583645
S004,16,1.1659500274511285,62,1.0841145715574576,1.0783300068533286,1.1034802137918378
S004,17,1.3678362538435307,62,1.0841145715574576,1.1407395530380227,1.151254816983933
S004,18,1.5097135987410917,62,1.0841145715574576,1.1006767337763528,1.1848288451657987
S004,19,0.08944276001586933,20,1.0841145715574576,0.7,0.9936898614173132
S004,20,,0,1.0841145715574576,0.9976241483618261,
S004,21,,0,1.0841145715574576,0.9976241483618261,
S004,22,,0,1.0841145715574576,0.9976241483618261,
S004,23,,0,1.0841145715574576,0.9976241483618261,
S006,0,,0,0.7,0.9976241483618261,
S006,1,,0,0.7,0.9976241483618261,
S006,2,,0,0.7,0.9976241483618261,
S006,3,,0,0.7,0.9976241483618261,
S006,4,,0,0.7,0.9976241483618261,
S006,5,,0,0.7,0.9976241483618261,
S006,6,0.674935486812057,62,0.7,1.3,0.7
S006,7,0.40733651825631295,62,0.7,1.0853074971471508,0.7
S006,8,0.44070086262450603,62,0.7,1.036515171055262,0.7
S006,9,0.4085416673067952,62,0.7,0.9974912147235312,0.7
S006,10,0.5487598687689195,62,0.7,0.9650527739209019,0.7
S006,11,0.5828074831398954,62,0.7,0.9670702403001232,0.7
S006,12,0.559898584637879,62,0.7,0.9629576065953508,0.7
S006,13,0.5255792127639684,62,0.7,0.9583653025800047,0.7
S006,14,0.5441181733934906,62,0.7,0.9582011601926589,0.7
S006,15,0.41090719401824133,62,0.7,1.0059260927212017,0.7
S006,16,0.4952828925433408,62,0.7,1.0783300068533286,0.7
S006,17,0.9005387825126021,62,0.7,1.1407395530380227,0.7474557424266464
S006,18,1.4007210817608449,62,0.7,1.1006767337763528,0.865819492630429
S006,19,0.0,24,0.7,0.7,0.7
S006,20,,0,0.7,0.9976241483618261,
S006,21,,0,0.7,0.9976241483618261,
S006,22,,0,0.7,0.9976241483618261,
S006,23,,0,0.7,0.9976241483618261,
S007,0,,0,1.0248184949133934,0.9976241483618261,
S007,1,,0,1.0248184949133934,0.9976241483618261,
S007,2,,0,1.0248184949133934,0.9976241483618261,
S007,3,,0,1.0248184949133934,0.9976241483618261,
S007,4,,0,1.0248184949133934,0.9976241483618261,
S007,5,,0,1.0248184949133934,0.9976241483618261,
S007,6,6.850295468123133,62,1.0248184949133934,1.3,1.3
