site_id,hour,capacity_mw,actual_mean_mw,pred_mean_mw,actual_sum_mwh,pred_sum_mwh,rows,pred_actual_ratio,bias_pct
S012,10,17.55,1.6807339449541283,5.131975387905894,183.2,559.3853172817425,109,3.0534133039396423,19.665193407132566
S012,11,17.55,1.8247706422018348,5.876442323562836,198.9,640.5322132683491,109,3.2203731184934594,23.08644832684331
S012,12,17.55,2.129724770642202,6.101406117497105,232.14000000000001,665.0532668071845,109,2.8648801016937386,22.630662945042182
S012,13,17.55,1.9171559633027522,5.657224010378466,208.97,616.6374171312528,109,2.95084182959876,21.31092904316646
S012,14,17.55,1.56348623853211,4.689630641036534,170.42,511.16973987298223,109,2.999470366582457,17.81278861825883
S019,10,3.0,1.5958677685950413,1.3128248067776864,193.1,158.85180162010005,121,0.8226400912485762,-9.43476539391183
S019,11,3.0,1.758360655737705,1.4380142028696914,214.52,175.43773275010236,122,0.8178152748000296,-10.678215095600452
S019,12,3.0,1.7701639344262297,1.5144746995347194,215.96,184.76591334323575,122,0.8555561832896635,-8.522974496383677
S019,13,3.0,1.701639344262295,1.4496341663827372,207.6,176.85536829869395,122,0.8519044715736703,-8.40017259598526
S019,14,3.0,1.461639344262295,1.244293643618355,178.32,151.8038245214393,122,0.8513000477873448,-7.244856688131336
S032,10,9.335,2.8455737704918036,1.5112407472654192,347.16,184.37137116638115,122,0.5310847193408835,-14.29387277157348
S032,11,9.335,3.264918032786885,1.6539099294704898,398.32,201.77701139539974,122,0.5065701230051208,-17.257719371359347
S032,12,9.335,3.4871311475409836,1.7307608810096604,425.43,211.15282748317858,122,0.4963280151450969,-18.81489305336179
S032,13,9.335,3.2798360655737704,1.597480214649931,400.14,194.89258618729158,122,0.48706099412028686,-18.022023041498013
S032,14,9.335,2.6526229508196724,1.4660720683240804,323.62,178.8607923355378,122,0.5526876964821019,-12.710775388276291
S050,10,2.55,0.39487603305785124,0.7816120197757613,47.78,94.57505439286712,121,1.979385818184745,15.166117126192555
S050,11,2.55,0.45549180327868855,0.907333362798514,55.57,110.69467026141871,122,1.991986148306977,17.71927684391472
S050,12,2.55,0.4884426229508197,0.9809884985380896,59.59,119.68059682164693,122,2.008400685041902,19.315524532834115
S050,13,2.55,0.46344262295081967,0.9030491718982747,56.54,110.17199897158952,122,1.9485673677323934,17.239472507743336
S050,14,2.55,0.3731147540983607,0.7782971622132348,45.52,94.95225379001464,122,2.0859458213975093,15.889506200583298
S053,10,13.33,5.54,5.269833840718821,675.88,642.9197285676962,122,0.9512335452561049,-2.02675288282955
S053,11,13.33,5.54,5.509716433116015,675.88,672.1854048401539,122,0.9945336521870064,-0.22718354751676612
S053,12,13.33,5.54,5.537088508201409,675.88,675.5247980005719,122,0.9994744599641532,-0.02184164890166011
S053,13,13.33,5.54,5.344062264634469,675.88,651.9755962854052,122,0.9646321777318536,-1.4699004903640729
S053,14,13.33,5.54,4.906400857261638,675.88,598.5809045859198,122,0.8856319236934365,-4.753181866004215
S055,10,4.0,0.47345132743362833,1.2227932960416081,53.5,138.1756424527017,113,2.582722288835546,18.733549215199496
S055,11,4.0,0.5182300884955753,1.4410054567032033,58.56,162.83361660746198,113,2.780628698897916,23.0693842051907
S055,12,4.0,0.534561403508772,1.4773681762657735,60.940000000000005,168.41997209429817,114,2.7637015440482138,23.57016931892504
S055,13,4.0,0.5167543859649123,1.396361980019825,58.910000000000004,159.18526572226006,114,2.702177316622985,21.99018985137282
S055,14,4.0,0.458421052631579,1.158642839017865,52.260000000000005,132.0852836480366,114,2.5274642871801873,17.505544659657147
S116,10,22.0,8.884344262295082,10.103083869270144,1083.89,1232.5762320509575,122,1.1371783410225738,5.53972548625028
S116,11,22.0,10.319016393442624,11.019514257400285,1258.92,1344.3807394028347,122,1.0678841700845445,3.1840811998075513
S116,12,22.0,10.712131147540985,11.232938628803327,1306.88,1370.4185127140058,122,1.0486184750811136,2.3673067330106434
S116,13,22.0,10.336803278688524,10.87185670085647,1261.09,1326.3665175044894,122,1.051761981701932,2.432061009854302
S116,14,22.0,8.35967213114754,9.73711215505362,1019.88,1187.9276829165415,122,1.1647720152533056,6.261091017754904
